Timestamp,['1e71be5d-2dc0f8e7 0040-STUDENT SERVICES BLDG Power Meter (300089) Current C']
2017-09-13T00:00:00-06:00,676.4898490905762 A
2017-09-14T00:00:00-06:00,660.422745068868 A
2017-09-15T00:00:00-06:00,645.7200136184692 A
2017-09-16T00:00:00-06:00,544.3850123087565 A
2017-09-17T00:00:00-06:00,567.2492316563925 A
2017-09-18T00:00:00-06:00,684.9768184026083 A
2017-09-19T00:00:00-06:00,590.2515312830607 A
2017-09-20T00:00:00-06:00,585.284008026123 A
2017-09-21T00:00:00-06:00,536.9229818979899 A
2017-09-22T00:00:00-06:00,436.2131071090698 A
2017-09-23T00:00:00-06:00,393.4190082550049 A
2017-09-24T00:00:00-06:00,391.7594731648763 A
2017-09-25T00:00:00-06:00,500.0011297861735 A
2017-09-26T00:00:00-06:00,528.519188489412 A
2017-09-27T00:00:00-06:00,589.8328634897867 A
2017-09-28T00:00:00-06:00,612.2400051752726 A
2017-09-29T00:00:00-06:00,623.3374512990316 A
2017-09-30T00:00:00-06:00,563.4105262756348 A
2017-10-01T00:00:00-06:00,441.16494140625 A
2017-10-02T00:00:00-06:00,431.9485263824463 A
2017-10-03T00:00:00-06:00,499.93629296620685 A
2017-10-04T00:00:00-06:00,578.1911741892496 A
2017-10-05T00:00:00-06:00,502.81346949527136 A
2017-10-06T00:00:00-06:00,504.49746831258136 A
2017-10-07T00:00:00-06:00,507.98416900634766 A
2017-10-08T00:00:00-06:00,415.1453800201416 A
2017-10-09T00:00:00-06:00,450.61273288726807 A
2017-10-10T00:00:00-06:00,481.84823290507 A
2017-10-11T00:00:00-06:00,542.6970281600952 A
2017-10-12T00:00:00-06:00,486.26595878601074 A
2017-10-13T00:00:00-06:00,492.6078182856242 A
2017-10-14T00:00:00-06:00,387.91333897908527 A
2017-10-15T00:00:00-06:00,414.9975891113281 A
2017-10-16T00:00:00-06:00,489.880552927653 A
2017-10-17T00:00:00-06:00,527.5712213516235 A
2017-10-18T00:00:00-06:00,546.6791899998983 A
2017-10-19T00:00:00-06:00,567.2359507878622 A
2017-10-20T00:00:00-06:00,538.8920755386353 A
2017-10-21T00:00:00-06:00,387.82597255706787 A
2017-10-22T00:00:00-06:00,488.3666575749715 A
2017-10-23T00:00:00-06:00,540.680318514506 A
2017-10-24T00:00:00-06:00,501.8085632324219 A
2017-10-25T00:00:00-06:00,523.2148078282675 A
2017-10-26T00:00:00-06:00,451.818429629008 A
2017-10-27T00:00:00-06:00,438.7715018590291 A
2017-10-28T00:00:00-06:00,402.78046894073486 A
2017-10-29T00:00:00-06:00,407.02161439259845 A
2017-10-30T00:00:00-06:00,441.40972391764325 A
2017-10-31T00:00:00-06:00,435.39262676239014 A
2017-11-01T00:00:00-06:00,444.36730670928955 A
2017-11-02T00:00:00-06:00,449.84012444814044 A
2017-11-03T00:00:00-06:00,445.1498276392619 A
2017-11-04T00:00:00-06:00,402.03897285461426 A
2017-11-05T00:00:00-06:00,386.6547912597656 A
2017-11-06T00:00:00-07:00,429.6321678161621 A
2017-11-07T00:00:00-07:00,430.8779983520508 A
2017-11-08T00:00:00-07:00,432.46667671203613 A
2017-11-09T00:00:00-07:00,434.8645893732707 A
2017-11-10T00:00:00-07:00,430.6927134195964 A
2017-11-11T00:00:00-07:00,389.7548650105794 A
2017-11-12T00:00:00-07:00,389.6694507598877 A
2017-11-13T00:00:00-07:00,435.1585776011149 A
2017-11-14T00:00:00-07:00,437.7204713821411 A
2017-11-15T00:00:00-07:00,439.245854695638 A
2017-11-16T00:00:00-07:00,447.0869967142741 A
2017-11-17T00:00:00-07:00,429.06303056081134 A
2017-11-18T00:00:00-07:00,248.9891165892283 A
2017-11-19T00:00:00-07:00,174.15087993939719 A
2017-11-20T00:00:00-07:00,217.89075843493143 A
2017-11-21T00:00:00-07:00,219.51947736740112 A
2017-11-22T00:00:00-07:00,214.77484027544656 A
2017-11-23T00:00:00-07:00,185.31020863850912 A
2017-11-24T00:00:00-07:00,183.57025599479675 A
2017-11-25T00:00:00-07:00,174.61467679341635 A
2017-11-26T00:00:00-07:00,177.9312667051951 A
