Timestamp,['1ce63da4-2db108c4 0028-MARRIOTT CENTER FOR DANCE Power Meter Volts BC']
2017-08-19T00:00:00-06:00,212.10442781448364 V
2017-08-20T00:00:00-06:00,212.16314554214478 V
2017-08-21T00:00:00-06:00,211.8817925453186 V
2017-08-22T00:00:00-06:00,211.75342988967896 V
2017-08-23T00:00:00-06:00,211.7730754216512 V
2017-08-24T00:00:00-06:00,211.71635357538858 V
2017-08-25T00:00:00-06:00,211.73598178227743 V
2017-08-26T00:00:00-06:00,211.759437084198 V
2017-08-27T00:00:00-06:00,211.86164538065592 V
2017-08-28T00:00:00-06:00,211.6281597694654 V
2017-08-29T00:00:00-06:00,211.5985340495686 V
2017-08-30T00:00:00-06:00,211.58637714385986 V
2017-08-31T00:00:00-06:00,211.6826287905375 V
2017-09-01T00:00:00-06:00,211.69927406311035 V
2017-09-02T00:00:00-06:00,212.04796075820923 V
2017-09-03T00:00:00-06:00,212.26513067881265 V
2017-09-04T00:00:00-06:00,211.97141075134277 V
2017-09-05T00:00:00-06:00,211.48709440231323 V
2017-09-06T00:00:00-06:00,211.51879024505615 V
2017-09-07T00:00:00-06:00,211.59567483266196 V
2017-09-08T00:00:00-06:00,211.75157878709877 V
2017-09-09T00:00:00-06:00,211.80622879664102 V
2017-09-10T00:00:00-06:00,212.15015029907227 V
2017-09-11T00:00:00-06:00,211.47238540649414 V
2017-09-12T00:00:00-06:00,211.73605330785117 V
2017-09-13T00:00:00-06:00,211.43906259536743 V
2017-09-14T00:00:00-06:00,211.70721292495728 V
2017-09-15T00:00:00-06:00,211.8114072481791 V
2017-09-16T00:00:00-06:00,212.24890979131064 V
2017-09-17T00:00:00-06:00,211.77664756774902 V
2017-09-18T00:00:00-06:00,211.90882778167725 V
2017-09-19T00:00:00-06:00,211.62080653508505 V
2017-09-20T00:00:00-06:00,211.8451600074768 V
2017-09-21T00:00:00-06:00,212.00894498825073 V
2017-09-22T00:00:00-06:00,211.84766578674316 V
2017-09-23T00:00:00-06:00,212.09871768951416 V
2017-09-24T00:00:00-06:00,211.91099500656128 V
2017-09-25T00:00:00-06:00,212.10703706741333 V
2017-09-26T00:00:00-06:00,211.88732306162515 V
2017-09-27T00:00:00-06:00,212.05461517969766 V
2017-09-28T00:00:00-06:00,211.87976789474487 V
2017-09-29T00:00:00-06:00,211.81225426991782 V
2017-09-30T00:00:00-06:00,212.08973423639932 V
2017-10-01T00:00:00-06:00,211.9899024963379 V
2017-10-02T00:00:00-06:00,211.99284251530966 V
2017-10-03T00:00:00-06:00,212.0371413230896 V
2017-10-04T00:00:00-06:00,211.79410028457642 V
2017-10-05T00:00:00-06:00,212.0374035835266 V
2017-10-06T00:00:00-06:00,212.0083508491516 V
2017-10-07T00:00:00-06:00,212.15859619776407 V
2017-10-08T00:00:00-06:00,212.47706985473633 V
2017-10-09T00:00:00-06:00,212.18707180023193 V
2017-10-10T00:00:00-06:00,212.27346404393515 V
2017-10-11T00:00:00-06:00,212.01301844914755 V
2017-10-12T00:00:00-06:00,212.39409828186035 V
2017-10-13T00:00:00-06:00,212.28207667668661 V
2017-10-14T00:00:00-06:00,212.2801283200582 V
2017-10-15T00:00:00-06:00,212.28786897659302 V
2017-10-16T00:00:00-06:00,212.09097655614218 V
2017-10-17T00:00:00-06:00,211.86318572362265 V
2017-10-18T00:00:00-06:00,211.73711744944254 V
2017-10-19T00:00:00-06:00,211.93006229400635 V
2017-10-20T00:00:00-06:00,211.9146286646525 V
2017-10-21T00:00:00-06:00,211.97106885910034 V
2017-10-22T00:00:00-06:00,212.2871004740397 V
2017-10-23T00:00:00-06:00,211.7992156346639 V
2017-10-24T00:00:00-06:00,211.69305864969888 V
2017-10-25T00:00:00-06:00,211.789910475413 V
2017-10-26T00:00:00-06:00,211.94402170181274 V
2017-10-27T00:00:00-06:00,211.98813438415527 V
2017-10-28T00:00:00-06:00,211.91709661483765 V
2017-10-29T00:00:00-06:00,212.19713481267294 V
2017-10-30T00:00:00-06:00,212.1587184270223 V
2017-10-31T00:00:00-06:00,212.26480976740518 V
2017-11-01T00:00:00-06:00,211.8503189086914 V
2017-11-02T00:00:00-06:00,211.9023413658142 V
2017-11-03T00:00:00-06:00,211.88423426946005 V
2017-11-04T00:00:00-06:00,211.9647879600525 V
2017-11-05T00:00:00-06:00,211.94252899169922 V
2017-11-06T00:00:00-07:00,211.77728764216104 V
2017-11-07T00:00:00-07:00,211.79722356796265 V
2017-11-08T00:00:00-07:00,211.81444279352823 V
2017-11-09T00:00:00-07:00,211.98914877573648 V
2017-11-10T00:00:00-07:00,211.84491777420044 V
2017-11-11T00:00:00-07:00,211.8025058110555 V
2017-11-12T00:00:00-07:00,212.12260103225708 V
2017-11-13T00:00:00-07:00,212.09365701675415 V
2017-11-14T00:00:00-07:00,212.40786536534628 V
2017-11-15T00:00:00-07:00,211.98689460754395 V
2017-11-16T00:00:00-07:00,211.79163869222006 V
2017-11-17T00:00:00-07:00,212.0446483294169 V
2017-11-18T00:00:00-07:00,212.19779364267984 V
2017-11-19T00:00:00-07:00,212.48341989517212 V
2017-11-20T00:00:00-07:00,211.90689706802368 V
2017-11-21T00:00:00-07:00,212.01666895548502 V
2017-11-22T00:00:00-07:00,211.97694047292075 V
2017-11-23T00:00:00-07:00,212.6350482304891 V
2017-11-24T00:00:00-07:00,212.33947960535684 V
2017-11-25T00:00:00-07:00,212.29441944758096 V
2017-11-26T00:00:00-07:00,212.5048796335856 V
2017-11-27T00:00:00-07:00,211.98187128702799 V
2017-11-28T00:00:00-07:00,212.0935754776001 V
2017-11-29T00:00:00-07:00,212.174174785614 V
2017-11-30T00:00:00-07:00,212.28333886464438 V
2017-12-01T00:00:00-07:00,211.89685249328613 V
2017-12-02T00:00:00-07:00,212.06231133143106 V
2017-12-03T00:00:00-07:00,212.27226765950522 V
2017-12-04T00:00:00-07:00,212.19463380177817 V
2017-12-05T00:00:00-07:00,212.04618390401205 V
2017-12-06T00:00:00-07:00,211.80128049850464 V
2017-12-07T00:00:00-07:00,211.85187435150146 V
2017-12-08T00:00:00-07:00,211.95745627085367 V
2017-12-09T00:00:00-07:00,212.5048213005066 V
2017-12-10T00:00:00-07:00,212.4608523050944 V
2017-12-11T00:00:00-07:00,212.49218606948853 V
2017-12-12T00:00:00-07:00,212.00597095489502 V
2017-12-13T00:00:00-07:00,212.53293402989706 V
2017-12-14T00:00:00-07:00,212.22172514597574 V
2017-12-15T00:00:00-07:00,212.25422112147012 V
2017-12-16T00:00:00-07:00,212.17772483825684 V
2017-12-17T00:00:00-07:00,212.61866013209024 V
2017-12-18T00:00:00-07:00,212.6723404769059 V
2017-12-19T00:00:00-07:00,212.5357575416565 V
2017-12-20T00:00:00-07:00,212.49154949188232 V
2017-12-21T00:00:00-07:00,212.5606163342794 V
2017-12-22T00:00:00-07:00,212.74794673919678 V
2017-12-23T00:00:00-07:00,212.40878852208456 V
2017-12-24T00:00:00-07:00,212.80572859446207 V
2017-12-25T00:00:00-07:00,212.69785165786743 V
2017-12-26T00:00:00-07:00,212.7184386253357 V
2017-12-27T00:00:00-07:00,212.71768379211426 V
2017-12-28T00:00:00-07:00,212.6462400754293 V
2017-12-29T00:00:00-07:00,212.492178440094 V
2017-12-30T00:00:00-07:00,212.40822490056357 V
2017-12-31T00:00:00-07:00,212.4531545639038 V
