Timestamp,['1f7d6c5c-03403a9f 0372-KENNECOTT MECH ENG BLDG Power Meter 300344 Current C']
2017-07-10T00:00:00-06:00,58.502278645833336 A
2017-07-11T00:00:00-06:00,57.244466145833336 A
2017-07-12T00:00:00-06:00,55.784505208333336 A
2017-07-13T00:00:00-06:00,56.540364583333336 A
2017-07-14T00:00:00-06:00,55.4091796875 A
2017-07-15T00:00:00-06:00,49.030924479166664 A
2017-07-16T00:00:00-06:00,47.755859375 A
2017-07-17T00:00:00-06:00,53.483723958333336 A
2017-07-18T00:00:00-06:00,54.259765625 A
2017-07-19T00:00:00-06:00,53.739583333333336 A
2017-07-20T00:00:00-06:00,52.4423828125 A
2017-07-21T00:00:00-06:00,52.4501953125 A
2017-07-22T00:00:00-06:00,47.8017578125 A
2017-07-23T00:00:00-06:00,47.570963541666664 A
2017-07-24T00:00:00-06:00,49.140299479166664 A
2017-07-25T00:00:00-06:00,54.135091145833336 A
2017-07-26T00:00:00-06:00,56.705729166666664 A
2017-07-27T00:00:00-06:00,56.282552083333336 A
2017-07-28T00:00:00-06:00,54.853515625 A
2017-07-29T00:00:00-06:00,50.0205078125 A
2017-07-30T00:00:00-06:00,50.421549479166664 A
2017-07-31T00:00:00-06:00,56.2509765625 A
2017-08-01T00:00:00-06:00,57.9052734375 A
2017-08-02T00:00:00-06:00,55.672200520833336 A
2017-08-03T00:00:00-06:00,57.502604166666664 A
2017-08-04T00:00:00-06:00,57.22836538461539 A
2017-08-05T00:00:00-06:00,52.28515625 A
2017-08-06T00:00:00-06:00,52.353190104166664 A
2017-08-07T00:00:00-06:00,59.543294270833336 A
2017-08-08T00:00:00-06:00,58.779947916666664 A
2017-08-09T00:00:00-06:00,59.035481770833336 A
2017-08-10T00:00:00-06:00,59.74867021276596 A
2017-08-11T00:00:00-06:00,58.44802631578948 A
2017-08-12T00:00:00-06:00,53.322591145833336 A
2017-08-13T00:00:00-06:00,51.77734375 A
2017-08-14T00:00:00-06:00,59.587239583333336 A
2017-08-15T00:00:00-06:00,58.590169270833336 A
2017-08-16T00:00:00-06:00,57.628255208333336 A
2017-08-17T00:00:00-06:00,54.5400390625 A
2017-08-18T00:00:00-06:00,57.513020833333336 A
2017-08-19T00:00:00-06:00,52.928059895833336 A
2017-08-20T00:00:00-06:00,52.96484375 A
2017-08-21T00:00:00-06:00,59.167317708333336 A
2017-08-22T00:00:00-06:00,61.5458984375 A
2017-08-23T00:00:00-06:00,60.793294270833336 A
2017-08-24T00:00:00-06:00,61.606119791666664 A
2017-08-25T00:00:00-06:00,61.483072916666664 A
2017-08-26T00:00:00-06:00,53.946614583333336 A
2017-08-27T00:00:00-06:00,55.019856770833336 A
2017-08-28T00:00:00-06:00,62.39639945652174 A
2017-08-29T00:00:00-06:00,60.997983870967744 A
2017-08-30T00:00:00-06:00,62.027018229166664 A
2017-08-31T00:00:00-06:00,60.598958333333336 A
2017-09-01T00:00:00-06:00,57.78125 A
2017-09-02T00:00:00-06:00,47.2919921875 A
2017-09-03T00:00:00-06:00,47.795572916666664 A
2017-09-04T00:00:00-06:00,48.3251953125 A
2017-09-05T00:00:00-06:00,55.276692708333336 A
2017-09-06T00:00:00-06:00,57.246744791666664 A
2017-09-07T00:00:00-06:00,57.6474609375 A
2017-09-08T00:00:00-06:00,57.16323138297872 A
2017-09-09T00:00:00-06:00,50.568684895833336 A
2017-09-10T00:00:00-06:00,51.989908854166664 A
2017-09-11T00:00:00-06:00,59.0830078125 A
2017-09-12T00:00:00-06:00,58.986979166666664 A
2017-09-13T00:00:00-06:00,60.018880208333336 A
2017-09-14T00:00:00-06:00,60.1552734375 A
2017-09-15T00:00:00-06:00,62.1552734375 A
2017-09-16T00:00:00-06:00,54.872395833333336 A
2017-09-17T00:00:00-06:00,53.450520833333336 A
2017-09-18T00:00:00-06:00,61.0908203125 A
2017-09-19T00:00:00-06:00,63.552734375 A
2017-09-20T00:00:00-06:00,62.178385416666664 A
2017-09-21T00:00:00-06:00,63.950846354166664 A
2017-09-22T00:00:00-06:00,61.8251953125 A
