Timestamp,"['1e71effd-eea5cb9b 0040-STUDENT SERVICES BLDG Power Meter (300089) Watts, 3-Ph total']"
2017-09-02T00:00:00-06:00,512.23095703125 kW
2017-09-03T00:00:00-06:00,497.2802734375 kW
2017-09-04T00:00:00-06:00,514.6008911132812 kW
2017-09-05T00:00:00-06:00,604.2276611328125 kW
2017-09-06T00:00:00-06:00,612.3812866210938 kW
2017-09-07T00:00:00-06:00,624.435791015625 kW
2017-09-08T00:00:00-06:00,591.1231079101562 kW
2017-09-09T00:00:00-06:00,494.0462646484375 kW
2017-09-10T00:00:00-06:00,506.6038513183594 kW
2017-09-11T00:00:00-06:00,613.4082641601562 kW
2017-09-12T00:00:00-06:00,575.2259521484375 kW
2017-09-13T00:00:00-06:00,602.4119873046875 kW
2017-09-14T00:00:00-06:00,567.8839721679688 kW
2017-09-15T00:00:00-06:00,548.663818359375 kW
2017-09-16T00:00:00-06:00,463.4914855957031 kW
2017-09-17T00:00:00-06:00,517.1839599609375 kW
2017-09-18T00:00:00-06:00,598.4295043945312 kW
2017-09-19T00:00:00-06:00,521.465576171875 kW
2017-09-20T00:00:00-06:00,616.47021484375 kW
2017-09-21T00:00:00-06:00,586.5663452148438 kW
2017-09-22T00:00:00-06:00,486.1412048339844 kW
2017-09-23T00:00:00-06:00,292.4961242675781 kW
2017-09-24T00:00:00-06:00,289.7640380859375 kW
2017-09-25T00:00:00-06:00,607.2880859375 kW
2017-09-26T00:00:00-06:00,521.2618408203125 kW
2017-09-27T00:00:00-06:00,536.1102905273438 kW
2017-09-28T00:00:00-06:00,542.6452026367188 kW
2017-09-29T00:00:00-06:00,560.9102783203125 kW
2017-09-30T00:00:00-06:00,450.8137512207031 kW
2017-10-01T00:00:00-06:00,431.9743347167969 kW
2017-10-02T00:00:00-06:00,386.698974609375 kW
2017-10-03T00:00:00-06:00,485.58636474609375 kW
2017-10-04T00:00:00-06:00,535.329833984375 kW
2017-10-05T00:00:00-06:00,505.2395324707031 kW
2017-10-06T00:00:00-06:00,519.1219482421875 kW
2017-10-07T00:00:00-06:00,462.8636169433594 kW
2017-10-08T00:00:00-06:00,434.3111877441406 kW
2017-10-09T00:00:00-06:00,521.6143798828125 kW
2017-10-10T00:00:00-06:00,502.06988525390625 kW
2017-10-11T00:00:00-06:00,541.845458984375 kW
2017-10-12T00:00:00-06:00,496.94866943359375 kW
2017-10-13T00:00:00-06:00,491.5801086425781 kW
2017-10-14T00:00:00-06:00,292.7128601074219 kW
2017-10-15T00:00:00-06:00,430.1413269042969 kW
2017-10-16T00:00:00-06:00,505.7051086425781 kW
2017-10-17T00:00:00-06:00,533.7894897460938 kW
2017-10-18T00:00:00-06:00,537.7442626953125 kW
2017-10-19T00:00:00-06:00,560.7850341796875 kW
2017-10-20T00:00:00-06:00,548.4037475585938 kW
2017-10-21T00:00:00-06:00,294.17041015625 kW
2017-10-22T00:00:00-06:00,429.02056884765625 kW
2017-10-23T00:00:00-06:00,557.990478515625 kW
2017-10-24T00:00:00-06:00,527.0908813476562 kW
2017-10-25T00:00:00-06:00,573.8881225585938 kW
2017-10-26T00:00:00-06:00,403.0692443847656 kW
2017-10-27T00:00:00-06:00,381.8438415527344 kW
2017-10-28T00:00:00-06:00,297.55804443359375 kW
2017-10-29T00:00:00-06:00,318.41943359375 kW
2017-10-30T00:00:00-06:00,384.8564453125 kW
2017-10-31T00:00:00-06:00,378.9698486328125 kW
2017-11-01T00:00:00-06:00,389.74102783203125 kW
2017-11-02T00:00:00-06:00,389.4703674316406 kW
2017-11-03T00:00:00-06:00,385.2410583496094 kW
2017-11-04T00:00:00-06:00,303.081787109375 kW
2017-11-05T00:00:00-06:00,287.69964599609375 kW
2017-11-06T00:00:00-07:00,387.71240234375 kW
2017-11-07T00:00:00-07:00,385.3204650878906 kW
2017-11-08T00:00:00-07:00,390.7308654785156 kW
2017-11-09T00:00:00-07:00,402.6731262207031 kW
2017-11-10T00:00:00-07:00,384.8785400390625 kW
2017-11-11T00:00:00-07:00,301.2040710449219 kW
2017-11-12T00:00:00-07:00,282.4367980957031 kW
2017-11-13T00:00:00-07:00,383.1433410644531 kW
2017-11-14T00:00:00-07:00,380.37579345703125 kW
2017-11-15T00:00:00-07:00,380.47918701171875 kW
2017-11-16T00:00:00-07:00,375.91241455078125 kW
2017-11-17T00:00:00-07:00,392.3761901855469 kW
2017-11-18T00:00:00-07:00,294.4232482910156 kW
2017-11-19T00:00:00-07:00,152.86367797851562 kW
2017-11-20T00:00:00-07:00,245.31884765625 kW
2017-11-21T00:00:00-07:00,243.7721405029297 kW
2017-11-22T00:00:00-07:00,238.99159240722656 kW
2017-11-23T00:00:00-07:00,157.2245635986328 kW
2017-11-24T00:00:00-07:00,162.6593017578125 kW
2017-11-25T00:00:00-07:00,163.41761779785156 kW
2017-11-26T00:00:00-07:00,153.7641143798828 kW
2017-11-27T00:00:00-07:00,237.54324340820312 kW
2017-11-28T00:00:00-07:00,238.7978973388672 kW
2017-11-29T00:00:00-07:00,381.00732421875 kW
2017-11-30T00:00:00-07:00,387.7607727050781 kW
2017-12-01T00:00:00-07:00,375.4439392089844 kW
2017-12-02T00:00:00-07:00,298.22454833984375 kW
2017-12-03T00:00:00-07:00,302.6082763671875 kW
2017-12-04T00:00:00-07:00,391.88427734375 kW
2017-12-05T00:00:00-07:00,402.1527099609375 kW
2017-12-06T00:00:00-07:00,402.7926940917969 kW
2017-12-07T00:00:00-07:00,380.6512451171875 kW
2017-12-08T00:00:00-07:00,377.52581787109375 kW
2017-12-09T00:00:00-07:00,307.0519714355469 kW
2017-12-10T00:00:00-07:00,297.0038757324219 kW
2017-12-11T00:00:00-07:00,394.4268798828125 kW
2017-12-12T00:00:00-07:00,404.94464111328125 kW
2017-12-13T00:00:00-07:00,430.0110168457031 kW
2017-12-14T00:00:00-07:00,408.3764343261719 kW
2017-12-15T00:00:00-07:00,362.40911865234375 kW
2017-12-16T00:00:00-07:00,303.754638671875 kW
2017-12-17T00:00:00-07:00,300.63287353515625 kW
2017-12-18T00:00:00-07:00,395.9029541015625 kW
2017-12-19T00:00:00-07:00,402.58026123046875 kW
2017-12-20T00:00:00-07:00,375.6772155761719 kW
2017-12-21T00:00:00-07:00,379.34100341796875 kW
2017-12-22T00:00:00-07:00,352.6441650390625 kW
2017-12-23T00:00:00-07:00,285.84954833984375 kW
2017-12-24T00:00:00-07:00,284.0860900878906 kW
2017-12-25T00:00:00-07:00,293.7883605957031 kW
2017-12-26T00:00:00-07:00,300.16815185546875 kW
2017-12-27T00:00:00-07:00,358.93951416015625 kW
2017-12-28T00:00:00-07:00,393.1143798828125 kW
2017-12-29T00:00:00-07:00,288.19146728515625 kW
2017-12-30T00:00:00-07:00,296.7989196777344 kW
2017-12-31T00:00:00-07:00,282.3286437988281 kW
