Timestamp,['1f7d6c57-1187428b 0372-KENNECOTT MECH ENG BLDG Power Meter 300344 Current B']
2017-05-24T00:00:00-06:00,51.259440104166664 A
2017-05-25T00:00:00-06:00,52.271809895833336 A
2017-05-26T00:00:00-06:00,50.023763020833336 A
2017-05-27T00:00:00-06:00,45.097330729166664 A
2017-05-28T00:00:00-06:00,48.1891447368421 A
2017-05-29T00:00:00-06:00,48.342447916666664 A
2017-05-30T00:00:00-06:00,53.9873046875 A
2017-05-31T00:00:00-06:00,57.498046875 A
2017-06-01T00:00:00-06:00,57.529296875 A
2017-06-02T00:00:00-06:00,56.30859375 A
2017-06-03T00:00:00-06:00,44.796875 A
2017-06-04T00:00:00-06:00,42.033854166666664 A
2017-06-05T00:00:00-06:00,51.08203125 A
2017-06-06T00:00:00-06:00,52.90234375 A
2017-06-07T00:00:00-06:00,54.327799479166664 A
2017-06-08T00:00:00-06:00,59.152018229166664 A
2017-06-09T00:00:00-06:00,56.711263020833336 A
2017-06-10T00:00:00-06:00,44.504557291666664 A
2017-06-11T00:00:00-06:00,44.986002604166664 A
2017-06-12T00:00:00-06:00,53.430338541666664 A
2017-06-13T00:00:00-06:00,56.6650390625 A
2017-06-14T00:00:00-06:00,58.155598958333336 A
2017-06-15T00:00:00-06:00,58.138346354166664 A
2017-06-16T00:00:00-06:00,56.946940104166664 A
2017-06-17T00:00:00-06:00,50.805338541666664 A
2017-06-18T00:00:00-06:00,50.050130208333336 A
2017-06-19T00:00:00-06:00,54.634114583333336 A
2017-06-20T00:00:00-06:00,56.062174479166664 A
2017-06-21T00:00:00-06:00,58.4619140625 A
2017-06-22T00:00:00-06:00,59.667317708333336 A
2017-06-23T00:00:00-06:00,58.01953125 A
2017-06-24T00:00:00-06:00,49.505208333333336 A
2017-06-25T00:00:00-06:00,49.5263671875 A
2017-06-26T00:00:00-06:00,56.322591145833336 A
2017-06-27T00:00:00-06:00,59.2431640625 A
2017-06-28T00:00:00-06:00,58.046875 A
2017-06-29T00:00:00-06:00,53.908854166666664 A
2017-06-30T00:00:00-06:00,50.826497395833336 A
2017-07-01T00:00:00-06:00,49.224609375 A
2017-07-02T00:00:00-06:00,50.963541666666664 A
2017-07-03T00:00:00-06:00,54.7763671875 A
2017-07-04T00:00:00-06:00,49.027994791666664 A
2017-07-05T00:00:00-06:00,49.901041666666664 A
2017-07-06T00:00:00-06:00,51.652018229166664 A
2017-07-07T00:00:00-06:00,53.913736979166664 A
2017-07-08T00:00:00-06:00,49.944661458333336 A
2017-07-09T00:00:00-06:00,49.286458333333336 A
