Timestamp,['203a2637-3272d936 0066-SIMMONS PIONEER MEMORIAL THEATRE Power Meter Current A']
2017-05-06T00:00:00-06:00,382.92518949508667 A
2017-05-07T00:00:00-06:00,296.40062681833905 A
2017-05-08T00:00:00-06:00,373.56738090515137 A
2017-05-09T00:00:00-06:00,386.1849357287089 A
2017-05-10T00:00:00-06:00,399.8512609799703 A
2017-05-11T00:00:00-06:00,387.48049275080365 A
2017-05-12T00:00:00-06:00,398.79490900039673 A
2017-05-13T00:00:00-06:00,347.0015031496684 A
2017-05-14T00:00:00-06:00,274.36885992685956 A
2017-05-15T00:00:00-06:00,376.72954845428467 A
2017-05-16T00:00:00-06:00,351.91448942820233 A
2017-05-17T00:00:00-06:00,328.0163157780965 A
2017-05-18T00:00:00-06:00,316.45380957921344 A
2017-05-19T00:00:00-06:00,333.2290892601013 A
2017-05-20T00:00:00-06:00,362.9097326596578 A
2017-05-21T00:00:00-06:00,306.40914074579877 A
2017-05-22T00:00:00-06:00,341.91918961207074 A
2017-05-23T00:00:00-06:00,338.75466839472455 A
2017-05-24T00:00:00-06:00,330.3485333124797 A
2017-05-25T00:00:00-06:00,305.0230983098348 A
2017-05-26T00:00:00-06:00,283.70170736312866 A
2017-05-27T00:00:00-06:00,276.3331108093262 A
2017-05-28T00:00:00-06:00,293.9617132889597 A
2017-05-29T00:00:00-06:00,289.72558705012005 A
2017-05-30T00:00:00-06:00,329.2830117543538 A
2017-05-31T00:00:00-06:00,353.3107180595398 A
2017-06-01T00:00:00-06:00,340.255738735199 A
2017-06-02T00:00:00-06:00,331.420121828715 A
2017-06-03T00:00:00-06:00,313.8721995353699 A
2017-06-04T00:00:00-06:00,324.4510877927144 A
2017-06-05T00:00:00-06:00,347.23531738917035 A
2017-06-06T00:00:00-06:00,342.83618275324505 A
2017-06-07T00:00:00-06:00,353.82049735387164 A
2017-06-08T00:00:00-06:00,345.48330847422284 A
2017-06-09T00:00:00-06:00,326.04753573735553 A
2017-06-10T00:00:00-06:00,293.6713374087685 A
2017-06-11T00:00:00-06:00,305.33475081125897 A
2017-06-12T00:00:00-06:00,293.4114707310994 A
