Timestamp,['1cdb9d30-fce36875 0086-MARRIOTT LIBRARY Power Meter 4 Current B']
2017-07-26T00:00:00-06:00,61.709374944368996 A
2017-07-27T00:00:00-06:00,61.84791672229767 A
2017-07-28T00:00:00-06:00,60.15624996026357 A
2017-07-29T00:00:00-06:00,58.39062484105428 A
2017-07-30T00:00:00-06:00,57.81458322207133 A
2017-07-31T00:00:00-06:00,62.70208319028219 A
2017-08-01T00:00:00-06:00,61.87604173024496 A
2017-08-02T00:00:00-06:00,62.09062508742014 A
2017-08-03T00:00:00-06:00,61.82395839691162 A
2017-08-04T00:00:00-06:00,60.2966667175293 A
2017-08-05T00:00:00-06:00,57.69687497615814 A
2017-08-06T00:00:00-06:00,57.05520828564962 A
2017-08-07T00:00:00-06:00,60.62916660308838 A
2017-08-08T00:00:00-06:00,61.20729172229767 A
2017-08-09T00:00:00-06:00,61.011458357175194 A
2017-08-10T00:00:00-06:00,60.37957004834247 A
2017-08-11T00:00:00-06:00,60.57395839691162 A
2017-08-12T00:00:00-06:00,56.75833332538605 A
2017-08-13T00:00:00-06:00,56.434374968210854 A
2017-08-14T00:00:00-06:00,60.53229169050852 A
2017-08-15T00:00:00-06:00,60.263541301091514 A
2017-08-16T00:00:00-06:00,60.73437476158142 A
2017-08-17T00:00:00-06:00,60.530208468437195 A
2017-08-18T00:00:00-06:00,60.63229159514109 A
2017-08-19T00:00:00-06:00,56.617708245913185 A
2017-08-20T00:00:00-06:00,56.364583452542625 A
2017-08-21T00:00:00-06:00,63.30833315849304 A
2017-08-22T00:00:00-06:00,64.15208339691162 A
2017-08-23T00:00:00-06:00,65.77499997615814 A
2017-08-24T00:00:00-06:00,65.71562556425731 A
2017-08-25T00:00:00-06:00,64.61458325386047 A
2017-08-26T00:00:00-06:00,58.70833349227905 A
2017-08-27T00:00:00-06:00,58.92916667461395 A
2017-08-28T00:00:00-06:00,66.18901070395668 A
2017-08-29T00:00:00-06:00,68.01222220526802 A
2017-08-30T00:00:00-06:00,66.97395829359691 A
2017-08-31T00:00:00-06:00,65.39375030994415 A
2017-09-01T00:00:00-06:00,62.78020819028219 A
2017-09-02T00:00:00-06:00,59.28854155540466 A
2017-09-03T00:00:00-06:00,58.494791666666664 A
2017-09-04T00:00:00-06:00,57.32291662693024 A
2017-09-05T00:00:00-06:00,66.47604139645894 A
2017-09-06T00:00:00-06:00,67.67604152361552 A
2017-09-07T00:00:00-06:00,66.80520848433177 A
2017-09-08T00:00:00-06:00,63.14999978438668 A
2017-09-09T00:00:00-06:00,60.11562490463257 A
2017-09-10T00:00:00-06:00,60.066666642824806 A
2017-09-11T00:00:00-06:00,67.62187500794728 A
2017-09-12T00:00:00-06:00,67.88958319028218 A
2017-09-13T00:00:00-06:00,67.62395842870076 A
2017-09-14T00:00:00-06:00,69.23645830154419 A
2017-09-15T00:00:00-06:00,66.7447915871938 A
2017-09-16T00:00:00-06:00,61.26770850022634 A
2017-09-17T00:00:00-06:00,61.38020793596903 A
2017-09-18T00:00:00-06:00,68.88958326975505 A
2017-09-19T00:00:00-06:00,69.14166669050853 A
2017-09-20T00:00:00-06:00,69.69270845254262 A
2017-09-21T00:00:00-06:00,68.60937492052715 A
2017-09-22T00:00:00-06:00,65.00104188919067 A
2017-09-23T00:00:00-06:00,60.659375031789146 A
