Timestamp,['1cd6867b-5f6ad739 Power Meter (4160V) 316611 Real Power Total']
2017-11-30T00:00:00-07:00,111 kW
2017-12-01T00:00:00-07:00,144 kW
2017-12-02T00:00:00-07:00,129 kW
2017-12-03T00:00:00-07:00,142 kW
2017-12-04T00:00:00-07:00,0 kW
2017-12-05T00:00:00-07:00,0 kW
2017-12-06T00:00:00-07:00,0 kW
2017-12-07T00:00:00-07:00,0 kW
2017-12-08T00:00:00-07:00,0 kW
2017-12-09T00:00:00-07:00,0 kW
2017-12-10T00:00:00-07:00,0 kW
2017-12-11T00:00:00-07:00,0 kW
2017-12-12T00:00:00-07:00,0 kW
2017-12-13T00:00:00-07:00,0 kW
2017-12-14T00:00:00-07:00,0 kW
2017-12-15T00:00:00-07:00,0 kW
2017-12-16T00:00:00-07:00,0 kW
2017-12-17T00:00:00-07:00,0 kW
2017-12-18T00:00:00-07:00,0 kW
2017-12-19T00:00:00-07:00,0 kW
2017-12-20T00:00:00-07:00,0 kW
2017-12-21T00:00:00-07:00,0 kW
2017-12-22T00:00:00-07:00,0 kW
2017-12-23T00:00:00-07:00,0 kW
2017-12-24T00:00:00-07:00,0 kW
2017-12-25T00:00:00-07:00,0 kW
2017-12-26T00:00:00-07:00,0 kW
2017-12-27T00:00:00-07:00,0 kW
2017-12-28T00:00:00-07:00,0 kW
2017-12-29T00:00:00-07:00,0 kW
2017-12-30T00:00:00-07:00,0 kW
2017-12-31T00:00:00-07:00,0 kW
