Timestamp,['1cca74ad-f1c96daa 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts AB']
2017-12-12T00:00:00-07:00,213.35416666666666 V
2017-12-13T00:00:00-07:00,213.70833333333334 V
2017-12-14T00:00:00-07:00,213.375 V
2017-12-15T00:00:00-07:00,213.34375 V
2017-12-16T00:00:00-07:00,213.625 V
2017-12-17T00:00:00-07:00,213.55208333333334 V
2017-12-18T00:00:00-07:00,213.64444444444445 V
2017-12-19T00:00:00-07:00,213.54166666666666 V
2017-12-20T00:00:00-07:00,213.48958333333334 V
2017-12-21T00:00:00-07:00,213.57291666666666 V
2017-12-22T00:00:00-07:00,213.55208333333334 V
2017-12-23T00:00:00-07:00,213.33333333333334 V
2017-12-24T00:00:00-07:00,213.60416666666666 V
2017-12-25T00:00:00-07:00,213.48958333333334 V
2017-12-26T00:00:00-07:00,213.55208333333334 V
2017-12-27T00:00:00-07:00,213.47916666666666 V
2017-12-28T00:00:00-07:00,213.59375 V
2017-12-29T00:00:00-07:00,213.39583333333334 V
2017-12-30T00:00:00-07:00,213.45833333333334 V
2017-12-31T00:00:00-07:00,213.44791666666666 V
