Timestamp,"['1fa62366-085de6ff 0003-GARDNER HALL Power Meter (300015) Watts, 3-Ph total']"
2017-06-12T00:00:00-06:00,50.80636978149414 kW
2017-06-13T00:00:00-06:00,47.622955322265625 kW
2017-06-14T00:00:00-06:00,49.489837646484375 kW
2017-06-15T00:00:00-06:00,60.58332061767578 kW
2017-06-16T00:00:00-06:00,33.931617736816406 kW
2017-06-17T00:00:00-06:00,43.89348220825195 kW
2017-06-18T00:00:00-06:00,42.4603271484375 kW
2017-06-19T00:00:00-06:00,56.22280502319336 kW
2017-06-20T00:00:00-06:00,56.9271125793457 kW
2017-06-21T00:00:00-06:00,68.65812683105469 kW
2017-06-22T00:00:00-06:00,65.41796112060547 kW
2017-06-23T00:00:00-06:00,49.00481033325195 kW
2017-06-24T00:00:00-06:00,39.59577560424805 kW
2017-06-25T00:00:00-06:00,32.04698181152344 kW
2017-06-26T00:00:00-06:00,57.274803161621094 kW
2017-06-27T00:00:00-06:00,49.08819580078125 kW
2017-06-28T00:00:00-06:00,31.315935134887695 kW
2017-06-29T00:00:00-06:00,47.0223274230957 kW
2017-06-30T00:00:00-06:00,40.50232696533203 kW
2017-07-01T00:00:00-06:00,29.93662452697754 kW
2017-07-02T00:00:00-06:00,23.977909088134766 kW
2017-07-03T00:00:00-06:00,33.50452423095703 kW
2017-07-04T00:00:00-06:00,24.536029815673828 kW
2017-07-05T00:00:00-06:00,50.27142333984375 kW
2017-07-06T00:00:00-06:00,52.129798889160156 kW
2017-07-07T00:00:00-06:00,50.133277893066406 kW
2017-07-08T00:00:00-06:00,51.57334899902344 kW
2017-07-09T00:00:00-06:00,38.10218048095703 kW
2017-07-10T00:00:00-06:00,49.86360549926758 kW
2017-07-11T00:00:00-06:00,44.72929382324219 kW
2017-07-12T00:00:00-06:00,58.54906463623047 kW
2017-07-13T00:00:00-06:00,51.89080810546875 kW
2017-07-14T00:00:00-06:00,49.21774673461914 kW
2017-07-15T00:00:00-06:00,43.553688049316406 kW
2017-07-16T00:00:00-06:00,38.6796989440918 kW
2017-07-17T00:00:00-06:00,53.15583038330078 kW
2017-07-18T00:00:00-06:00,56.951133728027344 kW
2017-07-19T00:00:00-06:00,51.276641845703125 kW
2017-07-20T00:00:00-06:00,53.34523010253906 kW
2017-07-21T00:00:00-06:00,53.02089309692383 kW
2017-07-22T00:00:00-06:00,49.89396667480469 kW
2017-07-23T00:00:00-06:00,27.692934036254883 kW
2017-07-24T00:00:00-06:00,40.82139587402344 kW
2017-07-25T00:00:00-06:00,43.16303253173828 kW
2017-07-26T00:00:00-06:00,45.37168502807617 kW
2017-07-27T00:00:00-06:00,44.32653045654297 kW
2017-07-28T00:00:00-06:00,44.561622619628906 kW
2017-07-29T00:00:00-06:00,42.73924255371094 kW
2017-07-30T00:00:00-06:00,37.87709045410156 kW
2017-07-31T00:00:00-06:00,63.306236267089844 kW
2017-08-01T00:00:00-06:00,42.827598571777344 kW
2017-08-02T00:00:00-06:00,36.08268356323242 kW
2017-08-03T00:00:00-06:00,59.949913024902344 kW
2017-08-04T00:00:00-06:00,56.29532241821289 kW
2017-08-05T00:00:00-06:00,30.32498550415039 kW
2017-08-06T00:00:00-06:00,21.673831939697266 kW
2017-08-07T00:00:00-06:00,53.22638702392578 kW
2017-08-08T00:00:00-06:00,50.57325744628906 kW
2017-08-09T00:00:00-06:00,52.18059158325195 kW
2017-08-10T00:00:00-06:00,60.887107849121094 kW
2017-08-11T00:00:00-06:00,44.008018493652344 kW
2017-08-12T00:00:00-06:00,52.65639114379883 kW
2017-08-13T00:00:00-06:00,46.585086822509766 kW
2017-08-14T00:00:00-06:00,45.53215789794922 kW
2017-08-15T00:00:00-06:00,34.41627502441406 kW
2017-08-16T00:00:00-06:00,50.91523361206055 kW
2017-08-17T00:00:00-06:00,56.69204330444336 kW
2017-08-18T00:00:00-06:00,41.89611053466797 kW
2017-08-19T00:00:00-06:00,60.06090545654297 kW
2017-08-20T00:00:00-06:00,46.97748947143555 kW
2017-08-21T00:00:00-06:00,46.35246658325195 kW
2017-08-22T00:00:00-06:00,61.180789947509766 kW
2017-08-23T00:00:00-06:00,65.04791259765625 kW
2017-08-24T00:00:00-06:00,57.11895751953125 kW
2017-08-25T00:00:00-06:00,58.27545166015625 kW
2017-08-26T00:00:00-06:00,32.42781448364258 kW
2017-08-27T00:00:00-06:00,27.461837768554688 kW
2017-08-28T00:00:00-06:00,59.231475830078125 kW
2017-08-29T00:00:00-06:00,48.86735534667969 kW
2017-08-30T00:00:00-06:00,63.67689514160156 kW
2017-08-31T00:00:00-06:00,58.261871337890625 kW
2017-09-01T00:00:00-06:00,60.40325927734375 kW
2017-09-02T00:00:00-06:00,33.87285614013672 kW
2017-09-03T00:00:00-06:00,41.100643157958984 kW
2017-09-04T00:00:00-06:00,40.4146728515625 kW
2017-09-05T00:00:00-06:00,62.64488983154297 kW
2017-09-06T00:00:00-06:00,55.5537223815918 kW
2017-09-07T00:00:00-06:00,71.28179931640625 kW
2017-09-08T00:00:00-06:00,62.878997802734375 kW
2017-09-09T00:00:00-06:00,50.43306350708008 kW
2017-09-10T00:00:00-06:00,52.259002685546875 kW
2017-09-11T00:00:00-06:00,69.89161682128906 kW
2017-09-12T00:00:00-06:00,65.04161834716797 kW
2017-09-13T00:00:00-06:00,63.72092819213867 kW
2017-09-14T00:00:00-06:00,60.855438232421875 kW
2017-09-15T00:00:00-06:00,63.134307861328125 kW
