Timestamp,['1cc9722a-ac9e684f 0051-STERLING SILL CNTR Power Meter Volts AN']
2017-06-16T00:00:00-06:00,121.61666631698608 V
2017-06-17T00:00:00-06:00,121.60312509536743 V
2017-06-18T00:00:00-06:00,121.6458334128062 V
2017-06-19T00:00:00-06:00,121.64166633288066 V
2017-06-20T00:00:00-06:00,121.59166661898296 V
2017-06-21T00:00:00-06:00,121.57187557220459 V
2017-06-22T00:00:00-06:00,121.546875 V
2017-06-23T00:00:00-06:00,121.73645853996277 V
2017-06-24T00:00:00-06:00,121.74375041325887 V
2017-06-25T00:00:00-06:00,121.6416666507721 V
2017-06-26T00:00:00-06:00,121.56562447547913 V
2017-06-27T00:00:00-06:00,121.609375 V
2017-06-28T00:00:00-06:00,121.52604150772095 V
2017-06-29T00:00:00-06:00,121.66458352406819 V
2017-06-30T00:00:00-06:00,121.83229168256123 V
2017-07-01T00:00:00-06:00,121.64687474568684 V
2017-07-02T00:00:00-06:00,121.72708328564961 V
2017-07-03T00:00:00-06:00,121.58958339691162 V
2017-07-04T00:00:00-06:00,121.63020857175191 V
2017-07-05T00:00:00-06:00,121.61562482515971 V
2017-07-06T00:00:00-06:00,121.58333388964336 V
2017-07-07T00:00:00-06:00,121.69791650772095 V
2017-07-08T00:00:00-06:00,121.73333311080933 V
2017-07-09T00:00:00-06:00,121.56875006357829 V
2017-07-10T00:00:00-06:00,121.57395831743877 V
2017-07-11T00:00:00-06:00,121.61562498410542 V
2017-07-12T00:00:00-06:00,121.6104166507721 V
2017-07-13T00:00:00-06:00,121.60625044504802 V
2017-07-14T00:00:00-06:00,121.5395831267039 V
2017-07-15T00:00:00-06:00,121.56666684150696 V
2017-07-16T00:00:00-06:00,121.54270752271016 V
2017-07-17T00:00:00-06:00,121.59479141235352 V
2017-07-18T00:00:00-06:00,121.6749997138977 V
2017-07-19T00:00:00-06:00,121.57083304723103 V
2017-07-20T00:00:00-06:00,121.546875 V
2017-07-21T00:00:00-06:00,121.61041657129924 V
2017-07-22T00:00:00-06:00,121.56666652361552 V
2017-07-23T00:00:00-06:00,121.62604141235352 V
2017-07-24T00:00:00-06:00,121.64166641235352 V
2017-07-25T00:00:00-06:00,121.59895809491475 V
2017-07-26T00:00:00-06:00,121.50520793596904 V
2017-07-27T00:00:00-06:00,121.5854168732961 V
2017-07-28T00:00:00-06:00,121.58645868301392 V
2017-07-29T00:00:00-06:00,121.54791680971782 V
2017-07-30T00:00:00-06:00,121.62708361943562 V
2017-07-31T00:00:00-06:00,121.59270826975505 V
2017-08-01T00:00:00-06:00,121.58750017484029 V
2017-08-02T00:00:00-06:00,121.49062498410542 V
2017-08-03T00:00:00-06:00,121.64999969800313 V
2017-08-04T00:00:00-06:00,121.53406583345853 V
2017-08-05T00:00:00-06:00,121.64895852406819 V
2017-08-06T00:00:00-06:00,121.71666630109151 V
2017-08-07T00:00:00-06:00,121.5729165871938 V
2017-08-08T00:00:00-06:00,121.50624974568684 V
2017-08-09T00:00:00-06:00,121.57083304723103 V
2017-08-10T00:00:00-06:00,121.62659592324115 V
2017-08-11T00:00:00-06:00,121.61666671435039 V
2017-08-12T00:00:00-06:00,121.7020829518636 V
2017-08-13T00:00:00-06:00,121.65312504768372 V
2017-08-14T00:00:00-06:00,121.63437509536743 V
2017-08-15T00:00:00-06:00,121.58958339691162 V
2017-08-16T00:00:00-06:00,121.6124997138977 V
2017-08-17T00:00:00-06:00,121.64479152361552 V
2017-08-18T00:00:00-06:00,121.65104174613953 V
2017-08-19T00:00:00-06:00,121.61354184150696 V
2017-08-20T00:00:00-06:00,121.66249974568684 V
2017-08-21T00:00:00-06:00,121.65625015894572 V
2017-08-22T00:00:00-06:00,121.64895852406819 V
2017-08-23T00:00:00-06:00,121.63333344459534 V
2017-08-24T00:00:00-06:00,121.66354147593181 V
2017-08-25T00:00:00-06:00,121.57187485694885 V
2017-08-26T00:00:00-06:00,121.57604185740153 V
2017-08-27T00:00:00-06:00,121.54374996821086 V
2017-08-28T00:00:00-06:00,121.65483880812123 V
2017-08-29T00:00:00-06:00,121.63225817936723 V
2017-08-30T00:00:00-06:00,121.55937480926514 V
2017-08-31T00:00:00-06:00,121.58333309491475 V
2017-09-01T00:00:00-06:00,121.65833353996277 V
2017-09-02T00:00:00-06:00,121.6010418732961 V
2017-09-03T00:00:00-06:00,121.70833317438762 V
2017-09-04T00:00:00-06:00,121.53333338101704 V
2017-09-05T00:00:00-06:00,121.64687490463257 V
2017-09-06T00:00:00-06:00,121.5968747138977 V
2017-09-07T00:00:00-06:00,121.5052084128062 V
2017-09-08T00:00:00-06:00,121.65833346048991 V
2017-09-09T00:00:00-06:00,121.69583296775818 V
2017-09-10T00:00:00-06:00,121.67604152361552 V
2017-09-11T00:00:00-06:00,121.56562527020772 V
2017-09-12T00:00:00-06:00,121.6197915871938 V
2017-09-13T00:00:00-06:00,121.5739582379659 V
2017-09-14T00:00:00-06:00,121.74479126930237 V
2017-09-15T00:00:00-06:00,121.7875006198883 V
2017-09-16T00:00:00-06:00,121.8447920481364 V
2017-09-17T00:00:00-06:00,121.71666653951009 V
2017-09-18T00:00:00-06:00,121.69479179382324 V
2017-09-19T00:00:00-06:00,121.64479160308838 V
2017-09-20T00:00:00-06:00,121.75 V
2017-09-21T00:00:00-06:00,121.78124992052715 V
2017-09-22T00:00:00-06:00,121.93541606267293 V
2017-09-23T00:00:00-06:00,121.61666679382324 V
2017-09-24T00:00:00-06:00,121.79687476158142 V
2017-09-25T00:00:00-06:00,121.78750030199687 V
2017-09-26T00:00:00-06:00,121.70416641235352 V
2017-09-27T00:00:00-06:00,121.76874939600627 V
2017-09-28T00:00:00-06:00,121.7541667620341 V
2017-09-29T00:00:00-06:00,121.74062498410542 V
2017-09-30T00:00:00-06:00,121.56145826975505 V
2017-10-01T00:00:00-06:00,121.57083360354106 V
2017-10-02T00:00:00-06:00,121.73645830154419 V
2017-10-03T00:00:00-06:00,121.53541668256123 V
2017-10-04T00:00:00-06:00,121.75312479337056 V
2017-10-05T00:00:00-06:00,121.70104146003723 V
2017-10-06T00:00:00-06:00,121.68854149182637 V
2017-10-07T00:00:00-06:00,121.81770825386047 V
2017-10-08T00:00:00-06:00,121.8333334128062 V
2017-10-09T00:00:00-06:00,121.79062525431316 V
2017-10-10T00:00:00-06:00,121.64791663487752 V
2017-10-11T00:00:00-06:00,121.64895828564961 V
2017-10-12T00:00:00-06:00,121.74999976158142 V
2017-10-13T00:00:00-06:00,121.71458307902019 V
2017-10-14T00:00:00-06:00,121.6885420481364 V
2017-10-15T00:00:00-06:00,121.66458408037822 V
2017-10-16T00:00:00-06:00,121.75520865122478 V
2017-10-17T00:00:00-06:00,121.62916684150696 V
2017-10-18T00:00:00-06:00,121.80729174613953 V
2017-10-19T00:00:00-06:00,121.86666655540466 V
2017-10-20T00:00:00-06:00,121.64375003178914 V
2017-10-21T00:00:00-06:00,121.78645793596904 V
2017-10-22T00:00:00-06:00,121.69270809491475 V
2017-10-23T00:00:00-06:00,121.83125027020772 V
2017-10-24T00:00:00-06:00,121.6760413646698 V
2017-10-25T00:00:00-06:00,121.72291652361552 V
2017-10-26T00:00:00-06:00,121.63333352406819 V
2017-10-27T00:00:00-06:00,121.70520853996277 V
2017-10-28T00:00:00-06:00,121.66458384195964 V
2017-10-29T00:00:00-06:00,121.60520855585735 V
2017-10-30T00:00:00-06:00,121.78645833333333 V
2017-10-31T00:00:00-06:00,121.84375007947285 V
2017-11-01T00:00:00-06:00,121.56875006357829 V
2017-11-02T00:00:00-06:00,121.728124777476 V
2017-11-03T00:00:00-06:00,121.79270792007446 V
2017-11-04T00:00:00-06:00,121.79895822207133 V
2017-11-05T00:00:00-06:00,121.90199974060059 V
