Timestamp,['203f267a-7a16e62c 0097-DUMKE GYMNASTICS CNTR Power Meter Current A']
2017-08-12T00:00:00-06:00,56.615054190158844 A
2017-08-13T00:00:00-06:00,53.89920865109092 A
2017-08-14T00:00:00-06:00,50.63320457935333 A
2017-08-15T00:00:00-06:00,47.47127284606298 A
2017-08-16T00:00:00-06:00,50.615860323111214 A
2017-08-17T00:00:00-06:00,51.40329945087433 A
2017-08-18T00:00:00-06:00,51.31855978568395 A
2017-08-19T00:00:00-06:00,53.90982304016749 A
2017-08-20T00:00:00-06:00,53.33950358629227 A
2017-08-21T00:00:00-06:00,53.91549221674601 A
2017-08-22T00:00:00-06:00,55.43640126784643 A
2017-08-23T00:00:00-06:00,50.34415451685587 A
2017-08-24T00:00:00-06:00,56.283560622365854 A
2017-08-25T00:00:00-06:00,55.96257905165354 A
2017-08-26T00:00:00-06:00,56.2858010729154 A
2017-08-27T00:00:00-06:00,54.66862722237905 A
2017-08-28T00:00:00-06:00,61.25809267515777 A
2017-08-29T00:00:00-06:00,60.70383939435405 A
2017-08-30T00:00:00-06:00,60.675228575865425 A
2017-08-31T00:00:00-06:00,52.843399246533714 A
2017-09-01T00:00:00-06:00,51.07444632053375 A
2017-09-02T00:00:00-06:00,48.71606624126434 A
2017-09-03T00:00:00-06:00,51.432930012544 A
2017-09-04T00:00:00-06:00,55.50308084487915 A
2017-09-05T00:00:00-06:00,60.35921518007914 A
2017-09-06T00:00:00-06:00,52.855444391568504 A
2017-09-07T00:00:00-06:00,55.072716653347015 A
2017-09-08T00:00:00-06:00,49.38955150047938 A
2017-09-09T00:00:00-06:00,40.494647880395256 A
2017-09-10T00:00:00-06:00,43.59148611625036 A
2017-09-11T00:00:00-06:00,50.614437679449715 A
2017-09-12T00:00:00-06:00,52.390158792336784 A
2017-09-13T00:00:00-06:00,45.1207626859347 A
2017-09-14T00:00:00-06:00,44.09115872780482 A
2017-09-15T00:00:00-06:00,42.00930039087931 A
2017-09-16T00:00:00-06:00,37.715032517910004 A
2017-09-17T00:00:00-06:00,40.48188990354538 A
2017-09-18T00:00:00-06:00,47.06807943185171 A
2017-09-19T00:00:00-06:00,44.18119086821874 A
2017-09-20T00:00:00-06:00,42.51924697558085 A
2017-09-21T00:00:00-06:00,45.7288978099823 A
2017-09-22T00:00:00-06:00,42.469323217868805 A
2017-09-23T00:00:00-06:00,38.62370431423187 A
2017-09-24T00:00:00-06:00,38.28379011154175 A
2017-09-25T00:00:00-06:00,45.12833293279012 A
2017-09-26T00:00:00-06:00,47.49326125780741 A
2017-09-27T00:00:00-06:00,43.60847361882528 A
2017-09-28T00:00:00-06:00,41.92214181025823 A
2017-09-29T00:00:00-06:00,42.51786200205485 A
2017-09-30T00:00:00-06:00,36.69086942170796 A
2017-10-01T00:00:00-06:00,37.61414430538813 A
2017-10-02T00:00:00-06:00,41.844633519649506 A
2017-10-03T00:00:00-06:00,43.31501164038976 A
2017-10-04T00:00:00-06:00,43.220737079779305 A
2017-10-05T00:00:00-06:00,44.024040857950844 A
2017-10-06T00:00:00-06:00,44.284085392951965 A
2017-10-07T00:00:00-06:00,40.181558767954506 A
2017-10-08T00:00:00-06:00,36.60663729906082 A
2017-10-09T00:00:00-06:00,39.11231257518133 A
2017-10-10T00:00:00-06:00,40.66175003846487 A
2017-10-11T00:00:00-06:00,38.44479125738144 A
2017-10-12T00:00:00-06:00,37.084368884563446 A
