Timestamp,['1f7d6d27-7ac80741 0372-KENNECOTT MECH ENG BLDG Power Meter 300345 Real Power']
2017-10-22T00:00:00-06:00,170.87997436523438 kW
2017-10-23T00:00:00-06:00,224.63998413085938 kW
2017-10-24T00:00:00-06:00,204.79998779296875 kW
2017-10-25T00:00:00-06:00,236.15997314453125 kW
2017-10-26T00:00:00-06:00,232.7039794921875 kW
2017-10-27T00:00:00-06:00,222.4639892578125 kW
2017-10-28T00:00:00-06:00,177.02398681640625 kW
2017-10-29T00:00:00-06:00,158.07998657226562 kW
2017-10-30T00:00:00-06:00,227.71197509765625 kW
2017-10-31T00:00:00-06:00,197.24798583984375 kW
2017-11-01T00:00:00-06:00,369.91998291015625 kW
2017-11-02T00:00:00-06:00,341.75994873046875 kW
2017-11-03T00:00:00-06:00,214.14398193359375 kW
2017-11-04T00:00:00-06:00,160.51199340820312 kW
2017-11-05T00:00:00-06:00,175.61599731445312 kW
2017-11-06T00:00:00-07:00,222.59197998046875 kW
2017-11-07T00:00:00-07:00,225.02398681640625 kW
2017-11-08T00:00:00-07:00,215.29598999023438 kW
2017-11-09T00:00:00-07:00,202.239990234375 kW
2017-11-10T00:00:00-07:00,208.38397216796875 kW
2017-11-11T00:00:00-07:00,176 kW
2017-11-12T00:00:00-07:00,189.95199584960938 kW
2017-11-13T00:00:00-07:00,223.3599853515625 kW
2017-11-14T00:00:00-07:00,222.07998657226562 kW
2017-11-15T00:00:00-07:00,211.583984375 kW
2017-11-16T00:00:00-07:00,212.86398315429688 kW
2017-11-17T00:00:00-07:00,210.55999755859375 kW
2017-11-18T00:00:00-07:00,171.77597045898438 kW
2017-11-19T00:00:00-07:00,178.30398559570312 kW
2017-11-20T00:00:00-07:00,209.02398681640625 kW
2017-11-21T00:00:00-07:00,206.4639892578125 kW
2017-11-22T00:00:00-07:00,220.031982421875 kW
2017-11-23T00:00:00-07:00,156.28799438476562 kW
2017-11-24T00:00:00-07:00,167.03997802734375 kW
2017-11-25T00:00:00-07:00,167.55197143554688 kW
2017-11-26T00:00:00-07:00,182.39999389648438 kW
2017-11-27T00:00:00-07:00,216.7039794921875 kW
2017-11-28T00:00:00-07:00,210.43197631835938 kW
2017-11-29T00:00:00-07:00,218.239990234375 kW
2017-11-30T00:00:00-07:00,201.72799682617188 kW
2017-12-01T00:00:00-07:00,219.00799560546875 kW
2017-12-02T00:00:00-07:00,179.583984375 kW
2017-12-03T00:00:00-07:00,190.20797729492188 kW
2017-12-04T00:00:00-07:00,217.47198486328125 kW
2017-12-05T00:00:00-07:00,224.2559814453125 kW
2017-12-06T00:00:00-07:00,227.45599365234375 kW
2017-12-07T00:00:00-07:00,223.3599853515625 kW
2017-12-08T00:00:00-07:00,218.11199951171875 kW
2017-12-09T00:00:00-07:00,185.343994140625 kW
2017-12-10T00:00:00-07:00,186.75198364257812 kW
2017-12-11T00:00:00-07:00,216.57598876953125 kW
2017-12-12T00:00:00-07:00,230.65597534179688 kW
2017-12-13T00:00:00-07:00,233.47198486328125 kW
2017-12-14T00:00:00-07:00,209.91998291015625 kW
2017-12-15T00:00:00-07:00,206.84799194335938 kW
2017-12-16T00:00:00-07:00,168.83197021484375 kW
2017-12-17T00:00:00-07:00,170.239990234375 kW
2017-12-18T00:00:00-07:00,198.9119873046875 kW
2017-12-19T00:00:00-07:00,166.52798461914062 kW
2017-12-20T00:00:00-07:00,167.03997802734375 kW
2017-12-21T00:00:00-07:00,168.7039794921875 kW
2017-12-22T00:00:00-07:00,155.39199829101562 kW
2017-12-23T00:00:00-07:00,131.83999633789062 kW
2017-12-24T00:00:00-07:00,121.98399353027344 kW
2017-12-25T00:00:00-07:00,127.23199462890625 kW
2017-12-26T00:00:00-07:00,136.447998046875 kW
2017-12-27T00:00:00-07:00,147.71197509765625 kW
2017-12-28T00:00:00-07:00,169.47198486328125 kW
2017-12-29T00:00:00-07:00,137.5999755859375 kW
2017-12-30T00:00:00-07:00,117.75999450683594 kW
2017-12-31T00:00:00-07:00,130.68798828125 kW
