Timestamp,['203a2641-e650eff1 0066-SIMMONS PIONEER MEMORIAL THEATRE Power Meter Current C']
2017-10-26T00:00:00-06:00,311.6663392384847 A
2017-10-27T00:00:00-06:00,316.96129608154297 A
2017-10-28T00:00:00-06:00,311.39390818277997 A
2017-10-29T00:00:00-06:00,265.1515860557556 A
2017-10-30T00:00:00-06:00,327.829350789388 A
2017-10-31T00:00:00-06:00,291.1144898732503 A
2017-11-01T00:00:00-06:00,347.96602964401245 A
2017-11-02T00:00:00-06:00,341.85267464319867 A
2017-11-03T00:00:00-06:00,349.3798885345459 A
2017-11-04T00:00:00-06:00,340.40177234013873 A
2017-11-05T00:00:00-06:00,228.28557373046874 A
2017-11-06T00:00:00-07:00,293.85876146952313 A
2017-11-07T00:00:00-07:00,310.9627703030904 A
2017-11-08T00:00:00-07:00,310.2852029800415 A
2017-11-09T00:00:00-07:00,291.871639251709 A
2017-11-10T00:00:00-07:00,269.6154424349467 A
2017-11-11T00:00:00-07:00,230.43601497014365 A
2017-11-12T00:00:00-07:00,258.9812873204549 A
2017-11-13T00:00:00-07:00,272.7717480659485 A
2017-11-14T00:00:00-07:00,275.1229658126831 A
2017-11-15T00:00:00-07:00,282.67496490478516 A
2017-11-16T00:00:00-07:00,334.6442964871724 A
2017-11-17T00:00:00-07:00,285.96938435236615 A
2017-11-18T00:00:00-07:00,284.9675397872925 A
2017-11-19T00:00:00-07:00,281.90282853444415 A
2017-11-20T00:00:00-07:00,293.052286307017 A
2017-11-21T00:00:00-07:00,305.8888266881307 A
2017-11-22T00:00:00-07:00,314.5030032793681 A
2017-11-23T00:00:00-07:00,232.36120335261026 A
2017-11-24T00:00:00-07:00,310.26536560058594 A
2017-11-25T00:00:00-07:00,294.8259409268697 A
2017-11-26T00:00:00-07:00,266.87197128931683 A
2017-11-27T00:00:00-07:00,327.7495382626851 A
2017-11-28T00:00:00-07:00,330.1969353357951 A
2017-11-29T00:00:00-07:00,320.9289484024048 A
2017-11-30T00:00:00-07:00,331.13573090235394 A
2017-12-01T00:00:00-07:00,308.36446444193524 A
2017-12-02T00:00:00-07:00,316.1555018424988 A
2017-12-03T00:00:00-07:00,219.83866914113364 A
2017-12-04T00:00:00-07:00,289.7036878267924 A
2017-12-05T00:00:00-07:00,287.40354124705 A
2017-12-06T00:00:00-07:00,309.8191843032837 A
2017-12-07T00:00:00-07:00,295.2587202390035 A
2017-12-08T00:00:00-07:00,284.59539890289307 A
2017-12-09T00:00:00-07:00,285.5999992688497 A
2017-12-10T00:00:00-07:00,190.59104665120444 A
2017-12-11T00:00:00-07:00,283.44153881073 A
2017-12-12T00:00:00-07:00,278.39715512593585 A
2017-12-13T00:00:00-07:00,304.7210787137349 A
2017-12-14T00:00:00-07:00,299.70671939849854 A
2017-12-15T00:00:00-07:00,288.28253571192425 A
2017-12-16T00:00:00-07:00,288.7942172686259 A
2017-12-17T00:00:00-07:00,188.36653248469034 A
2017-12-18T00:00:00-07:00,281.28734481975596 A
2017-12-19T00:00:00-07:00,283.21183522542316 A
2017-12-20T00:00:00-07:00,301.33575375874835 A
2017-12-21T00:00:00-07:00,266.18120368321735 A
2017-12-22T00:00:00-07:00,266.2139404614766 A
2017-12-23T00:00:00-07:00,240.73884773254395 A
2017-12-24T00:00:00-07:00,195.90217208862305 A
2017-12-25T00:00:00-07:00,188.6397523880005 A
2017-12-26T00:00:00-07:00,195.87218761444092 A
2017-12-27T00:00:00-07:00,238.7618776957194 A
2017-12-28T00:00:00-07:00,230.72903108596802 A
2017-12-29T00:00:00-07:00,225.67859029769897 A
2017-12-30T00:00:00-07:00,215.05531485875449 A
2017-12-31T00:00:00-07:00,200.9089733759562 A
