Timestamp,['1cac28c3-0ed88c3d 0077-CHRISTENSEN CNTR Power Meter (300172) PM VOTL A-N']
2017-09-30T00:00:00-06:00,274.1410439385308 V
2017-10-01T00:00:00-06:00,273.94436196221244 V
2017-10-02T00:00:00-06:00,274.2399801254272 V
2017-10-03T00:00:00-06:00,273.86627913581003 V
2017-10-04T00:00:00-06:00,274.43308885362416 V
2017-10-05T00:00:00-06:00,274.2816622099833 V
2017-10-06T00:00:00-06:00,274.27493336995445 V
2017-10-07T00:00:00-06:00,274.4927727593316 V
2017-10-08T00:00:00-06:00,274.35193519592286 V
2017-10-09T00:00:00-06:00,274.3045281728109 V
2017-10-10T00:00:00-06:00,274.1217686759101 V
2017-10-11T00:00:00-06:00,274.18027975294325 V
2017-10-12T00:00:00-06:00,274.400462214152 V
2017-10-13T00:00:00-06:00,274.28132305145266 V
2017-10-14T00:00:00-06:00,274.1285898632473 V
2017-10-15T00:00:00-06:00,274.069994354248 V
2017-10-16T00:00:00-06:00,274.10135854085286 V
2017-10-17T00:00:00-06:00,273.81972183651396 V
2017-10-18T00:00:00-06:00,274.3515516916911 V
2017-10-19T00:00:00-06:00,274.45777259402803 V
2017-10-20T00:00:00-06:00,274.07982614305286 V
2017-10-21T00:00:00-06:00,274.1654648462931 V
2017-10-22T00:00:00-06:00,273.977575747172 V
2017-10-23T00:00:00-06:00,274.37681390974257 V
2017-10-24T00:00:00-06:00,274.1517825020684 V
2017-10-25T00:00:00-06:00,274.34098188612194 V
2017-10-26T00:00:00-06:00,274.0105095969306 V
2017-10-27T00:00:00-06:00,274.2563783009847 V
2017-10-28T00:00:00-06:00,274.0803793165419 V
2017-10-29T00:00:00-06:00,273.9874127493964 V
2017-10-30T00:00:00-06:00,274.31026588016084 V
2017-10-31T00:00:00-06:00,274.42348562876384 V
2017-11-01T00:00:00-06:00,273.8618899239434 V
2017-11-02T00:00:00-06:00,274.30070328182643 V
2017-11-03T00:00:00-06:00,274.42160943349205 V
2017-11-04T00:00:00-06:00,274.1643949084812 V
2017-11-05T00:00:00-06:00,274.38455004882815 V
2017-11-06T00:00:00-07:00,274.464944352044 V
2017-11-07T00:00:00-07:00,274.52518526713055 V
2017-11-08T00:00:00-07:00,274.14197192721895 V
2017-11-09T00:00:00-07:00,274.0885081821018 V
2017-11-10T00:00:00-07:00,274.34172407786053 V
2017-11-11T00:00:00-07:00,274.0320147620307 V
2017-11-12T00:00:00-07:00,274.208040216234 V
2017-11-13T00:00:00-07:00,274.22989569769965 V
2017-11-14T00:00:00-07:00,274.0788799709744 V
2017-11-15T00:00:00-07:00,273.6383774651421 V
2017-11-16T00:00:00-07:00,274.6188079410129 V
2017-11-17T00:00:00-07:00,274.1594695832994 V
2017-11-18T00:00:00-07:00,274.4430970509847 V
2017-11-19T00:00:00-07:00,274.7558128145006 V
2017-11-20T00:00:00-07:00,274.4432332356771 V
2017-11-21T00:00:00-07:00,273.9041029824151 V
2017-11-22T00:00:00-07:00,274.34510633680554 V
2017-11-23T00:00:00-07:00,274.3485288619995 V
2017-11-24T00:00:00-07:00,274.46215703752307 V
2017-11-25T00:00:00-07:00,274.1963737487793 V
2017-11-26T00:00:00-07:00,274.3014859729343 V
2017-11-27T00:00:00-07:00,274.3695300420125 V
2017-11-28T00:00:00-07:00,274.09964896308054 V
2017-11-29T00:00:00-07:00,273.9849043952094 V
2017-11-30T00:00:00-07:00,273.82490649753146 V
2017-12-01T00:00:00-07:00,274.16572958628336 V
2017-12-02T00:00:00-07:00,274.0369094636705 V
2017-12-03T00:00:00-07:00,274.0238242255317 V
2017-12-04T00:00:00-07:00,273.85551037258574 V
2017-12-05T00:00:00-07:00,274.12968923780653 V
2017-12-06T00:00:00-07:00,274.1440867529975 V
2017-12-07T00:00:00-07:00,274.2933755450779 V
2017-12-08T00:00:00-07:00,274.41643697950576 V
2017-12-09T00:00:00-07:00,274.4241639243232 V
2017-12-10T00:00:00-07:00,274.24485528733993 V
2017-12-11T00:00:00-07:00,274.06429718865286 V
2017-12-12T00:00:00-07:00,273.8811151080661 V
2017-12-13T00:00:00-07:00,274.1854621251424 V
2017-12-14T00:00:00-07:00,274.33524684906007 V
2017-12-15T00:00:00-07:00,274.11882319980197 V
2017-12-16T00:00:00-07:00,274.36345649295384 V
2017-12-17T00:00:00-07:00,274.0183502197266 V
2017-12-18T00:00:00-07:00,274.1560488108484 V
2017-12-19T00:00:00-07:00,273.8821220609877 V
2017-12-20T00:00:00-07:00,274.26289569007025 V
2017-12-21T00:00:00-07:00,274.0247221628825 V
2017-12-22T00:00:00-07:00,274.13594506581626 V
2017-12-23T00:00:00-07:00,274.04388701121013 V
2017-12-24T00:00:00-07:00,274.0266857571072 V
2017-12-25T00:00:00-07:00,274.35143790774873 V
2017-12-26T00:00:00-07:00,274.3593381034003 V
2017-12-27T00:00:00-07:00,273.748410987854 V
2017-12-28T00:00:00-07:00,274.37490175035265 V
2017-12-29T00:00:00-07:00,274.13556982676187 V
2017-12-30T00:00:00-07:00,274.07432068718805 V
2017-12-31T00:00:00-07:00,273.86455790201825 V
