Timestamp,['1daaa900-9475dbe4 0037-ARCHITECTURE BLDG Power Meter (301159) Current B']
2017-07-23T00:00:00-06:00,29.8100350300471 A
2017-07-24T00:00:00-06:00,31.24114116032918 A
2017-07-25T00:00:00-06:00,38.75234772761663 A
2017-07-26T00:00:00-06:00,40.59157544374466 A
2017-07-27T00:00:00-06:00,43.70712254444758 A
2017-07-28T00:00:00-06:00,37.11466215054194 A
2017-07-29T00:00:00-06:00,34.99644108613332 A
2017-07-30T00:00:00-06:00,32.195938328901924 A
2017-07-31T00:00:00-06:00,36.691721657911934 A
2017-08-01T00:00:00-06:00,37.59366714954376 A
2017-08-02T00:00:00-06:00,35.218740344047546 A
2017-08-03T00:00:00-06:00,33.43376209338506 A
2017-08-04T00:00:00-06:00,34.00773039923774 A
2017-08-05T00:00:00-06:00,31.841933290163677 A
2017-08-06T00:00:00-06:00,30.470896542072296 A
2017-08-07T00:00:00-06:00,34.04585063457489 A
2017-08-08T00:00:00-06:00,32.477070748806 A
2017-08-09T00:00:00-06:00,32.93136090040207 A
2017-08-10T00:00:00-06:00,31.23693712897923 A
2017-08-11T00:00:00-06:00,28.719832758108776 A
2017-08-12T00:00:00-06:00,22.138190070788067 A
2017-08-13T00:00:00-06:00,24.293861667315166 A
2017-08-14T00:00:00-06:00,32.68382958571116 A
2017-08-15T00:00:00-06:00,33.3974324464798 A
2017-08-16T00:00:00-06:00,33.41886947552363 A
2017-08-17T00:00:00-06:00,31.897608240445454 A
2017-08-18T00:00:00-06:00,33.566405395666756 A
2017-08-19T00:00:00-06:00,31.802432080109913 A
2017-08-20T00:00:00-06:00,28.370573043823242 A
2017-08-21T00:00:00-06:00,35.69385858376821 A
2017-08-22T00:00:00-06:00,37.202615896860756 A
2017-08-23T00:00:00-06:00,39.128957311312355 A
2017-08-24T00:00:00-06:00,36.776926557223 A
2017-08-25T00:00:00-06:00,38.38070476055145 A
2017-08-26T00:00:00-06:00,30.49663684765498 A
2017-08-27T00:00:00-06:00,30.12065513928731 A
2017-08-28T00:00:00-06:00,47.05862579345703 A
2017-08-29T00:00:00-06:00,45.90822103749151 A
2017-08-30T00:00:00-06:00,50.95173662900925 A
2017-08-31T00:00:00-06:00,49.83675400416056 A
2017-09-01T00:00:00-06:00,43.39660048484802 A
2017-09-02T00:00:00-06:00,33.41647585233053 A
