Timestamp,['1f7d6cf3-51885b9e 0372-KENNECOTT MECH ENG BLDG Power Meter 300344 Real Power']
2017-06-10T00:00:00-06:00,20.799999237060547 kW
2017-06-11T00:00:00-06:00,21.727996826171875 kW
2017-06-12T00:00:00-06:00,29.055999755859375 kW
2017-06-13T00:00:00-06:00,27.839996337890625 kW
2017-06-14T00:00:00-06:00,26.43199920654297 kW
2017-06-15T00:00:00-06:00,26.46399688720703 kW
2017-06-16T00:00:00-06:00,26.23999786376953 kW
2017-06-17T00:00:00-06:00,21.439998626708984 kW
2017-06-18T00:00:00-06:00,22.87999725341797 kW
2017-06-19T00:00:00-06:00,25.247997283935547 kW
2017-06-20T00:00:00-06:00,24.83199691772461 kW
2017-06-21T00:00:00-06:00,27.359996795654297 kW
2017-06-22T00:00:00-06:00,26.527999877929688 kW
2017-06-23T00:00:00-06:00,25.215999603271484 kW
2017-06-24T00:00:00-06:00,22.975997924804688 kW
2017-06-25T00:00:00-06:00,22.39999771118164 kW
2017-06-26T00:00:00-06:00,24.895999908447266 kW
2017-06-27T00:00:00-06:00,26.751998901367188 kW
2017-06-28T00:00:00-06:00,26.87999725341797 kW
2017-06-29T00:00:00-06:00,25.599998474121094 kW
2017-06-30T00:00:00-06:00,25.503997802734375 kW
2017-07-01T00:00:00-06:00,21.855998992919922 kW
2017-07-02T00:00:00-06:00,22.46399688720703 kW
2017-07-03T00:00:00-06:00,24.447998046875 kW
2017-07-04T00:00:00-06:00,21.727996826171875 kW
2017-07-05T00:00:00-06:00,24.28799819946289 kW
2017-07-06T00:00:00-06:00,25.631999969482422 kW
2017-07-07T00:00:00-06:00,25.407997131347656 kW
2017-07-08T00:00:00-06:00,22.687999725341797 kW
2017-07-09T00:00:00-06:00,20.60799789428711 kW
2017-07-10T00:00:00-06:00,26.207996368408203 kW
2017-07-11T00:00:00-06:00,25.695999145507812 kW
2017-07-12T00:00:00-06:00,24.38399887084961 kW
2017-07-13T00:00:00-06:00,24.959999084472656 kW
2017-07-14T00:00:00-06:00,24.57599639892578 kW
2017-07-15T00:00:00-06:00,20.35199737548828 kW
2017-07-16T00:00:00-06:00,20.255996704101562 kW
2017-07-17T00:00:00-06:00,23.359996795654297 kW
2017-07-18T00:00:00-06:00,24.12799835205078 kW
2017-07-19T00:00:00-06:00,23.775997161865234 kW
2017-07-20T00:00:00-06:00,23.615997314453125 kW
2017-07-21T00:00:00-06:00,24.12799835205078 kW
2017-07-22T00:00:00-06:00,20.51199722290039 kW
2017-07-23T00:00:00-06:00,20.191997528076172 kW
2017-07-24T00:00:00-06:00,21.439998626708984 kW
2017-07-25T00:00:00-06:00,24.639999389648438 kW
2017-07-26T00:00:00-06:00,23.90399932861328 kW
2017-07-27T00:00:00-06:00,25.95199966430664 kW
2017-07-28T00:00:00-06:00,23.743999481201172 kW
2017-07-29T00:00:00-06:00,19.295997619628906 kW
2017-07-30T00:00:00-06:00,20.54399871826172 kW
2017-07-31T00:00:00-06:00,24.639999389648438 kW
2017-08-01T00:00:00-06:00,25.95199966430664 kW
2017-08-02T00:00:00-06:00,23.967998504638672 kW
2017-08-03T00:00:00-06:00,24.38399887084961 kW
2017-08-04T00:00:00-06:00,24.863998413085938 kW
2017-08-05T00:00:00-06:00,19.391998291015625 kW
2017-08-06T00:00:00-06:00,20.73599624633789 kW
2017-08-07T00:00:00-06:00,25.119998931884766 kW
2017-08-08T00:00:00-06:00,23.583999633789062 kW
2017-08-09T00:00:00-06:00,24.06399917602539 kW
2017-08-10T00:00:00-06:00,25.087997436523438 kW
2017-08-11T00:00:00-06:00,24.863998413085938 kW
2017-08-12T00:00:00-06:00,20.83199691772461 kW
2017-08-13T00:00:00-06:00,19.90399932861328 kW
2017-08-14T00:00:00-06:00,25.215999603271484 kW
