Timestamp,['1fa62351-85d2da00 0003-GARDNER HALL Power Meter (300015) Current B']
2017-07-23T00:00:00-06:00,143.2081267038981 A
2017-07-24T00:00:00-06:00,158.6764704386393 A
2017-07-25T00:00:00-06:00,163.2579491933187 A
2017-07-26T00:00:00-06:00,165.65133078893027 A
2017-07-27T00:00:00-06:00,160.4472443262736 A
2017-07-28T00:00:00-06:00,154.9578415552775 A
2017-07-29T00:00:00-06:00,156.04750076929727 A
2017-07-30T00:00:00-06:00,145.08821670214334 A
2017-07-31T00:00:00-06:00,180.4774112701416 A
2017-08-01T00:00:00-06:00,166.71382172902426 A
2017-08-02T00:00:00-06:00,158.50991773605347 A
2017-08-03T00:00:00-06:00,188.76285362243652 A
2017-08-04T00:00:00-06:00,157.8645760672433 A
2017-08-05T00:00:00-06:00,140.34158595403036 A
2017-08-06T00:00:00-06:00,139.11415163675943 A
2017-08-07T00:00:00-06:00,167.265145778656 A
2017-08-08T00:00:00-06:00,164.78762451807657 A
2017-08-09T00:00:00-06:00,173.0785609881083 A
2017-08-10T00:00:00-06:00,181.97460612844912 A
2017-08-11T00:00:00-06:00,189.72170384724936 A
2017-08-12T00:00:00-06:00,185.64762131373087 A
2017-08-13T00:00:00-06:00,157.03931681315103 A
2017-08-14T00:00:00-06:00,162.84630997975668 A
2017-08-15T00:00:00-06:00,154.969127813975 A
2017-08-16T00:00:00-06:00,159.00023953119913 A
2017-08-17T00:00:00-06:00,159.47181256612143 A
2017-08-18T00:00:00-06:00,158.13538519541422 A
2017-08-19T00:00:00-06:00,179.2766588528951 A
2017-08-20T00:00:00-06:00,153.38647603988647 A
2017-08-21T00:00:00-06:00,179.0973884264628 A
2017-08-22T00:00:00-06:00,185.5218833287557 A
2017-08-23T00:00:00-06:00,193.68302901585898 A
2017-08-24T00:00:00-06:00,184.97253227233887 A
2017-08-25T00:00:00-06:00,176.70110448201498 A
2017-08-26T00:00:00-06:00,163.1998561223348 A
2017-08-27T00:00:00-06:00,156.70276165008545 A
2017-08-28T00:00:00-06:00,189.90246416174847 A
2017-08-29T00:00:00-06:00,187.26323412823422 A
2017-08-30T00:00:00-06:00,203.3671490351359 A
2017-08-31T00:00:00-06:00,195.8138860066732 A
2017-09-01T00:00:00-06:00,199.9877985318502 A
2017-09-02T00:00:00-06:00,177.25836404164633 A
2017-09-03T00:00:00-06:00,171.66177127235815 A
2017-09-04T00:00:00-06:00,176.52694845199585 A
2017-09-05T00:00:00-06:00,187.435409228007 A
2017-09-06T00:00:00-06:00,203.4748765627543 A
2017-09-07T00:00:00-06:00,209.4985440572103 A
2017-09-08T00:00:00-06:00,211.70037873920643 A
2017-09-09T00:00:00-06:00,184.25752290089926 A
2017-09-10T00:00:00-06:00,169.63862546284994 A
2017-09-11T00:00:00-06:00,219.69209655125937 A
2017-09-12T00:00:00-06:00,216.1790278752645 A
2017-09-13T00:00:00-06:00,190.42339038848877 A
2017-09-14T00:00:00-06:00,210.99777762095133 A
2017-09-15T00:00:00-06:00,202.5188094774882 A
2017-09-16T00:00:00-06:00,200.08985694249472 A
2017-09-17T00:00:00-06:00,183.70652866363525 A
2017-09-18T00:00:00-06:00,201.4157574971517 A
2017-09-19T00:00:00-06:00,193.64261229832968 A
2017-09-20T00:00:00-06:00,208.14743900299072 A
2017-09-21T00:00:00-06:00,215.24619325002035 A
2017-09-22T00:00:00-06:00,201.4160852432251 A
2017-09-23T00:00:00-06:00,175.87145709991455 A
2017-09-24T00:00:00-06:00,195.17272996902466 A
2017-09-25T00:00:00-06:00,208.0009643236796 A
2017-09-26T00:00:00-06:00,222.64358727137247 A
2017-09-27T00:00:00-06:00,212.1723419825236 A
2017-09-28T00:00:00-06:00,191.5173452695211 A
2017-09-29T00:00:00-06:00,198.80110104878744 A
2017-09-30T00:00:00-06:00,190.66538858413696 A
2017-10-01T00:00:00-06:00,151.37865734100342 A
2017-10-02T00:00:00-06:00,206.92743746439615 A
2017-10-03T00:00:00-06:00,207.57355737686157 A
2017-10-04T00:00:00-06:00,229.21300474802652 A
2017-10-05T00:00:00-06:00,215.20978800455728 A
2017-10-06T00:00:00-06:00,204.4076328277588 A
2017-10-07T00:00:00-06:00,153.54244470596313 A
2017-10-08T00:00:00-06:00,156.09168593088785 A
2017-10-09T00:00:00-06:00,153.79635667800903 A
2017-10-10T00:00:00-06:00,154.49659395217896 A
2017-10-11T00:00:00-06:00,148.49478228886923 A
2017-10-12T00:00:00-06:00,151.46963167190552 A
2017-10-13T00:00:00-06:00,172.31674416859946 A
2017-10-14T00:00:00-06:00,190.6949675877889 A
2017-10-15T00:00:00-06:00,147.17945655186972 A
2017-10-16T00:00:00-06:00,186.0137941042582 A
2017-10-17T00:00:00-06:00,198.30506674448648 A
2017-10-18T00:00:00-06:00,192.52783155441284 A
2017-10-19T00:00:00-06:00,202.95333607991537 A
2017-10-20T00:00:00-06:00,188.84814278284708 A
2017-10-21T00:00:00-06:00,167.5644596417745 A
2017-10-22T00:00:00-06:00,155.58786487579346 A
2017-10-23T00:00:00-06:00,201.6548048655192 A
2017-10-24T00:00:00-06:00,201.1944702466329 A
2017-10-25T00:00:00-06:00,195.98866494496664 A
2017-10-26T00:00:00-06:00,198.53532791137695 A
2017-10-27T00:00:00-06:00,192.9599019686381 A
2017-10-28T00:00:00-06:00,176.81262715657553 A
2017-10-29T00:00:00-06:00,174.15835889180502 A
2017-10-30T00:00:00-06:00,196.19090620676675 A
2017-10-31T00:00:00-06:00,168.05488920211792 A
2017-11-01T00:00:00-06:00,201.02750285466513 A
2017-11-02T00:00:00-06:00,199.76419893900552 A
2017-11-03T00:00:00-06:00,179.37121963500977 A
2017-11-04T00:00:00-06:00,166.65592177708945 A
2017-11-05T00:00:00-06:00,172.15358306884767 A
2017-11-06T00:00:00-07:00,190.74952920277914 A
