Timestamp,['1fae082f-7c15e0b8 0062-WARNOCK ENGR BLDG Power Meter 316607 Real Energy In']
2017-06-30T00:00:00-06:00,9002 kWh
2017-07-01T00:00:00-06:00,8862 kWh
2017-07-02T00:00:00-06:00,8988 kWh
2017-07-03T00:00:00-06:00,9584 kWh
2017-07-04T00:00:00-06:00,9794 kWh
2017-07-05T00:00:00-06:00,10012 kWh
2017-07-06T00:00:00-06:00,10004 kWh
2017-07-07T00:00:00-06:00,10052 kWh
2017-07-08T00:00:00-06:00,9884 kWh
2017-07-09T00:00:00-06:00,9710 kWh
2017-07-10T00:00:00-06:00,10010 kWh
2017-07-11T00:00:00-06:00,10134 kWh
2017-07-12T00:00:00-06:00,9642 kWh
2017-07-13T00:00:00-06:00,9696 kWh
2017-07-14T00:00:00-06:00,9756 kWh
2017-07-15T00:00:00-06:00,9586 kWh
2017-07-16T00:00:00-06:00,9548 kWh
2017-07-17T00:00:00-06:00,9812 kWh
2017-07-18T00:00:00-06:00,10016 kWh
2017-07-19T00:00:00-06:00,9948 kWh
2017-07-20T00:00:00-06:00,9986 kWh
2017-07-21T00:00:00-06:00,9924 kWh
2017-07-22T00:00:00-06:00,9310 kWh
2017-07-23T00:00:00-06:00,9282 kWh
2017-07-24T00:00:00-06:00,9386 kWh
2017-07-25T00:00:00-06:00,9864 kWh
2017-07-26T00:00:00-06:00,9778 kWh
2017-07-27T00:00:00-06:00,9890 kWh
2017-07-28T00:00:00-06:00,9666 kWh
2017-07-29T00:00:00-06:00,9518 kWh
2017-07-30T00:00:00-06:00,9634 kWh
2017-07-31T00:00:00-06:00,10156 kWh
2017-08-01T00:00:00-06:00,10024 kWh
2017-08-02T00:00:00-06:00,10050 kWh
2017-08-03T00:00:00-06:00,10166 kWh
2017-08-04T00:00:00-06:00,10048 kWh
2017-08-05T00:00:00-06:00,9514 kWh
2017-08-06T00:00:00-06:00,9278 kWh
2017-08-07T00:00:00-06:00,9504 kWh
2017-08-08T00:00:00-06:00,9656 kWh
2017-08-09T00:00:00-06:00,9596 kWh
2017-08-10T00:00:00-06:00,9520 kWh
2017-08-11T00:00:00-06:00,9666 kWh
2017-08-12T00:00:00-06:00,9412 kWh
2017-08-13T00:00:00-06:00,9048 kWh
2017-08-14T00:00:00-06:00,9422 kWh
2017-08-15T00:00:00-06:00,9094 kWh
2017-08-16T00:00:00-06:00,9014 kWh
2017-08-17T00:00:00-06:00,9416 kWh
2017-08-18T00:00:00-06:00,9574 kWh
2017-08-19T00:00:00-06:00,9320 kWh
2017-08-20T00:00:00-06:00,9376 kWh
2017-08-21T00:00:00-06:00,9730 kWh
2017-08-22T00:00:00-06:00,9728 kWh
2017-08-23T00:00:00-06:00,9664 kWh
2017-08-24T00:00:00-06:00,9810 kWh
2017-08-25T00:00:00-06:00,9660 kWh
2017-08-26T00:00:00-06:00,9300 kWh
2017-08-27T00:00:00-06:00,9330 kWh
2017-08-28T00:00:00-06:00,9888 kWh
2017-08-29T00:00:00-06:00,9752 kWh
2017-08-30T00:00:00-06:00,9966 kWh
2017-08-31T00:00:00-06:00,9652 kWh
2017-09-01T00:00:00-06:00,9780 kWh
2017-09-02T00:00:00-06:00,9380 kWh
2017-09-03T00:00:00-06:00,9408 kWh
2017-09-04T00:00:00-06:00,9408 kWh
2017-09-05T00:00:00-06:00,9944 kWh
2017-09-06T00:00:00-06:00,9828 kWh
2017-09-07T00:00:00-06:00,9854 kWh
2017-09-08T00:00:00-06:00,9800 kWh
2017-09-09T00:00:00-06:00,9226 kWh
2017-09-10T00:00:00-06:00,9228 kWh
2017-09-11T00:00:00-06:00,9970 kWh
2017-09-12T00:00:00-06:00,10076 kWh
