Timestamp,"['1ef46843-e1743542 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Watts, 3-Ph total']"
2017-06-03T00:00:00-06:00,33.46467590332031 kW
2017-06-04T00:00:00-06:00,40.279300689697266 kW
2017-06-05T00:00:00-06:00,47.16905975341797 kW
2017-06-06T00:00:00-06:00,43.86137390136719 kW
2017-06-07T00:00:00-06:00,49.009525299072266 kW
2017-06-08T00:00:00-06:00,56.940670013427734 kW
2017-06-09T00:00:00-06:00,56.43073272705078 kW
2017-06-10T00:00:00-06:00,35.90752410888672 kW
2017-06-11T00:00:00-06:00,34.13199996948242 kW
2017-06-12T00:00:00-06:00,49.07978439331055 kW
2017-06-13T00:00:00-06:00,52.77805709838867 kW
2017-06-14T00:00:00-06:00,55.01559066772461 kW
2017-06-15T00:00:00-06:00,50.38140869140625 kW
2017-06-16T00:00:00-06:00,43.306190490722656 kW
2017-06-17T00:00:00-06:00,38.151336669921875 kW
2017-06-18T00:00:00-06:00,34.06910705566406 kW
2017-06-19T00:00:00-06:00,50.94961929321289 kW
2017-06-20T00:00:00-06:00,59.1342658996582 kW
2017-06-21T00:00:00-06:00,50.704463958740234 kW
2017-06-22T00:00:00-06:00,37.90888977050781 kW
2017-06-23T00:00:00-06:00,66.11917877197266 kW
2017-06-24T00:00:00-06:00,34.42840576171875 kW
2017-06-25T00:00:00-06:00,31.382522583007812 kW
2017-06-26T00:00:00-06:00,43.36989974975586 kW
2017-06-27T00:00:00-06:00,44.985130310058594 kW
2017-06-28T00:00:00-06:00,46.10010528564453 kW
2017-06-29T00:00:00-06:00,39.54018020629883 kW
2017-06-30T00:00:00-06:00,46.5706672668457 kW
2017-07-01T00:00:00-06:00,32.980682373046875 kW
2017-07-02T00:00:00-06:00,31.482074737548828 kW
2017-07-03T00:00:00-06:00,42.67095184326172 kW
2017-07-04T00:00:00-06:00,32.03288650512695 kW
2017-07-05T00:00:00-06:00,48.44540786743164 kW
2017-07-06T00:00:00-06:00,47.440120697021484 kW
2017-07-07T00:00:00-06:00,40.897308349609375 kW
2017-07-08T00:00:00-06:00,35.412471771240234 kW
2017-07-09T00:00:00-06:00,36.54538345336914 kW
2017-07-10T00:00:00-06:00,47.214683532714844 kW
2017-07-11T00:00:00-06:00,48.27317428588867 kW
2017-07-12T00:00:00-06:00,45.481082916259766 kW
2017-07-13T00:00:00-06:00,46.5761604309082 kW
2017-07-14T00:00:00-06:00,43.649627685546875 kW
2017-07-15T00:00:00-06:00,38.65629577636719 kW
2017-07-16T00:00:00-06:00,34.755157470703125 kW
2017-07-17T00:00:00-06:00,59.189361572265625 kW
2017-07-18T00:00:00-06:00,47.55093765258789 kW
2017-07-19T00:00:00-06:00,49.2146110534668 kW
2017-07-20T00:00:00-06:00,49.901092529296875 kW
2017-07-21T00:00:00-06:00,37.87241744995117 kW
2017-07-22T00:00:00-06:00,31.208765029907227 kW
2017-07-23T00:00:00-06:00,30.17072296142578 kW
2017-07-24T00:00:00-06:00,34.25066375732422 kW
2017-07-25T00:00:00-06:00,45.468475341796875 kW
2017-07-26T00:00:00-06:00,52.945152282714844 kW
2017-07-27T00:00:00-06:00,43.569828033447266 kW
2017-07-28T00:00:00-06:00,49.29808807373047 kW
2017-07-29T00:00:00-06:00,36.582054138183594 kW
2017-07-30T00:00:00-06:00,34.532371520996094 kW
2017-07-31T00:00:00-06:00,41.484107971191406 kW
2017-08-01T00:00:00-06:00,50.456382751464844 kW
2017-08-02T00:00:00-06:00,41.039337158203125 kW
2017-08-03T00:00:00-06:00,36.82821273803711 kW
2017-08-04T00:00:00-06:00,44.40346145629883 kW
2017-08-05T00:00:00-06:00,35.98603820800781 kW
2017-08-06T00:00:00-06:00,34.951229095458984 kW
2017-08-07T00:00:00-06:00,48.17059326171875 kW
2017-08-08T00:00:00-06:00,43.780731201171875 kW
2017-08-09T00:00:00-06:00,41.199954986572266 kW
2017-08-10T00:00:00-06:00,41.383277893066406 kW
2017-08-11T00:00:00-06:00,49.113895416259766 kW
2017-08-12T00:00:00-06:00,31.83606719970703 kW
2017-08-13T00:00:00-06:00,35.481529235839844 kW
2017-08-14T00:00:00-06:00,57.265506744384766 kW
2017-08-15T00:00:00-06:00,47.35474395751953 kW
2017-08-16T00:00:00-06:00,47.27312469482422 kW
2017-08-17T00:00:00-06:00,44.48252487182617 kW
2017-08-18T00:00:00-06:00,45.18949508666992 kW
2017-08-19T00:00:00-06:00,34.420101165771484 kW
2017-08-20T00:00:00-06:00,31.357568740844727 kW
2017-08-21T00:00:00-06:00,48.396114349365234 kW
2017-08-22T00:00:00-06:00,54.86431121826172 kW
2017-08-23T00:00:00-06:00,47.0226936340332 kW
2017-08-24T00:00:00-06:00,52.68745803833008 kW
2017-08-25T00:00:00-06:00,52.16230392456055 kW
2017-08-26T00:00:00-06:00,37.72771453857422 kW
2017-08-27T00:00:00-06:00,33.17677307128906 kW
2017-08-28T00:00:00-06:00,56.171775817871094 kW
2017-08-29T00:00:00-06:00,47.263668060302734 kW
2017-08-30T00:00:00-06:00,51.760284423828125 kW
2017-08-31T00:00:00-06:00,51.04838562011719 kW
2017-09-01T00:00:00-06:00,50.906211853027344 kW
2017-09-02T00:00:00-06:00,32.19221878051758 kW
2017-09-03T00:00:00-06:00,33.86552810668945 kW
2017-09-04T00:00:00-06:00,36.129676818847656 kW
2017-09-05T00:00:00-06:00,62.857269287109375 kW
2017-09-06T00:00:00-06:00,51.23976135253906 kW
2017-09-07T00:00:00-06:00,58.980709075927734 kW
2017-09-08T00:00:00-06:00,58.344913482666016 kW
2017-09-09T00:00:00-06:00,32.2066650390625 kW
2017-09-10T00:00:00-06:00,30.561115264892578 kW
2017-09-11T00:00:00-06:00,46.91265869140625 kW
2017-09-12T00:00:00-06:00,54.35513687133789 kW
2017-09-13T00:00:00-06:00,62.5921630859375 kW
2017-09-14T00:00:00-06:00,57.10425567626953 kW
2017-09-15T00:00:00-06:00,50.12284469604492 kW
2017-09-16T00:00:00-06:00,40.473243713378906 kW
2017-09-17T00:00:00-06:00,36.117454528808594 kW
2017-09-18T00:00:00-06:00,51.275272369384766 kW
2017-09-19T00:00:00-06:00,57.76139450073242 kW
2017-09-20T00:00:00-06:00,54.62552261352539 kW
2017-09-21T00:00:00-06:00,57.5579948425293 kW
2017-09-22T00:00:00-06:00,57.53713607788086 kW
2017-09-23T00:00:00-06:00,38.35857009887695 kW
2017-09-24T00:00:00-06:00,42.46461486816406 kW
2017-09-25T00:00:00-06:00,65.44924926757812 kW
2017-09-26T00:00:00-06:00,55.13714599609375 kW
2017-09-27T00:00:00-06:00,62.08644485473633 kW
2017-09-28T00:00:00-06:00,58.26587677001953 kW
2017-09-29T00:00:00-06:00,54.914100646972656 kW
2017-09-30T00:00:00-06:00,33.950767517089844 kW
2017-10-01T00:00:00-06:00,36.690940856933594 kW
2017-10-02T00:00:00-06:00,59.05500411987305 kW
2017-10-03T00:00:00-06:00,61.514190673828125 kW
2017-10-04T00:00:00-06:00,59.00117492675781 kW
2017-10-05T00:00:00-06:00,57.42057418823242 kW
2017-10-06T00:00:00-06:00,52.12279510498047 kW
2017-10-07T00:00:00-06:00,40.0596923828125 kW
2017-10-08T00:00:00-06:00,38.22369384765625 kW
2017-10-09T00:00:00-06:00,49.771331787109375 kW
2017-10-10T00:00:00-06:00,62.93000793457031 kW
2017-10-11T00:00:00-06:00,51.628196716308594 kW
2017-10-12T00:00:00-06:00,56.8359375 kW
2017-10-13T00:00:00-06:00,50.17821502685547 kW
2017-10-14T00:00:00-06:00,34.7969970703125 kW
2017-10-15T00:00:00-06:00,37.139827728271484 kW
2017-10-16T00:00:00-06:00,62.20372009277344 kW
2017-10-17T00:00:00-06:00,57.99005126953125 kW
2017-10-18T00:00:00-06:00,54.172332763671875 kW
2017-10-19T00:00:00-06:00,56.64760208129883 kW
2017-10-20T00:00:00-06:00,71.26084899902344 kW
2017-10-21T00:00:00-06:00,40.34284210205078 kW
2017-10-22T00:00:00-06:00,40.154483795166016 kW
2017-10-23T00:00:00-06:00,56.40133285522461 kW
2017-10-24T00:00:00-06:00,44.790367126464844 kW
2017-10-25T00:00:00-06:00,53.537803649902344 kW
2017-10-26T00:00:00-06:00,46.82776641845703 kW
2017-10-27T00:00:00-06:00,57.20854949951172 kW
2017-10-28T00:00:00-06:00,26.44601821899414 kW
2017-10-29T00:00:00-06:00,31.366111755371094 kW
2017-10-30T00:00:00-06:00,48.4732551574707 kW
2017-10-31T00:00:00-06:00,41.74760437011719 kW
2017-11-01T00:00:00-06:00,56.36748504638672 kW
2017-11-02T00:00:00-06:00,51.950538635253906 kW
2017-11-03T00:00:00-06:00,47.872291564941406 kW
2017-11-04T00:00:00-06:00,30.659252166748047 kW
2017-11-05T00:00:00-06:00,25.653823852539062 kW
2017-11-06T00:00:00-07:00,52.61721420288086 kW
2017-11-07T00:00:00-07:00,58.34820556640625 kW
2017-11-08T00:00:00-07:00,49.57294464111328 kW
