Timestamp,['1da9831b-d88d300e 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Current B']
2017-06-29T00:00:00-06:00,120.83765578269958 A
2017-06-30T00:00:00-06:00,119.37014945348103 A
2017-07-01T00:00:00-06:00,120.95126152038574 A
2017-07-02T00:00:00-06:00,122.22009868006552 A
2017-07-03T00:00:00-06:00,124.22523458798726 A
2017-07-04T00:00:00-06:00,122.47404678662618 A
2017-07-05T00:00:00-06:00,124.72075891494751 A
2017-07-06T00:00:00-06:00,123.59972675641377 A
2017-07-07T00:00:00-06:00,123.63466596603394 A
2017-07-08T00:00:00-06:00,124.36738165219624 A
2017-07-09T00:00:00-06:00,121.2495330174764 A
2017-07-10T00:00:00-06:00,121.59226139386494 A
2017-07-11T00:00:00-06:00,122.70750856399536 A
2017-07-12T00:00:00-06:00,121.72984727223714 A
2017-07-13T00:00:00-06:00,123.45129481951396 A
2017-07-14T00:00:00-06:00,123.67684141794841 A
2017-07-15T00:00:00-06:00,124.79354731241862 A
2017-07-16T00:00:00-06:00,125.2188192208608 A
2017-07-17T00:00:00-06:00,126.34068769089718 A
2017-07-18T00:00:00-06:00,126.05277641614278 A
2017-07-19T00:00:00-06:00,127.03224635124207 A
2017-07-20T00:00:00-06:00,125.1625767548879 A
2017-07-21T00:00:00-06:00,125.82220888137817 A
2017-07-22T00:00:00-06:00,128.2815518480666 A
2017-07-23T00:00:00-06:00,125.63671700159709 A
2017-07-24T00:00:00-06:00,126.22342896461487 A
2017-07-25T00:00:00-06:00,122.07430664698283 A
2017-07-26T00:00:00-06:00,120.01099546750386 A
2017-07-27T00:00:00-06:00,121.12099146842957 A
2017-07-28T00:00:00-06:00,120.17489751180013 A
2017-07-29T00:00:00-06:00,121.03442867596944 A
2017-07-30T00:00:00-06:00,120.679434299469 A
2017-07-31T00:00:00-06:00,123.66366839408875 A
2017-08-01T00:00:00-06:00,128.73440074920654 A
2017-08-02T00:00:00-06:00,129.69272700945535 A
2017-08-03T00:00:00-06:00,129.1423463821411 A
2017-08-04T00:00:00-06:00,128.19314978095923 A
2017-08-05T00:00:00-06:00,205.43271390597025 A
2017-08-06T00:00:00-06:00,125.23235289255778 A
2017-08-07T00:00:00-06:00,121.66054113705952 A
2017-08-08T00:00:00-06:00,118.8537248770396 A
2017-08-09T00:00:00-06:00,118.28250034650166 A
2017-08-10T00:00:00-06:00,116.94211901789126 A
2017-08-11T00:00:00-06:00,117.87570357322693 A
2017-08-12T00:00:00-06:00,121.66920860608418 A
2017-08-13T00:00:00-06:00,118.72080580393474 A
2017-08-14T00:00:00-06:00,164.32112097740173 A
2017-08-15T00:00:00-06:00,116.36356854438782 A
2017-08-16T00:00:00-06:00,135.76571758588156 A
2017-08-17T00:00:00-06:00,118.23657147089641 A
2017-08-18T00:00:00-06:00,122.17787949244182 A
2017-08-19T00:00:00-06:00,192.62494031588236 A
2017-08-20T00:00:00-06:00,120.61732959747314 A
2017-08-21T00:00:00-06:00,151.04981430371603 A
2017-08-22T00:00:00-06:00,118.45334204037984 A
2017-08-23T00:00:00-06:00,136.7766125202179 A
2017-08-24T00:00:00-06:00,117.3487434387207 A
2017-08-25T00:00:00-06:00,119.1841447353363 A
2017-08-26T00:00:00-06:00,121.27816065152486 A
2017-08-27T00:00:00-06:00,118.62507526079814 A
2017-08-28T00:00:00-06:00,134.337233283303 A
2017-08-29T00:00:00-06:00,124.14196200900608 A
2017-08-30T00:00:00-06:00,136.1695102850596 A
2017-08-31T00:00:00-06:00,308.1678167184194 A
2017-09-01T00:00:00-06:00,159.88702138264975 A
2017-09-02T00:00:00-06:00,122.68602434794109 A
2017-09-03T00:00:00-06:00,124.4116808573405 A
2017-09-04T00:00:00-06:00,125.5166114171346 A
2017-09-05T00:00:00-06:00,126.9128725528717 A
2017-09-06T00:00:00-06:00,130.38961680730185 A
2017-09-07T00:00:00-06:00,123.86680205663045 A
2017-09-08T00:00:00-06:00,123.23492887745734 A
2017-09-09T00:00:00-06:00,120.30638575553894 A
2017-09-10T00:00:00-06:00,119.61206714312236 A
2017-09-11T00:00:00-06:00,125.05796829859416 A
2017-09-12T00:00:00-06:00,135.04120405515036 A
2017-09-13T00:00:00-06:00,123.57739543914795 A
2017-09-14T00:00:00-06:00,121.14750138918559 A
2017-09-15T00:00:00-06:00,120.78666806221008 A
2017-09-16T00:00:00-06:00,269.79267795880634 A
2017-09-17T00:00:00-06:00,187.355482339859 A
2017-09-18T00:00:00-06:00,116.66624840100606 A
2017-09-19T00:00:00-06:00,109.94877505302429 A
2017-09-20T00:00:00-06:00,112.00440565745036 A
2017-09-21T00:00:00-06:00,113.3347868124644 A
2017-09-22T00:00:00-06:00,106.35663382212321 A
2017-09-23T00:00:00-06:00,101.23652211825053 A
2017-09-24T00:00:00-06:00,100.26954579353333 A
2017-09-25T00:00:00-06:00,103.19969369988692 A
2017-09-26T00:00:00-06:00,103.49446781476338 A
2017-09-27T00:00:00-06:00,107.33461840947469 A
2017-09-28T00:00:00-06:00,124.80137761433919 A
2017-09-29T00:00:00-06:00,107.64930613835652 A
2017-09-30T00:00:00-06:00,106.11941194534302 A
2017-10-01T00:00:00-06:00,101.18750460942586 A
2017-10-02T00:00:00-06:00,101.45945485432942 A
2017-10-03T00:00:00-06:00,105.21453960736592 A
2017-10-04T00:00:00-06:00,103.53559517860413 A
2017-10-05T00:00:00-06:00,100.9952609539032 A
2017-10-06T00:00:00-06:00,107.32957140604655 A
2017-10-07T00:00:00-06:00,260.0782257715861 A
2017-10-08T00:00:00-06:00,197.34198466936746 A
2017-10-09T00:00:00-06:00,115.60508584976196 A
2017-10-10T00:00:00-06:00,105.66215226022821 A
2017-10-11T00:00:00-06:00,104.88521535773026 A
2017-10-12T00:00:00-06:00,102.26533055305481 A
2017-10-13T00:00:00-06:00,99.79513549804688 A
2017-10-14T00:00:00-06:00,95.73079856236775 A
2017-10-15T00:00:00-06:00,96.42586080233256 A
2017-10-16T00:00:00-06:00,99.1886404355367 A
2017-10-17T00:00:00-06:00,103.86343630154927 A
2017-10-18T00:00:00-06:00,106.89687728881836 A
2017-10-19T00:00:00-06:00,105.0551708539327 A
2017-10-20T00:00:00-06:00,106.57564171155293 A
2017-10-21T00:00:00-06:00,371.2118337949117 A
2017-10-22T00:00:00-06:00,101.3300069173177 A
2017-10-23T00:00:00-06:00,121.54643670717876 A
2017-10-24T00:00:00-06:00,106.83383456865947 A
2017-10-25T00:00:00-06:00,117.66408856709798 A
2017-10-26T00:00:00-06:00,101.76621731122334 A
2017-10-27T00:00:00-06:00,97.86079835891724 A
2017-10-28T00:00:00-06:00,97.63258600234985 A
2017-10-29T00:00:00-06:00,99.39938187599182 A
2017-10-30T00:00:00-06:00,102.11232336362202 A
2017-10-31T00:00:00-06:00,97.23886251449585 A
2017-11-01T00:00:00-06:00,99.36079112688701 A
2017-11-02T00:00:00-06:00,120.49185450871785 A
2017-11-03T00:00:00-06:00,333.2373274116106 A
2017-11-04T00:00:00-06:00,162.6301855246226 A
2017-11-05T00:00:00-06:00,95.68026023864746 A
2017-11-06T00:00:00-07:00,102.7833710519891 A
2017-11-07T00:00:00-07:00,98.29750685996197 A
2017-11-08T00:00:00-07:00,112.81600562562333 A
2017-11-09T00:00:00-07:00,202.3609524567922 A
2017-11-10T00:00:00-07:00,256.73517084121704 A
2017-11-11T00:00:00-07:00,327.3016695181529 A
2017-11-12T00:00:00-07:00,99.64243308703105 A
2017-11-13T00:00:00-07:00,105.48348259925842 A
2017-11-14T00:00:00-07:00,95.84433007240295 A
2017-11-15T00:00:00-07:00,94.25857218106587 A
2017-11-16T00:00:00-07:00,95.25503333409627 A
2017-11-17T00:00:00-07:00,342.7092784245809 A
2017-11-18T00:00:00-07:00,130.06008386611938 A
2017-11-19T00:00:00-07:00,93.33885423342387 A
2017-11-20T00:00:00-07:00,97.05446330706279 A
2017-11-21T00:00:00-07:00,98.46245233217876 A
2017-11-22T00:00:00-07:00,94.58976825078328 A
2017-11-23T00:00:00-07:00,94.49444945653279 A
2017-11-24T00:00:00-07:00,95.81047789255778 A
2017-11-25T00:00:00-07:00,287.7124861081441 A
2017-11-26T00:00:00-07:00,159.52804271380106 A
2017-11-27T00:00:00-07:00,115.87119007110596 A
2017-11-28T00:00:00-07:00,94.93130747477214 A
2017-11-29T00:00:00-07:00,104.72486941019694 A
2017-11-30T00:00:00-07:00,101.24611377716064 A
2017-12-01T00:00:00-07:00,97.56617299715678 A
2017-12-02T00:00:00-07:00,95.25749739011128 A
2017-12-03T00:00:00-07:00,96.3214639822642 A
2017-12-04T00:00:00-07:00,99.04228687286377 A
2017-12-05T00:00:00-07:00,96.50525037447612 A
2017-12-06T00:00:00-07:00,94.35362505912781 A
2017-12-07T00:00:00-07:00,94.48230377833049 A
2017-12-08T00:00:00-07:00,102.42089788118999 A
2017-12-09T00:00:00-07:00,94.8884213096217 A
2017-12-10T00:00:00-07:00,94.92717337608337 A
2017-12-11T00:00:00-07:00,93.34743928909302 A
2017-12-12T00:00:00-07:00,94.52018197377522 A
2017-12-13T00:00:00-07:00,92.14447355270386 A
2017-12-14T00:00:00-07:00,94.21146281560262 A
2017-12-15T00:00:00-07:00,93.49939409891765 A
2017-12-16T00:00:00-07:00,94.43414812589947 A
2017-12-17T00:00:00-07:00,93.46677295366923 A
2017-12-18T00:00:00-07:00,94.68449141762473 A
2017-12-19T00:00:00-07:00,93.22459228833516 A
2017-12-20T00:00:00-07:00,93.0126809279124 A
2017-12-21T00:00:00-07:00,93.00823100407918 A
2017-12-22T00:00:00-07:00,93.57734537124634 A
2017-12-23T00:00:00-07:00,93.12016979853313 A
2017-12-24T00:00:00-07:00,93.97804069519043 A
2017-12-25T00:00:00-07:00,94.43382716178894 A
2017-12-26T00:00:00-07:00,93.91913318634033 A
2017-12-27T00:00:00-07:00,94.23093303044637 A
2017-12-28T00:00:00-07:00,93.55281742413838 A
2017-12-29T00:00:00-07:00,91.35636067390442 A
2017-12-30T00:00:00-07:00,90.11575150489807 A
2017-12-31T00:00:00-07:00,91.3718368212382 A
