Timestamp,['1cd269d6-4a5fc96b 0014-TALMAGE BLDG Power Meter KWH Received']
2017-09-09T00:00:00-06:00,1058 kWh
2017-09-10T00:00:00-06:00,1051 kWh
2017-09-11T00:00:00-06:00,1213 kWh
2017-09-12T00:00:00-06:00,1235 kWh
2017-09-13T00:00:00-06:00,1239 kWh
2017-09-14T00:00:00-06:00,1221 kWh
2017-09-15T00:00:00-06:00,1015 kWh
2017-09-16T00:00:00-06:00,901 kWh
2017-09-17T00:00:00-06:00,922 kWh
2017-09-18T00:00:00-06:00,1186 kWh
2017-09-19T00:00:00-06:00,1023 kWh
2017-09-20T00:00:00-06:00,1020 kWh
2017-09-21T00:00:00-06:00,929 kWh
2017-09-22T00:00:00-06:00,835 kWh
2017-09-23T00:00:00-06:00,761 kWh
2017-09-24T00:00:00-06:00,773 kWh
2017-09-25T00:00:00-06:00,896 kWh
2017-09-26T00:00:00-06:00,949 kWh
2017-09-27T00:00:00-06:00,1021 kWh
2017-09-28T00:00:00-06:00,1118 kWh
2017-09-29T00:00:00-06:00,1072 kWh
2017-09-30T00:00:00-06:00,952 kWh
2017-10-01T00:00:00-06:00,749 kWh
2017-10-02T00:00:00-06:00,826 kWh
2017-10-03T00:00:00-06:00,863 kWh
2017-10-04T00:00:00-06:00,1014 kWh
2017-10-05T00:00:00-06:00,951 kWh
2017-10-06T00:00:00-06:00,912 kWh
2017-10-07T00:00:00-06:00,885 kWh
2017-10-08T00:00:00-06:00,758 kWh
2017-10-09T00:00:00-06:00,816 kWh
2017-10-10T00:00:00-06:00,882 kWh
2017-10-11T00:00:00-06:00,947 kWh
2017-10-12T00:00:00-06:00,813 kWh
2017-10-13T00:00:00-06:00,850 kWh
2017-10-14T00:00:00-06:00,785 kWh
2017-10-15T00:00:00-06:00,762 kWh
2017-10-16T00:00:00-06:00,923 kWh
2017-10-17T00:00:00-06:00,1009 kWh
2017-10-18T00:00:00-06:00,1091 kWh
2017-10-19T00:00:00-06:00,1101 kWh
2017-10-20T00:00:00-06:00,974 kWh
2017-10-21T00:00:00-06:00,769 kWh
2017-10-22T00:00:00-06:00,865 kWh
2017-10-23T00:00:00-06:00,989 kWh
2017-10-24T00:00:00-06:00,996 kWh
2017-10-25T00:00:00-06:00,1014 kWh
2017-10-26T00:00:00-06:00,964 kWh
2017-10-27T00:00:00-06:00,895 kWh
2017-10-28T00:00:00-06:00,854 kWh
2017-10-29T00:00:00-06:00,916 kWh
2017-10-30T00:00:00-06:00,930 kWh
2017-10-31T00:00:00-06:00,823 kWh
2017-11-01T00:00:00-06:00,1009 kWh
2017-11-02T00:00:00-06:00,1080 kWh
2017-11-03T00:00:00-06:00,1075 kWh
2017-11-04T00:00:00-06:00,800 kWh
2017-11-05T00:00:00-06:00,811 kWh
2017-11-06T00:00:00-07:00,920 kWh
2017-11-07T00:00:00-07:00,939 kWh
2017-11-08T00:00:00-07:00,944 kWh
2017-11-09T00:00:00-07:00,978 kWh
2017-11-10T00:00:00-07:00,858 kWh
