Timestamp,['1cda76ef-3bfeeee7 0014-TALMAGE BLDG Power Meter Current C']
2017-08-09T00:00:00-06:00,120.11111278004117 A
2017-08-10T00:00:00-06:00,112.4841970081987 A
2017-08-11T00:00:00-06:00,114.28833507431878 A
2017-08-12T00:00:00-06:00,107.32305760913425 A
2017-08-13T00:00:00-06:00,111.17541844050089 A
2017-08-14T00:00:00-06:00,112.8665297932095 A
2017-08-15T00:00:00-06:00,114.6230574607849 A
2017-08-16T00:00:00-06:00,111.82152947319878 A
2017-08-17T00:00:00-06:00,112.18833533922832 A
2017-08-18T00:00:00-06:00,116.34069619178771 A
2017-08-19T00:00:00-06:00,108.90722387631735 A
2017-08-20T00:00:00-06:00,107.41458484861586 A
2017-08-21T00:00:00-06:00,120.83889081743028 A
2017-08-22T00:00:00-06:00,124.0361131562127 A
2017-08-23T00:00:00-06:00,124.33889102935791 A
2017-08-24T00:00:00-06:00,124.772293721305 A
2017-08-25T00:00:00-06:00,120.88840459187826 A
2017-08-26T00:00:00-06:00,109.515765592787 A
2017-08-27T00:00:00-06:00,111.00764041476779 A
2017-08-28T00:00:00-06:00,137.35739043506223 A
2017-08-29T00:00:00-06:00,156.33563841203835 A
2017-08-30T00:00:00-06:00,154.31236415439182 A
2017-08-31T00:00:00-06:00,159.55048913955687 A
2017-09-01T00:00:00-06:00,150.17792010837132 A
2017-09-02T00:00:00-06:00,138.0766696718004 A
2017-09-03T00:00:00-06:00,137.97701621585423 A
2017-09-04T00:00:00-06:00,138.01458592944675 A
2017-09-05T00:00:00-06:00,153.68083623250325 A
2017-09-06T00:00:00-06:00,155.46944722069634 A
2017-09-07T00:00:00-06:00,158.00736423068577 A
2017-09-08T00:00:00-06:00,151.4586091439795 A
2017-09-09T00:00:00-06:00,138.9537791112086 A
2017-09-10T00:00:00-06:00,137.40923858218724 A
2017-09-11T00:00:00-06:00,153.377364148034 A
2017-09-12T00:00:00-06:00,154.0027804268731 A
2017-09-13T00:00:00-06:00,155.21333644655016 A
2017-09-14T00:00:00-06:00,155.07028054131402 A
2017-09-15T00:00:00-06:00,126.47889179653592 A
2017-09-16T00:00:00-06:00,113.97736335330539 A
2017-09-17T00:00:00-06:00,118.1238910569085 A
2017-09-18T00:00:00-06:00,147.86389191945395 A
2017-09-19T00:00:00-06:00,125.68159951104059 A
2017-09-20T00:00:00-06:00,124.36736334694757 A
2017-09-21T00:00:00-06:00,112.22152961624994 A
2017-09-22T00:00:00-06:00,97.46402906311883 A
2017-09-23T00:00:00-06:00,91.67041845321656 A
2017-09-24T00:00:00-06:00,91.98847371207343 A
2017-09-25T00:00:00-06:00,106.68569601906671 A
2017-09-26T00:00:00-06:00,116.91139095094469 A
2017-09-27T00:00:00-06:00,126.16208553844028 A
2017-09-28T00:00:00-06:00,136.95902995003595 A
2017-09-29T00:00:00-06:00,131.24757216771442 A
2017-09-30T00:00:00-06:00,117.38173783620199 A
2017-10-01T00:00:00-06:00,89.67361235088772 A
2017-10-02T00:00:00-06:00,95.74861272176106 A
2017-10-03T00:00:00-06:00,103.16875184377035 A
2017-10-04T00:00:00-06:00,123.19125218921238 A
2017-10-05T00:00:00-06:00,113.95791854858399 A
2017-10-06T00:00:00-06:00,111.38382147683038 A
2017-10-07T00:00:00-06:00,113.47250172826979 A
2017-10-08T00:00:00-06:00,97.09264016681247 A
2017-10-09T00:00:00-06:00,99.28326533105638 A
2017-10-10T00:00:00-06:00,108.12465409172906 A
2017-10-11T00:00:00-06:00,118.4775020705329 A
2017-10-12T00:00:00-06:00,99.88750166363187 A
2017-10-13T00:00:00-06:00,105.11389059490628 A
2017-10-14T00:00:00-06:00,98.45208475324843 A
2017-10-15T00:00:00-06:00,94.9277793566386 A
2017-10-16T00:00:00-06:00,112.00034911897447 A
2017-10-17T00:00:00-06:00,121.38375256326464 A
2017-10-18T00:00:00-06:00,132.52527974976434 A
2017-10-19T00:00:00-06:00,134.31423827277288 A
2017-10-20T00:00:00-06:00,119.9193767812517 A
2017-10-21T00:00:00-06:00,93.87527945836385 A
2017-10-22T00:00:00-06:00,108.41097394095527 A
2017-10-23T00:00:00-06:00,117.14833519193861 A
2017-10-24T00:00:00-06:00,121.09326589372424 A
2017-10-25T00:00:00-06:00,124.71236335436502 A
2017-10-26T00:00:00-06:00,115.69305743111505 A
2017-10-27T00:00:00-06:00,109.26041876475016 A
2017-10-28T00:00:00-06:00,103.38347407976786 A
2017-10-29T00:00:00-06:00,113.70173783832126 A
2017-10-30T00:00:00-06:00,111.90382123523288 A
2017-10-31T00:00:00-06:00,99.12777919769287 A
2017-11-01T00:00:00-06:00,127.60777999030219 A
