Timestamp,['1cca7558-b00f4018 0062-WARNOCK ENGR BLDG Power Meter 316607 Current B']
2017-08-17T00:00:00-06:00,459.1354166666667 A
2017-08-18T00:00:00-06:00,461.90625 A
2017-08-19T00:00:00-06:00,451.9583333333333 A
2017-08-20T00:00:00-06:00,454 A
2017-08-21T00:00:00-06:00,464.4375 A
2017-08-22T00:00:00-06:00,466.125 A
2017-08-23T00:00:00-06:00,465.0208333333333 A
2017-08-24T00:00:00-06:00,476.3645833333333 A
2017-08-25T00:00:00-06:00,468.625 A
2017-08-26T00:00:00-06:00,447.4791666666667 A
2017-08-27T00:00:00-06:00,446.28125 A
2017-08-28T00:00:00-06:00,463.9888888888889 A
2017-08-29T00:00:00-06:00,481.1758241758242 A
2017-08-30T00:00:00-06:00,481.9895833333333 A
2017-08-31T00:00:00-06:00,470.7916666666667 A
2017-09-01T00:00:00-06:00,476.2395833333333 A
2017-09-02T00:00:00-06:00,446.7083333333333 A
2017-09-03T00:00:00-06:00,452.28125 A
2017-09-04T00:00:00-06:00,449.15625 A
2017-09-05T00:00:00-06:00,478.8229166666667 A
2017-09-06T00:00:00-06:00,476.7263157894737 A
2017-09-07T00:00:00-06:00,479.2604166666667 A
2017-09-08T00:00:00-06:00,475.61538461538464 A
2017-09-09T00:00:00-06:00,440.6770833333333 A
2017-09-10T00:00:00-06:00,445.5 A
2017-09-11T00:00:00-06:00,489.3333333333333 A
2017-09-12T00:00:00-06:00,487.8645833333333 A
2017-09-13T00:00:00-06:00,484.6979166666667 A
2017-09-14T00:00:00-06:00,469.90625 A
2017-09-15T00:00:00-06:00,456.6666666666667 A
2017-09-16T00:00:00-06:00,414.9791666666667 A
2017-09-17T00:00:00-06:00,420.0625 A
2017-09-18T00:00:00-06:00,454.9375 A
2017-09-19T00:00:00-06:00,456.0625 A
2017-09-20T00:00:00-06:00,456.2083333333333 A
2017-09-21T00:00:00-06:00,436.3541666666667 A
2017-09-22T00:00:00-06:00,410.9791666666667 A
2017-09-23T00:00:00-06:00,378.4895833333333 A
2017-09-24T00:00:00-06:00,373.625 A
2017-09-25T00:00:00-06:00,429.9583333333333 A
2017-09-26T00:00:00-06:00,446.2083333333333 A
2017-09-27T00:00:00-06:00,467.40625 A
2017-09-28T00:00:00-06:00,474.5104166666667 A
2017-09-29T00:00:00-06:00,467.8645833333333 A
2017-09-30T00:00:00-06:00,440.1354166666667 A
2017-10-01T00:00:00-06:00,411.28125 A
2017-10-02T00:00:00-06:00,400.8333333333333 A
2017-10-03T00:00:00-06:00,438.375 A
2017-10-04T00:00:00-06:00,454.8958333333333 A
2017-10-05T00:00:00-06:00,442.6041666666667 A
2017-10-06T00:00:00-06:00,435.8333333333333 A
2017-10-07T00:00:00-06:00,431.0520833333333 A
2017-10-08T00:00:00-06:00,382.8125 A
2017-10-09T00:00:00-06:00,390.625 A
2017-10-10T00:00:00-06:00,409.8229166666667 A
2017-10-11T00:00:00-06:00,434.5208333333333 A
2017-10-12T00:00:00-06:00,408.46875 A
2017-10-13T00:00:00-06:00,399.6979166666667 A
2017-10-14T00:00:00-06:00,377.3125 A
2017-10-15T00:00:00-06:00,393.6354166666667 A
2017-10-16T00:00:00-06:00,430.9895833333333 A
2017-10-17T00:00:00-06:00,449.3645833333333 A
2017-10-18T00:00:00-06:00,461.2708333333333 A
2017-10-19T00:00:00-06:00,461.0416666666667 A
2017-10-20T00:00:00-06:00,435.8125 A
2017-10-21T00:00:00-06:00,373.9479166666667 A
2017-10-22T00:00:00-06:00,400.4895833333333 A
2017-10-23T00:00:00-06:00,441.4895833333333 A
2017-10-24T00:00:00-06:00,430.9270833333333 A
2017-10-25T00:00:00-06:00,428.8958333333333 A
2017-10-26T00:00:00-06:00,427.03125 A
2017-10-27T00:00:00-06:00,424.2604166666667 A
2017-10-28T00:00:00-06:00,409.7395833333333 A
2017-10-29T00:00:00-06:00,409.6354166666667 A
2017-10-30T00:00:00-06:00,424.96875 A
2017-10-31T00:00:00-06:00,404.8020833333333 A
2017-11-01T00:00:00-06:00,433.3333333333333 A
2017-11-02T00:00:00-06:00,459.7708333333333 A
2017-11-03T00:00:00-06:00,457.875 A
2017-11-04T00:00:00-06:00,402.8125 A
2017-11-05T00:00:00-06:00,361.1 A
2017-11-06T00:00:00-07:00,397.0208333333333 A
2017-11-07T00:00:00-07:00,399.5625 A
2017-11-08T00:00:00-07:00,398.9583333333333 A
2017-11-09T00:00:00-07:00,423.3958333333333 A
2017-11-10T00:00:00-07:00,403.4895833333333 A
2017-11-11T00:00:00-07:00,390.625 A
2017-11-12T00:00:00-07:00,373.7604166666667 A
2017-11-13T00:00:00-07:00,417.7916666666667 A
2017-11-14T00:00:00-07:00,422.22105263157897 A
2017-11-15T00:00:00-07:00,419.625 A
2017-11-16T00:00:00-07:00,453.7291666666667 A
2017-11-17T00:00:00-07:00,407.1041666666667 A
2017-11-18T00:00:00-07:00,386.2395833333333 A
2017-11-19T00:00:00-07:00,369.34375 A
2017-11-20T00:00:00-07:00,395.28125 A
2017-11-21T00:00:00-07:00,429.4895833333333 A
2017-11-22T00:00:00-07:00,434.3541666666667 A
2017-11-23T00:00:00-07:00,403.96875 A
2017-11-24T00:00:00-07:00,392.6354166666667 A
2017-11-25T00:00:00-07:00,379.8958333333333 A
2017-11-26T00:00:00-07:00,396.1041666666667 A
2017-11-27T00:00:00-07:00,414.9375 A
2017-11-28T00:00:00-07:00,407.875 A
2017-11-29T00:00:00-07:00,397.125 A
2017-11-30T00:00:00-07:00,396.6666666666667 A
2017-12-01T00:00:00-07:00,401.90625 A
2017-12-02T00:00:00-07:00,375.4895833333333 A
2017-12-03T00:00:00-07:00,385.34375 A
2017-12-04T00:00:00-07:00,397.8645833333333 A
2017-12-05T00:00:00-07:00,390.28125 A
2017-12-06T00:00:00-07:00,400.0625 A
2017-12-07T00:00:00-07:00,396.4791666666667 A
2017-12-08T00:00:00-07:00,392.5833333333333 A
2017-12-09T00:00:00-07:00,384.375 A
2017-12-10T00:00:00-07:00,385.9166666666667 A
2017-12-11T00:00:00-07:00,404.3645833333333 A
2017-12-12T00:00:00-07:00,400.375 A
2017-12-13T00:00:00-07:00,398.9791666666667 A
2017-12-14T00:00:00-07:00,391.3958333333333 A
2017-12-15T00:00:00-07:00,396.2291666666667 A
2017-12-16T00:00:00-07:00,376.0416666666667 A
2017-12-17T00:00:00-07:00,366 A
2017-12-18T00:00:00-07:00,375.6043956043956 A
2017-12-19T00:00:00-07:00,391.46875 A
2017-12-20T00:00:00-07:00,399.0729166666667 A
2017-12-21T00:00:00-07:00,387.6875 A
2017-12-22T00:00:00-07:00,385.8125 A
2017-12-23T00:00:00-07:00,379.7291666666667 A
2017-12-24T00:00:00-07:00,377.1041666666667 A
2017-12-25T00:00:00-07:00,374.125 A
2017-12-26T00:00:00-07:00,368.90625 A
2017-12-27T00:00:00-07:00,400.2916666666667 A
2017-12-28T00:00:00-07:00,403.1354166666667 A
2017-12-29T00:00:00-07:00,402.6770833333333 A
2017-12-30T00:00:00-07:00,388.6770833333333 A
2017-12-31T00:00:00-07:00,373.1041666666667 A
