Timestamp,['1fe6f7d5-b6032f45 Power Meter 085220 (300186) Current B']
2017-05-19T00:00:00-06:00,89.85591388005082 A
2017-05-20T00:00:00-06:00,84.4082353479722 A
2017-05-21T00:00:00-06:00,83.51807238107705 A
2017-05-22T00:00:00-06:00,89.09425283848554 A
2017-05-23T00:00:00-06:00,90.25483851278982 A
2017-05-24T00:00:00-06:00,91.85813948165539 A
2017-05-25T00:00:00-06:00,92.92758634720725 A
2017-05-26T00:00:00-06:00,92.60000008975759 A
2017-05-27T00:00:00-06:00,81.67578912032278 A
2017-05-28T00:00:00-06:00,79.45063269892826 A
2017-05-29T00:00:00-06:00,85.04090924696489 A
2017-05-30T00:00:00-06:00,90.78602132489604 A
2017-05-31T00:00:00-06:00,91.13763427734375 A
2017-06-01T00:00:00-06:00,88.75232545719591 A
2017-06-02T00:00:00-06:00,90.12289162141731 A
2017-06-03T00:00:00-06:00,80.32359519701326 A
2017-06-04T00:00:00-06:00,80.94456523397695 A
2017-06-05T00:00:00-06:00,92.2439022529416 A
2017-06-06T00:00:00-06:00,93.0441859045694 A
2017-06-07T00:00:00-06:00,95.32236822027909 A
2017-06-08T00:00:00-06:00,91.01176479563993 A
2017-06-09T00:00:00-06:00,89.73205136030148 A
2017-06-10T00:00:00-06:00,83.2644066244869 A
2017-06-11T00:00:00-06:00,86.34328380983267 A
2017-06-12T00:00:00-06:00,89.24938296094354 A
2017-06-13T00:00:00-06:00,125.52840874411844 A
2017-06-14T00:00:00-06:00,153.2771427699498 A
2017-06-15T00:00:00-06:00,130.81182795698925 A
2017-06-16T00:00:00-06:00,119.52469145221475 A
2017-06-17T00:00:00-06:00,144.90229849979795 A
2017-06-18T00:00:00-06:00,145.15308690954137 A
2017-06-19T00:00:00-06:00,157.6128207475711 A
2017-06-20T00:00:00-06:00,155.84210566470497 A
2017-06-21T00:00:00-06:00,156.37761221359025 A
2017-06-22T00:00:00-06:00,151.11999938964843 A
2017-06-23T00:00:00-06:00,151.75999973842076 A
2017-06-24T00:00:00-06:00,150.57254806219362 A
2017-06-25T00:00:00-06:00,150.55178587777274 A
2017-06-26T00:00:00-06:00,159.66428593226843 A
2017-06-27T00:00:00-06:00,157.27000061035156 A
2017-06-28T00:00:00-06:00,160.2588233947754 A
2017-06-29T00:00:00-06:00,160.0250001204641 A
2017-06-30T00:00:00-06:00,159.2482761076127 A
2017-07-01T00:00:00-06:00,150.70860224898144 A
2017-07-02T00:00:00-06:00,150.2989242717784 A
2017-07-03T00:00:00-06:00,156.2420004272461 A
2017-07-04T00:00:00-06:00,150.84150926122126 A
2017-07-05T00:00:00-06:00,161.7275864173626 A
2017-07-06T00:00:00-06:00,160.150001927426 A
2017-07-07T00:00:00-06:00,173.06666819254556 A
2017-07-08T00:00:00-06:00,149.3857160295759 A
2017-07-09T00:00:00-06:00,150.70000076293945 A
2017-07-10T00:00:00-06:00,152.26666768391928 A
2017-07-11T00:00:00-06:00,151.7 A
2017-07-12T00:00:00-06:00,148.32000122070312 A
2017-07-14T00:00:00-06:00,165.31250095367432 A
2017-07-15T00:00:00-06:00,144.05714362008231 A
2017-07-16T00:00:00-06:00,149.8375015258789 A
2017-07-17T00:00:00-06:00,156.72857012067522 A
2017-07-18T00:00:00-06:00,147.0999984741211 A
2017-07-19T00:00:00-06:00,155.41666666666666 A
2017-07-20T00:00:00-06:00,169.3181818181818 A
2017-07-21T00:00:00-06:00,162.57368388928865 A
2017-07-22T00:00:00-06:00,154.15897467197516 A
2017-07-23T00:00:00-06:00,152.03333282470703 A
2017-07-24T00:00:00-06:00,152.04285757882255 A
2017-07-25T00:00:00-06:00,173.75999755859374 A
2017-07-26T00:00:00-06:00,161.43333265516492 A
2017-07-27T00:00:00-06:00,161.34285627092635 A
2017-07-28T00:00:00-06:00,149.57500076293945 A
2017-07-29T00:00:00-06:00,156.2625026702881 A
2017-07-30T00:00:00-06:00,161.95000203450522 A
2017-07-31T00:00:00-06:00,154.46666632758246 A
2017-08-01T00:00:00-06:00,160.38620731748384 A
2017-08-02T00:00:00-06:00,150.54285539899553 A
2017-08-03T00:00:00-06:00,158.77499771118164 A
2017-08-04T00:00:00-06:00,162.53333028157553 A
2017-08-05T00:00:00-06:00,152.89166641235352 A
2017-08-06T00:00:00-06:00,152.15833155314127 A
2017-08-07T00:00:00-06:00,162.875 A
2017-08-08T00:00:00-06:00,154.13750076293945 A
2017-08-09T00:00:00-06:00,151.89999741774338 A
2017-08-10T00:00:00-06:00,162.66249656677246 A
2017-08-11T00:00:00-06:00,181.4499969482422 A
2017-08-12T00:00:00-06:00,149.5764689725988 A
2017-08-13T00:00:00-06:00,149.48571559361048 A
2017-08-14T00:00:00-06:00,159.96666463216147 A
2017-08-15T00:00:00-06:00,158.55999755859375 A
2017-08-16T00:00:00-06:00,146.51249885559082 A
2017-08-17T00:00:00-06:00,177.96666463216147 A
2017-08-18T00:00:00-06:00,151.86666870117188 A
2017-08-19T00:00:00-06:00,147.45714460100447 A
2017-08-20T00:00:00-06:00,146.02000122070314 A
2017-08-21T00:00:00-06:00,152.2500015258789 A
2017-08-22T00:00:00-06:00,154.25999755859374 A
2017-08-23T00:00:00-06:00,158.6875 A
2017-08-24T00:00:00-06:00,165.57777743869357 A
2017-08-25T00:00:00-06:00,164.0799987792969 A
2017-08-26T00:00:00-06:00,153.3000030517578 A
2017-08-27T00:00:00-06:00,146.5999969482422 A
2017-08-28T00:00:00-06:00,111.84545412930575 A
2017-08-29T00:00:00-06:00,133.7249984741211 A
2017-08-30T00:00:00-06:00,109.82857186453683 A
2017-08-31T00:00:00-06:00,119.34999974568684 A
2017-09-01T00:00:00-06:00,131.33333333333334 A
2017-09-02T00:00:00-06:00,96.79999923706055 A
2017-09-03T00:00:00-06:00,114.58999938964844 A
2017-09-04T00:00:00-06:00,114.66923053448016 A
2017-09-05T00:00:00-06:00,123.42380886986142 A
2017-09-06T00:00:00-06:00,120.1875 A
2017-09-07T00:00:00-06:00,134.37692260742188 A
2017-09-08T00:00:00-06:00,161.23076805701623 A
2017-09-09T00:00:00-06:00,151.51111009385852 A
2017-09-10T00:00:00-06:00,150.87142944335938 A
2017-09-11T00:00:00-06:00,163.33333587646484 A
2017-09-12T00:00:00-06:00,151.56000061035155 A
2017-09-13T00:00:00-06:00,164.58235258214614 A
2017-09-14T00:00:00-06:00,148.49000091552733 A
