Timestamp,['1cbae874-b0a7a76b 0038-ART BLDG Power Meter 300086 KW']
2017-12-09T00:00:00-07:00,50.96675491333008 kW
2017-12-10T00:00:00-07:00,36.1331787109375 kW
2017-12-11T00:00:00-07:00,38.66976547241211 kW
2017-12-12T00:00:00-07:00,40.25729751586914 kW
2017-12-13T00:00:00-07:00,40.312232971191406 kW
2017-12-14T00:00:00-07:00,40.671512603759766 kW
2017-12-15T00:00:00-07:00,52.13052749633789 kW
2017-12-16T00:00:00-07:00,49.59116744995117 kW
2017-12-17T00:00:00-07:00,50.50440216064453 kW
2017-12-18T00:00:00-07:00,52.3053092956543 kW
2017-12-19T00:00:00-07:00,35.23120880126953 kW
2017-12-20T00:00:00-07:00,36.731014251708984 kW
2017-12-21T00:00:00-07:00,38.3914680480957 kW
2017-12-22T00:00:00-07:00,35.739105224609375 kW
2017-12-23T00:00:00-07:00,34.707149505615234 kW
2017-12-24T00:00:00-07:00,23.628917694091797 kW
2017-12-25T00:00:00-07:00,21.4909725189209 kW
2017-12-26T00:00:00-07:00,48.38454055786133 kW
2017-12-27T00:00:00-07:00,24.055850982666016 kW
2017-12-28T00:00:00-07:00,31.33348274230957 kW
2017-12-29T00:00:00-07:00,26.40163803100586 kW
2017-12-30T00:00:00-07:00,26.076087951660156 kW
2017-12-31T00:00:00-07:00,24.806398391723633 kW
