Timestamp,['1cd68686-758d8597 Power Meter (4160V) 316611 Voltage B-C']
2017-07-06T00:00:00-06:00,4148.828571428571 V
2017-07-07T00:00:00-06:00,4120.833333333333 V
2017-07-08T00:00:00-06:00,4139.285714285715 V
2017-07-09T00:00:00-06:00,4133.5 V
2017-07-10T00:00:00-06:00,4124.333333333333 V
2017-07-11T00:00:00-06:00,4155.636363636364 V
2017-07-12T00:00:00-06:00,4157 V
2017-07-14T00:00:00-06:00,4130.666666666667 V
2017-07-15T00:00:00-06:00,4154.823529411765 V
2017-07-16T00:00:00-06:00,4117.888888888889 V
2017-07-17T00:00:00-06:00,4137.5 V
2017-07-18T00:00:00-06:00,4142.4 V
2017-07-19T00:00:00-06:00,4133.666666666667 V
2017-07-20T00:00:00-06:00,4125.545454545455 V
2017-07-21T00:00:00-06:00,4141.705882352941 V
2017-07-22T00:00:00-06:00,4142.763157894737 V
2017-07-23T00:00:00-06:00,4162.222222222223 V
2017-07-24T00:00:00-06:00,4139.428571428572 V
2017-07-25T00:00:00-06:00,4128 V
2017-07-26T00:00:00-06:00,4140.6 V
2017-07-27T00:00:00-06:00,4156.428571428572 V
2017-07-28T00:00:00-06:00,4176.285714285715 V
2017-07-29T00:00:00-06:00,4171.444444444444 V
2017-07-30T00:00:00-06:00,4148.5 V
2017-07-31T00:00:00-06:00,4147.125 V
2017-08-01T00:00:00-06:00,4135.433333333333 V
2017-08-02T00:00:00-06:00,4140.857142857143 V
2017-08-03T00:00:00-06:00,4153.25 V
2017-08-04T00:00:00-06:00,4139.857142857143 V
2017-08-05T00:00:00-06:00,4151 V
2017-08-06T00:00:00-06:00,4152.555555555556 V
2017-08-07T00:00:00-06:00,4140 V
2017-08-08T00:00:00-06:00,4143.375 V
2017-08-09T00:00:00-06:00,4164.571428571428 V
2017-08-10T00:00:00-06:00,4132.142857142857 V
2017-08-11T00:00:00-06:00,4167.5 V
2017-08-12T00:00:00-06:00,4146.117647058823 V
2017-08-13T00:00:00-06:00,4165.142857142857 V
2017-08-14T00:00:00-06:00,4157 V
2017-08-15T00:00:00-06:00,4200.2 V
2017-08-16T00:00:00-06:00,4151.75 V
2017-08-17T00:00:00-06:00,4134 V
2017-08-18T00:00:00-06:00,4194.166666666667 V
2017-08-19T00:00:00-06:00,4148.5 V
2017-08-20T00:00:00-06:00,4175.25 V
2017-08-21T00:00:00-06:00,4152.666666666667 V
2017-08-22T00:00:00-06:00,4129.666666666667 V
2017-08-23T00:00:00-06:00,4147.5 V
2017-08-24T00:00:00-06:00,4144.5 V
2017-08-25T00:00:00-06:00,4150.4 V
2017-08-26T00:00:00-06:00,4160 V
2017-08-27T00:00:00-06:00,4148.8 V
2017-08-28T00:00:00-06:00,4157.2 V
2017-08-29T00:00:00-06:00,4144.818181818182 V
2017-08-30T00:00:00-06:00,4150.571428571428 V
2017-08-31T00:00:00-06:00,4155.571428571428 V
2017-09-01T00:00:00-06:00,4173.166666666667 V
2017-09-02T00:00:00-06:00,4169.125 V
2017-09-03T00:00:00-06:00,4164.954545454545 V
2017-09-04T00:00:00-06:00,4156.6 V
2017-09-05T00:00:00-06:00,4142.952380952381 V
2017-09-06T00:00:00-06:00,4157.777777777777 V
2017-09-07T00:00:00-06:00,4160.866666666667 V
2017-09-08T00:00:00-06:00,4175.875 V
2017-09-09T00:00:00-06:00,4178.888888888889 V
2017-09-10T00:00:00-06:00,4191 V
2017-09-11T00:00:00-06:00,4181.125 V
2017-09-12T00:00:00-06:00,4171.5 V
2017-09-13T00:00:00-06:00,4161.176470588235 V
2017-09-14T00:00:00-06:00,4181.4 V
2017-09-15T00:00:00-06:00,4193.333333333333 V
2017-09-16T00:00:00-06:00,4204.090909090909 V
2017-09-17T00:00:00-06:00,4184.636363636364 V
2017-09-18T00:00:00-06:00,4179.142857142857 V
2017-09-19T00:00:00-06:00,4188 V
2017-09-20T00:00:00-06:00,4200.857142857143 V
2017-09-21T00:00:00-06:00,4212.25 V
2017-09-22T00:00:00-06:00,4231.8 V
2017-09-23T00:00:00-06:00,4220.777777777777 V
2017-09-24T00:00:00-06:00,4219.5 V
2017-09-25T00:00:00-06:00,4208.714285714285 V
2017-09-26T00:00:00-06:00,4205.2 V
2017-09-27T00:00:00-06:00,4169 V
2017-09-28T00:00:00-06:00,4201.2 V
2017-09-29T00:00:00-06:00,4192 V
2017-09-30T00:00:00-06:00,4215.125 V
2017-10-01T00:00:00-06:00,4204.833333333333 V
2017-10-02T00:00:00-06:00,4226.555555555556 V
2017-10-03T00:00:00-06:00,4214.444444444444 V
2017-10-04T00:00:00-06:00,4198.5 V
2017-10-05T00:00:00-06:00,4212.375 V
2017-10-06T00:00:00-06:00,4208.611111111111 V
2017-10-07T00:00:00-06:00,4205.888888888889 V
2017-10-08T00:00:00-06:00,4223.5 V
2017-10-09T00:00:00-06:00,4229.666666666667 V
2017-10-10T00:00:00-06:00,4195.111111111111 V
2017-10-11T00:00:00-06:00,4192.030303030303 V
2017-10-12T00:00:00-06:00,4203.09756097561 V
