Timestamp,['206e9e55-ed5918b3 0046-LASSONDE STUDIOS Power Meter 316258 Current A']
2017-11-24T00:00:00-07:00,156.54344209035239 A
2017-11-25T00:00:00-07:00,164.92245737711588 A
2017-11-26T00:00:00-07:00,194.63030846913657 A
2017-11-27T00:00:00-07:00,212.18819999694824 A
2017-11-28T00:00:00-07:00,208.29979276657104 A
2017-11-29T00:00:00-07:00,212.6339529355367 A
2017-11-30T00:00:00-07:00,221.55713685353598 A
2017-12-01T00:00:00-07:00,209.85857725143433 A
2017-12-02T00:00:00-07:00,216.16946045557657 A
2017-12-03T00:00:00-07:00,216.08384084701538 A
2017-12-04T00:00:00-07:00,222.94692405064902 A
2017-12-05T00:00:00-07:00,225.04447778066 A
2017-12-06T00:00:00-07:00,236.50100056330362 A
2017-12-07T00:00:00-07:00,233.9563751220703 A
2017-12-08T00:00:00-07:00,226.00105446263365 A
2017-12-09T00:00:00-07:00,219.76230446497598 A
2017-12-10T00:00:00-07:00,217.779976050059 A
2017-12-11T00:00:00-07:00,225.26597261428833 A
2017-12-12T00:00:00-07:00,226.49934148788452 A
2017-12-13T00:00:00-07:00,229.03711605072021 A
2017-12-14T00:00:00-07:00,217.1852904955546 A
2017-12-15T00:00:00-07:00,211.1732611656189 A
2017-12-16T00:00:00-07:00,181.76320107777914 A
2017-12-17T00:00:00-07:00,159.35669612884521 A
2017-12-18T00:00:00-07:00,153.44923958727108 A
2017-12-19T00:00:00-07:00,138.35274720191956 A
2017-12-20T00:00:00-07:00,142.54681269327799 A
2017-12-21T00:00:00-07:00,139.92840830485025 A
2017-12-22T00:00:00-07:00,133.24805736541748 A
2017-12-23T00:00:00-07:00,133.78936990102133 A
2017-12-24T00:00:00-07:00,130.56112408638 A
2017-12-25T00:00:00-07:00,128.20595153172812 A
2017-12-26T00:00:00-07:00,131.09940433502197 A
2017-12-27T00:00:00-07:00,135.3921458721161 A
2017-12-28T00:00:00-07:00,136.9191701412201 A
2017-12-29T00:00:00-07:00,138.264270623525 A
2017-12-30T00:00:00-07:00,137.2187144756317 A
2017-12-31T00:00:00-07:00,134.73859206835428 A
