Timestamp,['1cbae9c6-ec8d2780 0038-ART BLDG Power Meter 300086 Volts CN']
2017-08-15T00:00:00-06:00,122.42459217707317 V
2017-08-16T00:00:00-06:00,122.36479568481445 V
2017-08-17T00:00:00-06:00,122.53486100832622 V
2017-08-18T00:00:00-06:00,122.55011208852132 V
2017-08-19T00:00:00-06:00,122.49361157417297 V
2017-08-20T00:00:00-06:00,122.54767060279846 V
2017-08-21T00:00:00-06:00,122.49350190162659 V
2017-08-22T00:00:00-06:00,122.5593090057373 V
2017-08-23T00:00:00-06:00,122.52333410580952 V
2017-08-24T00:00:00-06:00,122.5240961710612 V
2017-08-25T00:00:00-06:00,122.40731739997864 V
2017-08-26T00:00:00-06:00,122.49586780865987 V
2017-08-27T00:00:00-06:00,122.49426865577698 V
2017-08-28T00:00:00-06:00,122.56627614011046 V
2017-08-29T00:00:00-06:00,122.54796830043998 V
2017-08-30T00:00:00-06:00,122.4616912206014 V
2017-08-31T00:00:00-06:00,122.52447605133057 V
2017-09-01T00:00:00-06:00,122.47413158416748 V
2017-09-02T00:00:00-06:00,122.4593740304311 V
2017-09-03T00:00:00-06:00,122.53072150548299 V
2017-09-04T00:00:00-06:00,122.26000809669495 V
2017-09-05T00:00:00-06:00,122.4829052289327 V
2017-09-06T00:00:00-06:00,122.4450628983347 V
2017-09-07T00:00:00-06:00,122.36956063906352 V
2017-09-08T00:00:00-06:00,122.51646680329975 V
2017-09-09T00:00:00-06:00,122.51407170295715 V
2017-09-10T00:00:00-06:00,122.50874638557434 V
2017-09-11T00:00:00-06:00,122.39503479003906 V
2017-09-12T00:00:00-06:00,122.42293866475423 V
2017-09-13T00:00:00-06:00,122.4232341448466 V
2017-09-14T00:00:00-06:00,122.46885275840759 V
2017-09-15T00:00:00-06:00,122.485169728597 V
2017-09-16T00:00:00-06:00,122.64662877718608 V
2017-09-17T00:00:00-06:00,122.5071411927541 V
2017-09-18T00:00:00-06:00,122.42687614758809 V
2017-09-19T00:00:00-06:00,122.38209231694539 V
2017-09-20T00:00:00-06:00,122.5094879468282 V
2017-09-21T00:00:00-06:00,122.54471413294475 V
2017-09-22T00:00:00-06:00,122.6979751586914 V
2017-09-23T00:00:00-06:00,122.36334888140361 V
2017-09-24T00:00:00-06:00,122.52018030484517 V
2017-09-25T00:00:00-06:00,122.51568571726482 V
2017-09-26T00:00:00-06:00,122.49593186378479 V
2017-09-27T00:00:00-06:00,122.61786691347758 V
2017-09-28T00:00:00-06:00,122.52367409070332 V
2017-09-29T00:00:00-06:00,122.46873044967651 V
2017-09-30T00:00:00-06:00,122.29765955607097 V
2017-10-01T00:00:00-06:00,122.25128626823425 V
2017-10-02T00:00:00-06:00,122.45650378863017 V
2017-10-03T00:00:00-06:00,122.27267106374104 V
2017-10-04T00:00:00-06:00,122.50163690249126 V
2017-10-05T00:00:00-06:00,122.42632134755452 V
2017-10-06T00:00:00-06:00,122.40203809738159 V
2017-10-07T00:00:00-06:00,122.64208594957988 V
2017-10-08T00:00:00-06:00,122.60788480440776 V
2017-10-09T00:00:00-06:00,122.57681091626485 V
2017-10-10T00:00:00-06:00,122.4606586297353 V
2017-10-11T00:00:00-06:00,122.5235465367635 V
2017-10-12T00:00:00-06:00,122.64915076891582 V
2017-10-13T00:00:00-06:00,122.53748099009196 V
2017-10-14T00:00:00-06:00,122.54297280311584 V
2017-10-15T00:00:00-06:00,122.50734400749207 V
2017-10-16T00:00:00-06:00,122.46967856089275 V
2017-10-17T00:00:00-06:00,122.39482680956523 V
2017-10-18T00:00:00-06:00,122.60363880793254 V
2017-10-19T00:00:00-06:00,122.67524274190266 V
2017-10-20T00:00:00-06:00,122.471994638443 V
2017-10-21T00:00:00-06:00,122.5291834672292 V
2017-10-22T00:00:00-06:00,122.37449113527934 V
2017-10-23T00:00:00-06:00,122.56639568010966 V
2017-10-24T00:00:00-06:00,122.42809478441875 V
2017-10-25T00:00:00-06:00,122.52548003196716 V
2017-10-26T00:00:00-06:00,122.40683070818584 V
2017-10-27T00:00:00-06:00,122.45051558645147 V
2017-10-28T00:00:00-06:00,122.43349440892537 V
2017-10-29T00:00:00-06:00,122.34545985857646 V
2017-10-30T00:00:00-06:00,122.51040410995483 V
2017-10-31T00:00:00-06:00,122.57483855883281 V
2017-11-01T00:00:00-06:00,122.31468613942464 V
2017-11-02T00:00:00-06:00,122.47124322255452 V
2017-11-03T00:00:00-06:00,122.5427504380544 V
2017-11-04T00:00:00-06:00,122.53562084833781 V
2017-11-05T00:00:00-06:00,122.58686485290528 V
2017-11-06T00:00:00-07:00,122.5808158715566 V
2017-11-07T00:00:00-07:00,122.67918093999226 V
2017-11-08T00:00:00-07:00,122.42104085286458 V
2017-11-09T00:00:00-07:00,122.38076138496399 V
2017-11-10T00:00:00-07:00,122.49678309758504 V
2017-11-11T00:00:00-07:00,122.35669016838074 V
2017-11-12T00:00:00-07:00,122.475102186203 V
2017-11-13T00:00:00-07:00,122.47007489204407 V
2017-11-14T00:00:00-07:00,122.26579109827678 V
2017-11-15T00:00:00-07:00,122.2204155921936 V
2017-11-16T00:00:00-07:00,122.60888838768005 V
2017-11-17T00:00:00-07:00,122.44383986790974 V
2017-11-18T00:00:00-07:00,122.59616374969482 V
2017-11-19T00:00:00-07:00,122.83053533236186 V
2017-11-20T00:00:00-07:00,122.63380972544353 V
2017-11-21T00:00:00-07:00,122.39667216936748 V
2017-11-22T00:00:00-07:00,122.59782226880391 V
2017-11-23T00:00:00-07:00,122.64484159151714 V
2017-11-24T00:00:00-07:00,122.69833493232727 V
2017-11-25T00:00:00-07:00,122.55405314763387 V
2017-11-26T00:00:00-07:00,122.58267831802368 V
2017-11-27T00:00:00-07:00,122.66964920361836 V
2017-11-28T00:00:00-07:00,122.39956982930501 V
2017-11-29T00:00:00-07:00,122.4802798430125 V
2017-11-30T00:00:00-07:00,122.503497838974 V
2017-12-01T00:00:00-07:00,122.57240009307861 V
2017-12-02T00:00:00-07:00,122.55727370580037 V
2017-12-03T00:00:00-07:00,122.47785607973735 V
2017-12-04T00:00:00-07:00,122.3771714369456 V
2017-12-05T00:00:00-07:00,122.45614178975423 V
2017-12-06T00:00:00-07:00,122.48590898513794 V
2017-12-07T00:00:00-07:00,122.52753607432048 V
2017-12-08T00:00:00-07:00,122.50662724177043 V
2017-12-09T00:00:00-07:00,122.647363503774 V
2017-12-10T00:00:00-07:00,122.57506386439006 V
2017-12-11T00:00:00-07:00,122.43598508834839 V
2017-12-12T00:00:00-07:00,122.30724549293518 V
2017-12-13T00:00:00-07:00,122.40807668368022 V
2017-12-14T00:00:00-07:00,122.52101405461629 V
2017-12-15T00:00:00-07:00,122.41240549087524 V
2017-12-16T00:00:00-07:00,122.42849119504292 V
