Timestamp,['1daaa8fa-b9ff00ad 0037-ARCHITECTURE BLDG Power Meter (301159) Current A']
2017-08-15T00:00:00-06:00,33.16207637389501 A
2017-08-16T00:00:00-06:00,32.671601951122284 A
2017-08-17T00:00:00-06:00,30.767969568570454 A
2017-08-18T00:00:00-06:00,32.960093120733895 A
2017-08-19T00:00:00-06:00,33.92268224557241 A
2017-08-20T00:00:00-06:00,30.00579794247945 A
2017-08-21T00:00:00-06:00,38.0205691854159 A
2017-08-22T00:00:00-06:00,34.73558529218038 A
2017-08-23T00:00:00-06:00,38.18811674912771 A
2017-08-24T00:00:00-06:00,36.79242275158564 A
2017-08-25T00:00:00-06:00,38.32352876663208 A
2017-08-26T00:00:00-06:00,30.247639159361523 A
2017-08-27T00:00:00-06:00,29.649926046530407 A
2017-08-28T00:00:00-06:00,48.2972271008925 A
2017-08-29T00:00:00-06:00,45.884328178737476 A
2017-08-30T00:00:00-06:00,49.39380466938019 A
2017-08-31T00:00:00-06:00,48.22610819339752 A
2017-09-01T00:00:00-06:00,43.00797486305237 A
2017-09-02T00:00:00-06:00,31.468743602434795 A
2017-09-03T00:00:00-06:00,28.145180722077686 A
2017-09-04T00:00:00-06:00,33.71812520424525 A
2017-09-05T00:00:00-06:00,41.90864872932434 A
2017-09-06T00:00:00-06:00,46.063639183839165 A
2017-09-07T00:00:00-06:00,45.6035051147143 A
2017-09-08T00:00:00-06:00,41.00034139467322 A
2017-09-09T00:00:00-06:00,32.16284455855688 A
2017-09-10T00:00:00-06:00,28.553840776284535 A
2017-09-11T00:00:00-06:00,50.08754897117615 A
2017-09-12T00:00:00-06:00,48.130158384641014 A
2017-09-13T00:00:00-06:00,47.01935336987177 A
2017-09-14T00:00:00-06:00,47.152299543221794 A
2017-09-15T00:00:00-06:00,41.61957210302353 A
2017-09-16T00:00:00-06:00,35.957276125748955 A
2017-09-17T00:00:00-06:00,31.99868247906367 A
2017-09-18T00:00:00-06:00,48.42344995339712 A
2017-09-19T00:00:00-06:00,44.73821006218592 A
2017-09-20T00:00:00-06:00,50.84193712472916 A
2017-09-21T00:00:00-06:00,44.20204826196035 A
2017-09-22T00:00:00-06:00,40.091409941514335 A
2017-09-23T00:00:00-06:00,26.966665148735046 A
2017-09-24T00:00:00-06:00,25.784605542818706 A
2017-09-25T00:00:00-06:00,48.75969978173574 A
2017-09-26T00:00:00-06:00,44.61248707771301 A
2017-09-27T00:00:00-06:00,53.09265345335007 A
2017-09-28T00:00:00-06:00,52.75915698210398 A
2017-09-29T00:00:00-06:00,42.321278512477875 A
2017-09-30T00:00:00-06:00,37.94821705420812 A
2017-10-01T00:00:00-06:00,32.79983355601629 A
2017-10-02T00:00:00-06:00,47.33135145902634 A
2017-10-03T00:00:00-06:00,44.02202965815862 A
2017-10-04T00:00:00-06:00,47.3552069067955 A
2017-10-05T00:00:00-06:00,45.148837765057884 A
2017-10-06T00:00:00-06:00,43.45546327034632 A
2017-10-07T00:00:00-06:00,30.985333422819775 A
2017-10-08T00:00:00-06:00,26.386705716451008 A
2017-10-09T00:00:00-06:00,32.03822499513626 A
2017-10-10T00:00:00-06:00,30.245962858200073 A
2017-10-11T00:00:00-06:00,31.85266900062561 A
2017-10-12T00:00:00-06:00,32.62155556678772 A
2017-10-13T00:00:00-06:00,33.43760373195013 A
2017-10-14T00:00:00-06:00,33.141744673252106 A
2017-10-15T00:00:00-06:00,30.47842474778493 A
2017-10-16T00:00:00-06:00,48.592800080776215 A
2017-10-17T00:00:00-06:00,44.46236638228098 A
2017-10-18T00:00:00-06:00,50.37478099266688 A
2017-10-19T00:00:00-06:00,55.07784330844879 A
2017-10-20T00:00:00-06:00,45.574474811553955 A
2017-10-21T00:00:00-06:00,33.29803617795309 A
2017-10-22T00:00:00-06:00,33.43024694919586 A
2017-10-23T00:00:00-06:00,45.187265853087105 A
2017-10-24T00:00:00-06:00,44.00809248288473 A
2017-10-25T00:00:00-06:00,48.36463117599487 A
2017-10-26T00:00:00-06:00,46.61709076166153 A
2017-10-27T00:00:00-06:00,48.55497376124064 A
2017-10-28T00:00:00-06:00,30.94858294035259 A
2017-10-29T00:00:00-06:00,31.501754979292553 A
2017-10-30T00:00:00-06:00,45.5746693611145 A
2017-10-31T00:00:00-06:00,35.488674918810524 A
2017-11-01T00:00:00-06:00,43.57727551460266 A
2017-11-02T00:00:00-06:00,42.94930827617645 A
2017-11-03T00:00:00-06:00,41.2965354124705 A
2017-11-04T00:00:00-06:00,30.442267934481304 A
2017-11-05T00:00:00-06:00,30.148603954315185 A
2017-11-06T00:00:00-07:00,49.41120590766271 A
2017-11-07T00:00:00-07:00,46.82989160219828 A
2017-11-08T00:00:00-07:00,49.745456059773765 A
2017-11-09T00:00:00-07:00,51.56908778349558 A
2017-11-10T00:00:00-07:00,40.889206965764366 A
2017-11-11T00:00:00-07:00,31.5987495581309 A
2017-11-12T00:00:00-07:00,28.73471999168396 A
2017-11-13T00:00:00-07:00,45.79330271482468 A
2017-11-14T00:00:00-07:00,44.59002570311228 A
2017-11-15T00:00:00-07:00,47.564720352490745 A
2017-11-16T00:00:00-07:00,51.32659292221069 A
2017-11-17T00:00:00-07:00,46.01287178198496 A
2017-11-18T00:00:00-07:00,33.74150002002716 A
2017-11-19T00:00:00-07:00,30.096685508886974 A
2017-11-20T00:00:00-07:00,48.15102958679199 A
2017-11-21T00:00:00-07:00,44.68289625644684 A
2017-11-22T00:00:00-07:00,42.66360855102539 A
2017-11-23T00:00:00-07:00,30.459751069545746 A
2017-11-24T00:00:00-07:00,28.095808307329815 A
2017-11-25T00:00:00-07:00,26.60487449169159 A
2017-11-26T00:00:00-07:00,28.71537168820699 A
2017-11-27T00:00:00-07:00,50.63763384024302 A
2017-11-28T00:00:00-07:00,43.34133958816528 A
2017-11-29T00:00:00-07:00,50.758622884750366 A
2017-11-30T00:00:00-07:00,49.757483184337616 A
2017-12-01T00:00:00-07:00,54.31858217716217 A
2017-12-02T00:00:00-07:00,46.071914196014404 A
2017-12-03T00:00:00-07:00,43.17441542943319 A
2017-12-04T00:00:00-07:00,60.807488123575844 A
2017-12-05T00:00:00-07:00,54.18179154396057 A
2017-12-06T00:00:00-07:00,47.730759501457214 A
2017-12-07T00:00:00-07:00,39.580302357673645 A
2017-12-08T00:00:00-07:00,35.94514216979345 A
2017-12-09T00:00:00-07:00,26.298926254113514 A
2017-12-10T00:00:00-07:00,27.46672131617864 A
2017-12-11T00:00:00-07:00,32.71983975172043 A
2017-12-12T00:00:00-07:00,33.19063025712967 A
2017-12-13T00:00:00-07:00,33.59421900908152 A
2017-12-14T00:00:00-07:00,32.047566413879395 A
2017-12-15T00:00:00-07:00,28.800264537334442 A
