Timestamp,"['1cf8d75f-a178c1dc 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) KW Total']"
2017-04-22T00:00:00-06:00,2.5319995880126953 kW
2017-04-23T00:00:00-06:00,2.5959997177124023 kW
2017-04-24T00:00:00-06:00,3.187999725341797 kW
2017-04-25T00:00:00-06:00,3.1519999504089355 kW
2017-04-26T00:00:00-06:00,3.119999885559082 kW
2017-04-27T00:00:00-06:00,2.9559998512268066 kW
2017-04-28T00:00:00-06:00,3.127999782562256 kW
2017-04-29T00:00:00-06:00,2.3919997215270996 kW
2017-04-30T00:00:00-06:00,2.3959999084472656 kW
2017-05-01T00:00:00-06:00,3.375999927520752 kW
2017-05-02T00:00:00-06:00,3.1359996795654297 kW
2017-05-03T00:00:00-06:00,3.1519999504089355 kW
2017-05-04T00:00:00-06:00,3.371999740600586 kW
2017-05-05T00:00:00-06:00,3 kW
2017-05-06T00:00:00-06:00,2.5239996910095215 kW
2017-05-07T00:00:00-06:00,2.5359997749328613 kW
2017-05-08T00:00:00-06:00,2.979999542236328 kW
2017-05-09T00:00:00-06:00,3.119999885559082 kW
2017-05-10T00:00:00-06:00,3.103999614715576 kW
2017-05-11T00:00:00-06:00,3.3919997215270996 kW
2017-05-12T00:00:00-06:00,3.12399959564209 kW
2017-05-13T00:00:00-06:00,2.48799991607666 kW
2017-05-14T00:00:00-06:00,2.5199999809265137 kW
2017-05-15T00:00:00-06:00,3.1599998474121094 kW
2017-05-16T00:00:00-06:00,3.0759997367858887 kW
2017-05-17T00:00:00-06:00,3.1599998474121094 kW
2017-05-18T00:00:00-06:00,3.551999568939209 kW
2017-05-19T00:00:00-06:00,2.859999656677246 kW
2017-05-20T00:00:00-06:00,2.3999996185302734 kW
2017-05-21T00:00:00-06:00,2.495999813079834 kW
2017-05-22T00:00:00-06:00,3.431999683380127 kW
2017-05-23T00:00:00-06:00,3.0159997940063477 kW
2017-05-24T00:00:00-06:00,3.007999897003174 kW
2017-05-25T00:00:00-06:00,2.919999599456787 kW
2017-05-26T00:00:00-06:00,2.9159998893737793 kW
2017-05-27T00:00:00-06:00,2.4039998054504395 kW
