Timestamp,"['1e71eae8-7aead4f4 0040-STUDENT SERVICES BLDG Power Meter (300089) W-hours, Received']"
2017-11-02T00:00:00-06:00,7326.375 kWh
2017-11-03T00:00:00-06:00,7215.59375 kWh
2017-11-04T00:00:00-06:00,6391.6796875 kWh
2017-11-05T00:00:00-06:00,6402.3671875 kWh
2017-11-06T00:00:00-07:00,7014.59375 kWh
2017-11-07T00:00:00-07:00,7038.9921875 kWh
2017-11-08T00:00:00-07:00,7073.109375 kWh
2017-11-09T00:00:00-07:00,7085.921875 kWh
2017-11-10T00:00:00-07:00,7006.859375 kWh
2017-11-11T00:00:00-07:00,6205.859375 kWh
2017-11-12T00:00:00-07:00,6193.921875 kWh
2017-11-13T00:00:00-07:00,7129.890625 kWh
2017-11-14T00:00:00-07:00,7087.90625 kWh
2017-11-15T00:00:00-07:00,7167.375 kWh
2017-11-16T00:00:00-07:00,7284.15625 kWh
2017-11-17T00:00:00-07:00,6982.015625 kWh
2017-11-18T00:00:00-07:00,4016.125 kWh
2017-11-19T00:00:00-07:00,2896.65625 kWh
2017-11-20T00:00:00-07:00,3769.625 kWh
2017-11-21T00:00:00-07:00,3779.578125 kWh
2017-11-22T00:00:00-07:00,3662.390625 kWh
2017-11-23T00:00:00-07:00,3091.484375 kWh
2017-11-24T00:00:00-07:00,3063.203125 kWh
2017-11-25T00:00:00-07:00,2925.375 kWh
2017-11-26T00:00:00-07:00,2961.171875 kWh
2017-11-27T00:00:00-07:00,3779.171875 kWh
2017-11-28T00:00:00-07:00,3790.15625 kWh
2017-11-29T00:00:00-07:00,5233.59375 kWh
2017-11-30T00:00:00-07:00,7035.046875 kWh
2017-12-01T00:00:00-07:00,6930.375 kWh
2017-12-02T00:00:00-07:00,6102.40625 kWh
2017-12-03T00:00:00-07:00,6100.59375 kWh
2017-12-04T00:00:00-07:00,7029.15625 kWh
2017-12-05T00:00:00-07:00,7067.40625 kWh
2017-12-06T00:00:00-07:00,7133.5 kWh
2017-12-07T00:00:00-07:00,7171.5625 kWh
2017-12-08T00:00:00-07:00,7083.96875 kWh
2017-12-09T00:00:00-07:00,6256.4375 kWh
2017-12-10T00:00:00-07:00,6235.78125 kWh
2017-12-11T00:00:00-07:00,7224.3125 kWh
2017-12-12T00:00:00-07:00,7233 kWh
2017-12-13T00:00:00-07:00,7229.96875 kWh
2017-12-14T00:00:00-07:00,7187.5 kWh
2017-12-15T00:00:00-07:00,6914.21875 kWh
2017-12-16T00:00:00-07:00,6236 kWh
2017-12-17T00:00:00-07:00,6227.71875 kWh
2017-12-18T00:00:00-07:00,7003.125 kWh
2017-12-19T00:00:00-07:00,7076.125 kWh
2017-12-20T00:00:00-07:00,6944.625 kWh
2017-12-21T00:00:00-07:00,7272.09375 kWh
2017-12-22T00:00:00-07:00,7002.78125 kWh
2017-12-23T00:00:00-07:00,6314.5 kWh
2017-12-24T00:00:00-07:00,6449.28125 kWh
2017-12-25T00:00:00-07:00,6258.3125 kWh
2017-12-26T00:00:00-07:00,6256.375 kWh
2017-12-27T00:00:00-07:00,6913.53125 kWh
2017-12-28T00:00:00-07:00,6826.59375 kWh
2017-12-29T00:00:00-07:00,6208.84375 kWh
2017-12-30T00:00:00-07:00,6081.125 kWh
2017-12-31T00:00:00-07:00,6048.34375 kWh
