Timestamp,['1cac6e9f-9b2d98fe 0011-BROWNING BLDG Power Meter 311945 VOLT B-N']
2017-12-02T00:00:00-07:00,122.9788360118866 V
2017-12-03T00:00:00-07:00,123.00453205108643 V
2017-12-04T00:00:00-07:00,123.07143739828888 V
2017-12-05T00:00:00-07:00,122.93845776451958 V
2017-12-06T00:00:00-07:00,122.80606955952115 V
2017-12-07T00:00:00-07:00,122.8275076283349 V
2017-12-08T00:00:00-07:00,122.84362551371257 V
2017-12-09T00:00:00-07:00,123.07188449965582 V
2017-12-10T00:00:00-07:00,123.08594551086426 V
2017-12-11T00:00:00-07:00,123.05785210927327 V
2017-12-12T00:00:00-07:00,122.89495461252001 V
2017-12-13T00:00:00-07:00,123.13582368956672 V
2017-12-14T00:00:00-07:00,123.00783353911505 V
2017-12-15T00:00:00-07:00,122.99836906327141 V
2017-12-16T00:00:00-07:00,123.03948428365919 V
2017-12-17T00:00:00-07:00,123.03743569056194 V
2017-12-18T00:00:00-07:00,123.07195930480957 V
2017-12-19T00:00:00-07:00,123.03667538960775 V
2017-12-20T00:00:00-07:00,123.02098688019646 V
2017-12-21T00:00:00-07:00,123.07179418139988 V
2017-12-22T00:00:00-07:00,123.17060577943973 V
2017-12-23T00:00:00-07:00,122.95974774920667 V
2017-12-24T00:00:00-07:00,123.22732737329271 V
2017-12-25T00:00:00-07:00,123.1180620405409 V
2017-12-26T00:00:00-07:00,123.13224569426643 V
2017-12-27T00:00:00-07:00,123.13644805484348 V
2017-12-28T00:00:00-07:00,123.14093098110622 V
2017-12-29T00:00:00-07:00,123.05748838848538 V
2017-12-30T00:00:00-07:00,122.99474182658726 V
2017-12-31T00:00:00-07:00,123.00580764346653 V
