Timestamp,['1cc96fb6-55bf471a 0051-STERLING SILL CNTR Power Meter KWH Received']
2017-11-07T00:00:00-07:00,445 kWh
2017-11-08T00:00:00-07:00,431 kWh
2017-11-09T00:00:00-07:00,418 kWh
2017-11-10T00:00:00-07:00,423 kWh
2017-11-11T00:00:00-07:00,230 kWh
2017-11-12T00:00:00-07:00,244 kWh
2017-11-13T00:00:00-07:00,419 kWh
2017-11-14T00:00:00-07:00,432 kWh
2017-11-15T00:00:00-07:00,446 kWh
2017-11-16T00:00:00-07:00,480 kWh
2017-11-17T00:00:00-07:00,425 kWh
2017-11-18T00:00:00-07:00,251 kWh
2017-11-19T00:00:00-07:00,258 kWh
2017-11-20T00:00:00-07:00,424 kWh
2017-11-21T00:00:00-07:00,424 kWh
2017-11-22T00:00:00-07:00,383 kWh
2017-11-23T00:00:00-07:00,333 kWh
2017-11-24T00:00:00-07:00,328 kWh
2017-11-25T00:00:00-07:00,243 kWh
2017-11-26T00:00:00-07:00,262 kWh
2017-11-27T00:00:00-07:00,438 kWh
2017-11-28T00:00:00-07:00,388 kWh
2017-11-29T00:00:00-07:00,386 kWh
2017-11-30T00:00:00-07:00,388 kWh
2017-12-01T00:00:00-07:00,374 kWh
2017-12-02T00:00:00-07:00,233 kWh
2017-12-03T00:00:00-07:00,249 kWh
2017-12-04T00:00:00-07:00,441 kWh
2017-12-05T00:00:00-07:00,424 kWh
2017-12-06T00:00:00-07:00,404 kWh
2017-12-07T00:00:00-07:00,392 kWh
2017-12-08T00:00:00-07:00,375 kWh
2017-12-09T00:00:00-07:00,222 kWh
2017-12-10T00:00:00-07:00,223 kWh
2017-12-11T00:00:00-07:00,402 kWh
2017-12-12T00:00:00-07:00,424 kWh
2017-12-13T00:00:00-07:00,408 kWh
2017-12-14T00:00:00-07:00,402 kWh
2017-12-15T00:00:00-07:00,386 kWh
2017-12-16T00:00:00-07:00,232 kWh
2017-12-17T00:00:00-07:00,217 kWh
2017-12-18T00:00:00-07:00,395 kWh
2017-12-19T00:00:00-07:00,380 kWh
2017-12-20T00:00:00-07:00,413 kWh
2017-12-21T00:00:00-07:00,371 kWh
2017-12-22T00:00:00-07:00,337 kWh
2017-12-23T00:00:00-07:00,234 kWh
2017-12-24T00:00:00-07:00,314 kWh
2017-12-25T00:00:00-07:00,330 kWh
2017-12-26T00:00:00-07:00,275 kWh
2017-12-27T00:00:00-07:00,325 kWh
2017-12-28T00:00:00-07:00,336 kWh
2017-12-29T00:00:00-07:00,284 kWh
2017-12-30T00:00:00-07:00,230 kWh
2017-12-31T00:00:00-07:00,197 kWh
