Timestamp,['203f26a6-f6d0eb8c 0097-DUMKE GYMNASTICS CNTR Power Meter Volts A-B']
2017-07-28T00:00:00-06:00,485.2582146326701 V
2017-07-29T00:00:00-06:00,486.63485368092853 V
2017-07-30T00:00:00-06:00,486.02775955200195 V
2017-07-31T00:00:00-06:00,485.1760654449463 V
2017-08-01T00:00:00-06:00,485.5450270970662 V
2017-08-02T00:00:00-06:00,485.1825539271037 V
2017-08-03T00:00:00-06:00,486.0099461873372 V
2017-08-04T00:00:00-06:00,485.6105282961667 V
2017-08-05T00:00:00-06:00,486.6723788579305 V
2017-08-06T00:00:00-06:00,486.54885800679523 V
2017-08-07T00:00:00-06:00,485.8322998682658 V
2017-08-08T00:00:00-06:00,485.99828910827637 V
2017-08-09T00:00:00-06:00,485.60583686828613 V
2017-08-10T00:00:00-06:00,486.0301159797831 V
2017-08-11T00:00:00-06:00,485.61442279815674 V
2017-08-12T00:00:00-06:00,486.8408374786377 V
2017-08-13T00:00:00-06:00,486.6595352975946 V
2017-08-14T00:00:00-06:00,485.8513469696045 V
2017-08-15T00:00:00-06:00,486.37305450439453 V
2017-08-16T00:00:00-06:00,485.7226616541545 V
2017-08-17T00:00:00-06:00,486.3647750218709 V
2017-08-18T00:00:00-06:00,485.4278739293416 V
2017-08-19T00:00:00-06:00,486.76211166381836 V
2017-08-20T00:00:00-06:00,486.7904510498047 V
2017-08-21T00:00:00-06:00,485.89803409576416 V
2017-08-22T00:00:00-06:00,486.0244080225627 V
2017-08-23T00:00:00-06:00,485.6577679316203 V
2017-08-24T00:00:00-06:00,485.85022293893917 V
2017-08-25T00:00:00-06:00,485.85272121429443 V
2017-08-26T00:00:00-06:00,486.5174840291341 V
2017-08-27T00:00:00-06:00,486.40764808654785 V
2017-08-28T00:00:00-06:00,485.8935153099798 V
2017-08-29T00:00:00-06:00,485.84656253937754 V
2017-08-30T00:00:00-06:00,485.60061232248944 V
2017-08-31T00:00:00-06:00,485.74761994679767 V
2017-09-01T00:00:00-06:00,485.46792856852215 V
2017-09-02T00:00:00-06:00,486.4198586146037 V
2017-09-03T00:00:00-06:00,486.79319858551025 V
2017-09-04T00:00:00-06:00,485.54101689656574 V
2017-09-05T00:00:00-06:00,485.6701370875041 V
2017-09-06T00:00:00-06:00,485.59759934743244 V
2017-09-07T00:00:00-06:00,485.8917350769043 V
2017-09-08T00:00:00-06:00,486.19465010793584 V
2017-09-09T00:00:00-06:00,486.48730786641437 V
2017-09-10T00:00:00-06:00,486.45465024312335 V
2017-09-11T00:00:00-06:00,485.63740889231366 V
2017-09-12T00:00:00-06:00,485.7199624379476 V
2017-09-13T00:00:00-06:00,485.4927848180135 V
2017-09-14T00:00:00-06:00,486.5027027130127 V
2017-09-15T00:00:00-06:00,486.6679964065552 V
2017-09-16T00:00:00-06:00,487.43131987253827 V
2017-09-17T00:00:00-06:00,486.9083363215129 V
2017-09-18T00:00:00-06:00,485.84933280944824 V
2017-09-19T00:00:00-06:00,486.5684566497803 V
2017-09-20T00:00:00-06:00,486.03253587086994 V
2017-09-21T00:00:00-06:00,486.6188790003459 V
2017-09-22T00:00:00-06:00,486.6733112335205 V
2017-09-23T00:00:00-06:00,486.6791493097941 V
2017-09-24T00:00:00-06:00,486.3563976287842 V
2017-09-25T00:00:00-06:00,486.4397614796956 V
2017-09-26T00:00:00-06:00,487.15970547993976 V
2017-09-27T00:00:00-06:00,486.5532166163127 V
2017-09-28T00:00:00-06:00,486.4450953801473 V
2017-09-29T00:00:00-06:00,486.4515657424927 V
2017-09-30T00:00:00-06:00,486.0851793791118 V
2017-10-01T00:00:00-06:00,486.31104977925617 V
2017-10-02T00:00:00-06:00,486.181960105896 V
2017-10-03T00:00:00-06:00,486.4259201685588 V
2017-10-04T00:00:00-06:00,486.48257795969647 V
2017-10-05T00:00:00-06:00,486.6493225097656 V
2017-10-06T00:00:00-06:00,486.84832032521564 V
2017-10-07T00:00:00-06:00,486.67816829681396 V
2017-10-08T00:00:00-06:00,486.8656361897786 V
2017-10-09T00:00:00-06:00,487.2292324701945 V
2017-10-10T00:00:00-06:00,486.2634808222453 V
2017-10-11T00:00:00-06:00,486.7253541946411 V
2017-10-12T00:00:00-06:00,486.61699930826825 V
2017-10-13T00:00:00-06:00,486.8342447280884 V
2017-10-14T00:00:00-06:00,487.50932089487713 V
2017-10-15T00:00:00-06:00,487.494917233785 V
2017-10-16T00:00:00-06:00,486.5601011912028 V
2017-10-17T00:00:00-06:00,486.2872953414917 V
2017-10-18T00:00:00-06:00,486.4894272486369 V
2017-10-19T00:00:00-06:00,487.11172739664715 V
2017-10-20T00:00:00-06:00,486.7280559539795 V
2017-10-21T00:00:00-06:00,486.6434322992961 V
2017-10-22T00:00:00-06:00,487.1178169250488 V
2017-10-23T00:00:00-06:00,487.01621945699054 V
2017-10-24T00:00:00-06:00,487.0239019393921 V
2017-10-25T00:00:00-06:00,486.5246826807658 V
2017-10-26T00:00:00-06:00,486.85501225789386 V
2017-10-27T00:00:00-06:00,487.3398494720459 V
2017-10-28T00:00:00-06:00,487.7648452123006 V
2017-10-29T00:00:00-06:00,486.9786965052287 V
2017-10-30T00:00:00-06:00,486.56542746225995 V
2017-10-31T00:00:00-06:00,486.9624300003052 V
2017-11-01T00:00:00-06:00,485.9417708714803 V
2017-11-02T00:00:00-06:00,486.3744061787923 V
2017-11-03T00:00:00-06:00,486.88257185618085 V
2017-11-04T00:00:00-06:00,487.3822825749715 V
2017-11-05T00:00:00-06:00,487.39303131103514 V
2017-11-06T00:00:00-07:00,487.11833572387695 V
2017-11-07T00:00:00-07:00,486.76489130655926 V
2017-11-08T00:00:00-07:00,487.1012541453044 V
2017-11-09T00:00:00-07:00,486.2937987645467 V
2017-11-10T00:00:00-07:00,487.185710589091 V
2017-11-11T00:00:00-07:00,487.2763779958089 V
2017-11-12T00:00:00-07:00,487.26834042867023 V
2017-11-13T00:00:00-07:00,486.57279745737713 V
2017-11-14T00:00:00-07:00,487.5495071411133 V
2017-11-15T00:00:00-07:00,486.6602023442586 V
2017-11-16T00:00:00-07:00,486.1358763376872 V
2017-11-17T00:00:00-07:00,486.20306428273517 V
2017-11-18T00:00:00-07:00,487.21630160013837 V
2017-11-19T00:00:00-07:00,487.4505189259847 V
2017-11-20T00:00:00-07:00,486.7727635701497 V
2017-11-21T00:00:00-07:00,486.82233651479083 V
2017-11-22T00:00:00-07:00,486.8050702412923 V
2017-11-23T00:00:00-07:00,487.2886765797933 V
2017-11-24T00:00:00-07:00,486.6290702819824 V
2017-11-25T00:00:00-07:00,487.0055793126424 V
2017-11-26T00:00:00-07:00,487.45296414693195 V
2017-11-27T00:00:00-07:00,486.9111735026042 V
2017-11-28T00:00:00-07:00,487.31476243336994 V
2017-11-29T00:00:00-07:00,486.75929228464764 V
2017-11-30T00:00:00-07:00,487.2302662531535 V
2017-12-01T00:00:00-07:00,486.3467674255371 V
2017-12-02T00:00:00-07:00,486.56786664326984 V
2017-12-03T00:00:00-07:00,487.10508410135907 V
2017-12-04T00:00:00-07:00,486.43882751464844 V
2017-12-05T00:00:00-07:00,486.7723340988159 V
2017-12-06T00:00:00-07:00,486.97352568308514 V
2017-12-07T00:00:00-07:00,486.7864106496175 V
2017-12-08T00:00:00-07:00,486.43794027964276 V
2017-12-09T00:00:00-07:00,486.88531462351483 V
2017-12-10T00:00:00-07:00,487.17932891845703 V
2017-12-11T00:00:00-07:00,486.95551840464276 V
2017-12-12T00:00:00-07:00,486.2788092295329 V
2017-12-13T00:00:00-07:00,487.13220532735187 V
2017-12-14T00:00:00-07:00,487.0147825876872 V
2017-12-15T00:00:00-07:00,487.25116380055744 V
2017-12-16T00:00:00-07:00,486.8711182276408 V
2017-12-17T00:00:00-07:00,486.47173531850177 V
2017-12-18T00:00:00-07:00,485.99998851488994 V
2017-12-19T00:00:00-07:00,486.7326939900716 V
2017-12-20T00:00:00-07:00,486.5690746307373 V
2017-12-21T00:00:00-07:00,486.62013085683185 V
2017-12-22T00:00:00-07:00,486.8769172032674 V
2017-12-23T00:00:00-07:00,486.3572664260864 V
2017-12-24T00:00:00-07:00,487.1314649581909 V
2017-12-25T00:00:00-07:00,487.3405303955078 V
2017-12-26T00:00:00-07:00,487.5458059310913 V
2017-12-27T00:00:00-07:00,485.7751347223918 V
2017-12-28T00:00:00-07:00,487.51136620839435 V
2017-12-29T00:00:00-07:00,486.52101612091064 V
2017-12-30T00:00:00-07:00,487.2111749649048 V
2017-12-31T00:00:00-07:00,486.6194426218669 V
