Timestamp,['1cbae8d4-7c819ced 0038-ART BLDG Power Meter 300086 Current B']
2017-06-08T00:00:00-06:00,71.95200530952877 A
2017-06-09T00:00:00-06:00,68.56695972174883 A
2017-06-10T00:00:00-06:00,48.3872480975257 A
2017-06-11T00:00:00-06:00,35.16831524769465 A
2017-06-12T00:00:00-06:00,58.598421479596034 A
2017-06-13T00:00:00-06:00,56.10178036984675 A
2017-06-14T00:00:00-06:00,49.96826959848404 A
2017-06-15T00:00:00-06:00,52.36920381122165 A
2017-06-16T00:00:00-06:00,50.70254253546397 A
2017-06-17T00:00:00-06:00,55.65529550843769 A
2017-06-18T00:00:00-06:00,62.247904304663344 A
2017-06-19T00:00:00-06:00,54.63059092230267 A
2017-06-20T00:00:00-06:00,65.03862563239204 A
2017-06-21T00:00:00-06:00,60.06617567274306 A
2017-06-22T00:00:00-06:00,57.77887909942203 A
2017-06-23T00:00:00-06:00,98.32879237333934 A
2017-06-24T00:00:00-06:00,40.15306697818968 A
2017-06-25T00:00:00-06:00,42.80065691819277 A
2017-06-26T00:00:00-06:00,53.583864743084476 A
2017-06-27T00:00:00-06:00,63.95133886734644 A
2017-06-28T00:00:00-06:00,92.66441122690837 A
2017-06-29T00:00:00-06:00,92.64741937319438 A
2017-06-30T00:00:00-06:00,54.354763408501945 A
2017-07-01T00:00:00-06:00,32.71224321921667 A
2017-07-02T00:00:00-06:00,37.57029849290848 A
2017-07-03T00:00:00-06:00,53.67667337258657 A
2017-07-04T00:00:00-06:00,51.69180719057719 A
2017-07-05T00:00:00-06:00,70.70593655109406 A
2017-07-06T00:00:00-06:00,66.43535355726878 A
2017-07-07T00:00:00-06:00,81.81146725018819 A
2017-07-08T00:00:00-06:00,53.621031641960144 A
2017-07-09T00:00:00-06:00,65.98595654964447 A
2017-07-10T00:00:00-06:00,77.85325161616008 A
2017-07-11T00:00:00-06:00,86.69923448562622 A
2017-07-12T00:00:00-06:00,65.37146476904552 A
2017-07-13T00:00:00-06:00,79.26049009958903 A
2017-07-14T00:00:00-06:00,80.11394091447194 A
2017-07-15T00:00:00-06:00,46.622568686803184 A
2017-07-16T00:00:00-06:00,48.49343971411387 A
2017-07-17T00:00:00-06:00,66.37462429205577 A
2017-07-18T00:00:00-06:00,66.90906878312428 A
2017-07-19T00:00:00-06:00,65.85714499155681 A
2017-07-20T00:00:00-06:00,60.29328473409017 A
2017-07-21T00:00:00-06:00,57.72602021694183 A
2017-07-22T00:00:00-06:00,46.59140956401825 A
2017-07-23T00:00:00-06:00,52.45813266436259 A
2017-07-24T00:00:00-06:00,56.23446234067281 A
2017-07-25T00:00:00-06:00,51.107749263445534 A
2017-07-26T00:00:00-06:00,76.11668300628662 A
2017-07-27T00:00:00-06:00,66.83012568950653 A
2017-07-28T00:00:00-06:00,71.73222283522288 A
2017-07-29T00:00:00-06:00,69.41594417889912 A
2017-07-30T00:00:00-06:00,66.33181166648865 A
2017-07-31T00:00:00-06:00,64.10832738876343 A
2017-08-01T00:00:00-06:00,66.16346033414204 A
2017-08-02T00:00:00-06:00,57.87827976544698 A
2017-08-03T00:00:00-06:00,59.671398520469666 A
2017-08-04T00:00:00-06:00,72.01726921836098 A
2017-08-05T00:00:00-06:00,52.2291286389033 A
2017-08-06T00:00:00-06:00,57.86938146750132 A
2017-08-07T00:00:00-06:00,54.363379875818886 A
2017-08-08T00:00:00-06:00,56.49381605784098 A
2017-08-09T00:00:00-06:00,56.357410391171776 A
2017-08-10T00:00:00-06:00,59.63978633474797 A
2017-08-11T00:00:00-06:00,68.1175422668457 A
2017-08-12T00:00:00-06:00,54.88273493448893 A
2017-08-13T00:00:00-06:00,46.17142097155253 A
2017-08-14T00:00:00-06:00,72.25513931115468 A
2017-08-15T00:00:00-06:00,69.46184368928273 A
2017-08-16T00:00:00-06:00,91.89047006766002 A
2017-08-17T00:00:00-06:00,74.29907588164012 A
2017-08-18T00:00:00-06:00,60.02048122882843 A
2017-08-19T00:00:00-06:00,55.49164521694183 A
2017-08-20T00:00:00-06:00,56.49589002132416 A
