,game,shot,home/away,made/missed,period,shooter,shooter_name,distance,shot_type,assist,left,top,ThreePt
5831,71,43,1,0,2,2583632,Royce O,23-foot,three point jumper,,91.33333333333333,4.0,1
5832,71,44,1,0,2,3908809,Donovan Mitchell,25-foot,three point jumper,,81.33333333333334,94.0,1
5833,71,45,1,0,2,4011,Ricky Rubio,,pullup jump shot,,82.44444444444444,50.0,0
5834,71,46,1,0,2,3032976,Rudy Gobert,,layup,,84.66666666666667,50.0,0
5835,71,47,1,1,2,4011,Ricky Rubio,12-foot,two point shot,,84.66666666666667,66.0,0
5836,71,48,1,0,2,3908809,Donovan Mitchell,,driving layup,,92.44444444444444,52.0,0
5837,71,49,1,0,2,3908809,Donovan Mitchell,,driving layup,,92.44444444444444,46.0,0
5838,71,50,1,1,2,4011,Ricky Rubio,,three point jumper ,Jae Crowder,93.55555555555556,4.0,1
5839,71,51,1,0,2,6581,Jae Crowder,,driving layup,,92.44444444444444,43.99999999999999,0
5840,71,54,1,1,2,3908809,Donovan Mitchell,,two point shot,,90.22222222222223,48.0,0
5841,71,55,1,0,2,3908809,Donovan Mitchell,25-foot,three point jumper,,71.33333333333333,18.0,1
5842,71,56,1,1,3,4011,Ricky Rubio,13-foot,jumper,,79.11111111111111,52.0,0
5843,71,57,1,1,3,4011,Ricky Rubio,20-foot,pullup jump shot,Donovan Mitchell,86.88888888888889,12.0,0
5844,71,58,1,1,3,3908809,Donovan Mitchell,20-foot,pullup jump shot,,73.55555555555556,68.0,0
5845,71,59,1,0,3,2968436,Joe Ingles,24-foot,three point jumper,,76.88888888888889,10.0,1
5846,71,62,1,1,3,2968436,Joe Ingles,,layup,,90.22222222222223,43.99999999999999,0
5847,71,63,1,0,3,3908809,Donovan Mitchell,26-foot,three point jumper,,65.77777777777777,68.0,1
5848,71,64,1,1,3,2968436,Joe Ingles,26-foot,three point jumper,,65.77777777777777,64.0,1
5849,71,65,1,1,3,3908809,Donovan Mitchell,,driving layup ,Joe Ingles,92.44444444444444,54.0,0
5850,71,67,1,0,3,3908809,Donovan Mitchell,14-foot,two point shot,,79.11111111111111,60.0,0
5851,71,70,1,1,3,6581,Jae Crowder,,driving layup ,Joe Ingles,92.44444444444444,48.0,0
5852,71,71,1,0,3,6581,Jae Crowder,12-foot,jumper,,85.77777777777777,70.0,0
5853,71,72,1,0,3,3908809,Donovan Mitchell,26-foot,three point jumper,,68.0,28.0,1
5854,71,73,1,0,3,3908809,Donovan Mitchell,27-foot,three point jumper,,65.77777777777777,68.0,1
5855,71,76,1,0,3,3908809,Donovan Mitchell,,driving layup,,91.33333333333333,54.0,0
5856,71,77,1,1,3,3102528,Dante Exum,5-foot,two point shot,,89.11111111111111,56.0,0
5857,71,78,1,0,3,2583632,Royce O,3-foot,driving layup,,90.22222222222223,48.0,0
5858,71,79,1,1,3,3908809,Donovan Mitchell,13-foot,step back jumpshot,,79.11111111111111,52.0,0
5859,71,82,1,0,4,2583632,Royce O,4-foot,driving layup,,91.33333333333333,58.0,0
5860,71,83,1,0,4,4011,Ricky Rubio,23-foot,three point jumper,,91.33333333333333,97.5,1
5861,71,84,1,0,4,2968436,Joe Ingles,24-foot,three point jumper,,84.66666666666667,4.0,1
5862,71,87,1,1,4,3102528,Dante Exum,3-foot,two point shot,Joe Ingles,90.22222222222223,46.0,0
5863,71,88,1,0,4,3908809,Donovan Mitchell,26-foot,three point pullup jump shot,,64.66666666666667,46.0,1
5864,71,89,1,1,4,2968436,Joe Ingles,5-foot,two point shot,,90.22222222222223,56.0,0
5865,71,90,1,1,4,3032976,Rudy Gobert,,dunk ,Joe Ingles,91.33333333333333,50.0,0
5866,71,91,1,0,4,3908809,Donovan Mitchell,,driving layup,,91.33333333333333,54.0,0
5867,71,92,1,1,4,3032976,Rudy Gobert,,tip shot,,93.55555555555556,50.0,0
5868,71,93,1,1,4,3908809,Donovan Mitchell,,jump bank shot,,81.33333333333334,50.0,0
5869,71,94,1,0,4,3032976,Rudy Gobert,19-foot,jumper,,72.44444444444444,58.0,0
5870,71,95,1,1,4,3908809,Donovan Mitchell,10-foot,pullup jump shot,,85.77777777777777,64.0,0
5871,71,96,1,0,4,3908809,Donovan Mitchell,23-foot,three point jumper,,91.33333333333333,4.0,1
5872,71,97,1,0,4,4011,Ricky Rubio,26-foot,three point jumper,,68.0,76.0,1
5873,71,98,1,0,4,6581,Jae Crowder,23-foot,three point jumper,,90.22222222222223,97.5,1
5874,71,101,1,1,4,3032976,Rudy Gobert,4-foot,dunk,Ricky Rubio,90.22222222222223,52.0,0
5875,71,102,1,1,4,3032976,Rudy Gobert,3-foot,two point shot,Joe Ingles,91.33333333333333,54.0,0
5876,71,107,1,0,4,3908809,Donovan Mitchell,14-foot,two point shot,,78.0,48.0,0
5877,71,108,1,0,4,3908809,Donovan Mitchell,10-foot,two point shot,,82.44444444444444,43.99999999999999,0
5878,71,109,1,0,4,2968436,Joe Ingles,26-foot,three point jumper,,71.33333333333333,84.0,1
5879,71,112,1,0,4,2968436,Joe Ingles,23-foot,three point jumper,,91.33333333333333,4.0,1
5880,71,113,1,0,4,3908809,Donovan Mitchell,26-foot,three point jumper,,66.88888888888889,30.0,1
5881,72,0,0,0,1,4011,Ricky Rubio,26-foot,three point jumper,,72.22222222222223,18.0,1
5882,72,1,0,1,1,4011,Ricky Rubio,12-foot,two point shot,Joe Ingles,82.22222222222223,58.0,0
5883,72,2,0,0,1,4257,Derrick Favors,10-foot,jumper,,94.44444444444444,30.0,0
5884,72,3,0,1,1,3032976,Rudy Gobert,1-foot,dunk,Donovan Mitchell,94.44444444444444,52.0,0
5885,72,4,0,1,1,3908809,Donovan Mitchell,,driving layup ,Joe Ingles,94.44444444444444,46.0,0
5886,72,5,0,1,1,4011,Ricky Rubio,,two point shot ,Joe Ingles,93.33333333333333,50.0,0
5887,72,6,0,0,1,3908809,Donovan Mitchell,23-foot,three point jumper,,91.11111111111111,2.5,1
5888,72,7,0,1,1,3908809,Donovan Mitchell,,two point shot ,Joe Ingles,94.44444444444444,50.0,0
5889,72,10,0,1,1,4011,Ricky Rubio,23-foot,three point jumper,Derrick Favors,97.77777777777777,2.5,1
5890,72,11,0,1,1,3908809,Donovan Mitchell,5-foot,two point shot,,91.11111111111111,56.0,0
5891,72,12,0,1,1,4257,Derrick Favors,,three point jumper ,Joe Ingles,95.55555555555556,2.5,1
5892,72,13,0,1,1,3908809,Donovan Mitchell,26-foot,three point jumper,,68.88888888888889,70.0,1
5893,72,14,0,1,1,3032976,Rudy Gobert,4-foot,two point shot,Joe Ingles,92.22222222222223,48.0,0
5894,72,15,0,1,1,4011,Ricky Rubio,18-foot,jumper,Joe Ingles,93.33333333333333,86.0,0
5895,72,16,0,0,1,6581,Jae Crowder,26-foot,three point jumper,,76.66666666666667,90.0,1
5896,72,17,0,0,1,6581,Jae Crowder,16-foot,jumper,,78.88888888888889,43.99999999999999,0
5897,72,18,0,0,1,3998,Jonas Jerebko,18-foot,two point shot,,82.22222222222223,74.0,0
5898,72,19,0,1,1,2583632,Royce O,,three point jumper ,Derrick Favors,95.55555555555556,96.0,1
5899,72,20,0,1,1,3998,Jonas Jerebko,19-foot,jumper,,94.44444444444444,12.0,0
5900,72,21,0,1,1,3908809,Donovan Mitchell,,driving layup,,95.55555555555556,50.0,0
5901,72,22,0,0,1,3102528,Dante Exum,,driving layup,,94.44444444444444,46.0,0
5902,72,23,0,1,1,3908809,Donovan Mitchell,5-foot,two point shot,,92.22222222222223,42.00000000000001,0
5903,72,25,0,1,2,2968436,Joe Ingles,25-foot,three point jumper,Derrick Favors,68.88888888888889,64.0,1
5904,72,26,0,1,2,3998,Jonas Jerebko,26-foot,three point jumper,Jae Crowder,68.88888888888889,70.0,1
5905,72,27,0,0,2,3102528,Dante Exum,,layup,,90.0,56.0,0
5906,72,28,0,0,2,6581,Jae Crowder,28-foot,three point jumper,,70.0,82.0,1
5907,72,29,0,1,2,2968436,Joe Ingles,26-foot,three point jumper,Dante Exum,75.55555555555556,88.0,1
5908,72,30,0,1,2,4257,Derrick Favors,3-foot,hook shot,Dante Exum,93.33333333333333,54.0,0
5909,72,31,0,0,2,4257,Derrick Favors,,two point shot,,94.44444444444444,46.0,0
5910,72,32,0,0,2,4257,Derrick Favors,,tip shot,,95.55555555555556,50.0,0
5911,72,33,0,0,2,3998,Jonas Jerebko,,layup,,94.44444444444444,46.0,0
5912,72,34,0,1,2,4257,Derrick Favors,,dunk,,93.33333333333333,50.0,0
5913,72,35,0,1,2,2968436,Joe Ingles,,driving layup,,94.44444444444444,48.0,0
5914,72,36,0,0,2,3908809,Donovan Mitchell,7-foot,layup,,90.0,42.00000000000001,0
5915,72,37,0,0,2,4011,Ricky Rubio,25-foot,three point jumper,,75.55555555555556,84.0,1
5916,72,38,0,0,2,2583632,Royce O,25-foot,three point jumper,,68.88888888888889,34.0,1
5917,72,39,0,0,2,4257,Derrick Favors,23-foot,three point jumper,,93.33333333333333,96.0,1
5918,72,42,0,0,2,3908809,Donovan Mitchell,24-foot,three point jumper,,90.0,96.0,1
5919,72,43,0,1,2,4011,Ricky Rubio,26-foot,three point jumper,Donovan Mitchell,70.0,28.0,1
5920,72,44,0,0,2,4011,Ricky Rubio,15-foot,pullup jump shot,,81.11111111111111,62.0,0
5921,72,45,0,1,2,6581,Jae Crowder,,layup ,Joe Ingles,95.55555555555556,50.0,0
5922,72,46,0,1,2,2968436,Joe Ingles,9-foot,driving floating jump shot,Jae Crowder,85.55555555555556,54.0,0
5923,72,49,0,0,2,3908809,Donovan Mitchell,,two point shot,,94.44444444444444,52.0,0
5924,72,50,0,1,2,6581,Jae Crowder,18-foot,jumper,Rudy Gobert,81.11111111111111,76.0,0
5925,72,51,0,1,3,4257,Derrick Favors,1-foot,dunk,Ricky Rubio,94.44444444444444,48.0,0
5926,72,52,0,1,3,3032976,Rudy Gobert,4-foot,jump bank shot,Derrick Favors,91.11111111111111,48.0,0
5927,72,54,0,1,3,4011,Ricky Rubio,26-foot,three point jumper,Donovan Mitchell,72.22222222222223,80.0,1
5928,72,55,0,0,3,2968436,Joe Ingles,22-foot,step back jumpshot,,74.44444444444444,28.0,0
5929,72,56,0,1,3,4011,Ricky Rubio,25-foot,three point jumper,,70.0,72.0,1
5930,72,57,0,0,3,2968436,Joe Ingles,25-foot,three point jumper,,74.44444444444444,20.0,1
5931,72,58,0,0,3,4011,Ricky Rubio,25-foot,three point jumper,,68.88888888888889,64.0,1
5932,72,59,0,0,3,4257,Derrick Favors,19-foot,jumper,,76.66666666666667,68.0,0
5933,72,60,0,1,3,3908809,Donovan Mitchell,3-foot,two point shot,,93.33333333333333,43.99999999999999,0
5934,72,61,0,0,3,3908809,Donovan Mitchell,26-foot,step back jumpshot,,67.77777777777777,36.0,0
5935,72,62,0,0,3,3032976,Rudy Gobert,5-foot,layup,,92.22222222222223,42.00000000000001,0
5936,72,63,0,1,3,3908809,Donovan Mitchell,,driving layup ,Ricky Rubio,94.44444444444444,48.0,0
5937,72,64,0,1,3,2968436,Joe Ingles,25-foot,three point jumper,Ricky Rubio,74.44444444444444,82.0,1
5938,72,65,0,1,3,2968436,Joe Ingles,,driving layup,,94.44444444444444,48.0,0
5939,72,67,0,0,3,2968436,Joe Ingles,26-foot,three point jumper,,67.77777777777777,34.0,1
5940,72,70,0,0,3,2583632,Royce O,3-foot,driving layup,,93.33333333333333,46.0,0
5941,72,71,0,0,3,3908809,Donovan Mitchell,25-foot,three point jumper,,70.0,28.0,1
5942,72,74,0,0,3,6581,Jae Crowder,18-foot,pullup jump shot,,77.77777777777777,34.0,0
5943,72,75,0,0,3,3102528,Dante Exum,23-foot,three point jumper,,92.22222222222223,2.5,1
5944,72,76,0,1,3,2583632,Royce O,,driving layup,,93.33333333333333,50.0,0
5945,72,77,0,0,3,3102528,Dante Exum,,layup,,94.44444444444444,52.0,0
5946,72,78,0,1,3,4257,Derrick Favors,,tip shot,,95.55555555555556,50.0,0
5947,72,79,0,1,3,4257,Derrick Favors,,dunk ,Dante Exum,95.55555555555556,50.0,0
5948,72,80,0,1,4,4257,Derrick Favors,10-foot,two point shot,Jonas Jerebko,85.55555555555556,60.0,0
5949,72,81,0,0,4,4257,Derrick Favors,5-foot,layup,,91.11111111111111,43.99999999999999,0
5950,72,82,0,1,4,6581,Jae Crowder,16-foot,two point shot,Jonas Jerebko,92.22222222222223,82.0,0
5951,72,83,0,1,4,2968436,Joe Ingles,11-foot,driving floating jump shot,,87.77777777777777,66.0,0
5952,72,84,0,1,4,3102528,Dante Exum,2-foot,two point shot,Joe Ingles,93.33333333333333,48.0,0
5953,72,85,0,1,4,4011,Ricky Rubio,,two point shot ,Joe Ingles,95.55555555555556,48.0,0
5954,72,86,0,0,4,6581,Jae Crowder,6-foot,driving layup,,91.11111111111111,42.00000000000001,0
5955,72,87,0,0,4,4011,Ricky Rubio,19-foot,pullup jump shot,,77.77777777777777,30.0,0
5956,72,88,0,1,4,6581,Jae Crowder,25-foot,three point jumper,Derrick Favors,76.66666666666667,86.0,1
5957,72,89,0,0,4,4011,Ricky Rubio,24-foot,three point jumper,,68.88888888888889,62.0,1
5958,72,90,0,1,4,3908809,Donovan Mitchell,18-foot,pullup jump shot,Rudy Gobert,77.77777777777777,66.0,0
5959,72,91,0,1,4,4257,Derrick Favors,1-foot,layup,Donovan Mitchell,94.44444444444444,48.0,0
5960,72,92,0,0,4,3908809,Donovan Mitchell,,driving floating jump shot,,90.0,62.0,0
5961,72,93,0,0,4,6581,Jae Crowder,25-foot,three point jumper,,67.77777777777777,48.0,1
5962,72,94,0,0,4,3908809,Donovan Mitchell,6-foot,driving layup,,92.22222222222223,40.0,0
5963,72,95,0,0,4,3908809,Donovan Mitchell,24-foot,three point jumper,,85.55555555555556,2.5,1
5964,72,98,0,0,4,3908809,Donovan Mitchell,3-foot,two point shot,,93.33333333333333,56.0,0
5965,72,99,0,0,4,3908809,Donovan Mitchell,2-foot,driving layup,,94.44444444444444,46.0,0
5966,72,100,0,1,4,3908809,Donovan Mitchell,,driving layup,,94.44444444444444,50.0,0
5967,72,102,0,1,4,3908809,Donovan Mitchell,,driving layup,,95.55555555555556,50.0,0
5968,73,0,0,0,1,3032976,Rudy Gobert,,two point shot,,91.11111111111111,52.0,0
5969,73,1,0,0,1,4011,Ricky Rubio,14-foot,pullup jump shot,,85.55555555555556,30.0,0
5970,73,2,0,0,1,3908809,Donovan Mitchell,25-foot,three point jumper,,84.44444444444444,2.5,1
5971,73,3,0,0,1,3908809,Donovan Mitchell,,alley oop dunk shot,,95.55555555555556,52.0,0
5972,73,4,0,0,1,4257,Derrick Favors,,three point jumper,,95.55555555555556,96.0,1
5973,73,5,0,0,1,3908809,Donovan Mitchell,19-foot,pullup jump shot,,78.88888888888889,28.0,0
5974,73,6,0,1,1,3908809,Donovan Mitchell,9-foot,driving floating jump shot,,85.55555555555556,52.0,0
5975,73,7,0,1,1,4011,Ricky Rubio,,two point shot,,95.55555555555556,50.0,0
5976,73,8,0,1,1,3908809,Donovan Mitchell,,two point shot ,Ricky Rubio,94.44444444444444,48.0,0
5977,73,9,0,0,1,4011,Ricky Rubio,,two point shot,,92.22222222222223,50.0,0
5978,73,10,0,1,1,2968436,Joe Ingles,11-foot,driving floating jump shot,Ricky Rubio,85.55555555555556,62.0,0
5979,73,11,0,0,1,2968436,Joe Ingles,25-foot,three point jumper,,76.66666666666667,14.0,1
5980,73,12,0,0,1,6581,Jae Crowder,26-foot,three point pullup jump shot,,77.77777777777777,92.0,1
5981,73,13,0,0,1,2968436,Joe Ingles,,driving floating jump shot,,82.22222222222223,52.0,0
5982,73,14,0,1,1,3908809,Donovan Mitchell,10-foot,driving floating jump shot,,84.44444444444444,54.0,0
5983,73,15,0,1,1,3032976,Rudy Gobert,,alley oop dunk shot ,Jae Crowder,94.44444444444444,50.0,0
5984,73,16,0,1,1,3032976,Rudy Gobert,1-foot,dunk,Ricky Rubio,94.44444444444444,52.0,0
5985,73,18,0,0,1,3908809,Donovan Mitchell,17-foot,step back jumpshot,,77.77777777777777,58.0,0
5986,73,19,0,1,1,3998,Jonas Jerebko,24-foot,three point jumper,Donovan Mitchell,91.11111111111111,96.0,1
5987,73,20,0,0,1,3908809,Donovan Mitchell,,driving layup,,92.22222222222223,42.00000000000001,0
5988,73,21,0,1,1,6581,Jae Crowder,,driving layup ,Dante Exum,95.55555555555556,54.0,0
5989,73,22,0,0,1,3998,Jonas Jerebko,22-foot,three point jumper,,92.22222222222223,6.0,1
5990,73,23,0,0,1,2583632,Royce O,,two point shot,,92.22222222222223,50.0,0
5991,73,24,0,1,1,4257,Derrick Favors,,two point shot,,95.55555555555556,50.0,0
5992,73,25,0,1,2,3102528,Dante Exum,,two point shot,,93.33333333333333,50.0,0
5993,73,26,0,1,2,4257,Derrick Favors,,alley oop layup ,Dante Exum,94.44444444444444,52.0,0
5994,73,27,0,1,2,4257,Derrick Favors,16-foot,jumper,Dante Exum,77.77777777777777,52.0,0
5995,73,30,0,1,2,2968436,Joe Ingles,25-foot,three point jumper,Dante Exum,74.44444444444444,18.0,1
5996,73,31,0,1,2,3102528,Dante Exum,,two point shot,,93.33333333333333,50.0,0
5997,73,32,0,0,2,3908809,Donovan Mitchell,3-foot,driving layup,,92.22222222222223,48.0,0
5998,73,33,0,1,2,2583632,Royce O,20-foot,pullup jump shot,,80.0,78.0,0
